,平均打率,安打差,二塁打差,三塁打差,本塁打差,塁打差,得点差,三振差,四球差,死球差,犠打差,犠飛差,盗塁差,盗塁死差,併殺打差,平均出塁率,平均長打率,平均ＯＰＳ,平均得点圏,登板差,先発差,完投差,ＱＳ差,勝利差,敗戦差,ホールド差,セーブ差,被安打差,被本塁打差,奪三振差,与四球差,与死球差,暴投差,ボーク差,失点差,自責点差,防御率,投球回,勝率,奪三振率,被打率,Ｋ／ＢＢ,ＷＨＩＰ,point
ホーム,0.21022222222222223,-168.0,-17.0,-1.0,-9.0,-214.0,-77.0,25.0,-33.0,0.0,0.0,1.0,20.0,2.0,-30.0,0.29,0.34055555555555556,0.6304444444444445,0.22899999999999998,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,-4.0,0.0,6.0,-1.0,0.0,13.0,12.0,5.93,44.0,0.429,7.98,0.304,2.6,1.52,2
アウェー,0.275,168.0,17.0,1.0,9.0,214.0,77.0,-25.0,33.0,0.0,0.0,-1.0,-20.0,-2.0,30.0,0.3446666666666666,0.40488888888888885,0.7495555555555555,0.28366666666666673,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-1.0,4.0,0.0,-6.0,1.0,0.0,-13.0,-12.0,2.68,57.0,0.429,6.79,0.221,2.87,1.09,0
ホーム,0.2488888888888889,31.0,2.0,-1.0,4.0,43.0,-10.0,73.0,24.0,-3.0,-1.0,0.0,9.0,2.0,3.0,0.33366666666666667,0.3741111111111111,0.708,0.30822222222222223,22.0,-1.0,0.0,-1.0,-1.0,2.0,8.0,0.0,6.0,3.0,10.0,11.0,0.0,0.0,0.0,9.0,8.0,4.5,22.0,0.0,11.45,0.162,2.0,1.18,6
アウェー,0.24733333333333332,-31.0,-2.0,1.0,-4.0,-43.0,10.0,-73.0,-24.0,3.0,1.0,0.0,-9.0,-2.0,-3.0,0.318,0.36922222222222223,0.6869999999999999,0.2872222222222222,-22.0,1.0,0.0,1.0,1.0,-2.0,-8.0,0.0,-6.0,-3.0,-10.0,-11.0,0.0,0.0,0.0,-9.0,-8.0,2.7,10.0,1.0,16.2,0.171,6.0,0.9,7
ホーム,0.26188888888888884,147.0,27.0,-3.0,37.0,279.0,106.0,48.0,78.0,1.0,1.0,7.0,0.0,-2.0,24.0,0.33455555555555555,0.44488888888888883,0.7794444444444444,0.2762222222222222,1.0,1.0,0.0,3.0,-1.0,4.0,0.0,0.0,28.0,4.0,4.0,-12.0,-1.0,-3.0,-2.0,10.0,9.0,3.28,60.1,0.444,9.85,0.236,4.4,1.14,5
アウェー,0.23677777777777775,-147.0,-27.0,3.0,-37.0,-279.0,-106.0,-48.0,-78.0,-1.0,-1.0,-7.0,0.0,2.0,-24.0,0.3044444444444444,0.4,0.7043333333333334,0.2548888888888889,-1.0,-1.0,0.0,-3.0,1.0,-4.0,0.0,0.0,-28.0,-4.0,-4.0,12.0,1.0,3.0,2.0,-10.0,-9.0,2.39,49.0,0.833,11.39,0.154,2.3,1.08,0
ホーム,0.25111111111111106,26.0,-2.0,1.0,10.0,56.0,44.0,34.0,55.0,-1.0,0.0,10.0,13.0,6.0,3.0,0.3418888888888889,0.4081111111111111,0.7500000000000001,0.2765555555555556,-1.0,-1.0,0.0,-5.0,-5.0,2.0,0.0,0.0,4.0,3.0,-27.0,-8.0,0.0,-6.0,0.0,5.0,5.0,4.43,44.2,0.0,8.87,0.25,4.0,1.23,5
アウェー,0.24033333333333332,-26.0,2.0,-1.0,-10.0,-56.0,-44.0,-34.0,-55.0,1.0,0.0,-10.0,-13.0,-6.0,-3.0,0.3053333333333333,0.37044444444444447,0.6756666666666667,0.2723333333333333,1.0,1.0,0.0,5.0,5.0,-2.0,0.0,0.0,-4.0,-3.0,27.0,8.0,0.0,6.0,0.0,-5.0,-5.0,2.52,60.2,0.625,10.53,0.183,3.74,0.97,2
ホーム,0.19377777777777777,-146.0,-10.0,1.0,-8.0,-178.0,-61.0,52.0,-18.0,5.0,-3.0,0.0,20.0,3.0,-29.0,0.283,0.3204444444444444,0.6032222222222222,0.2001111111111111,1.0,1.0,0.0,-1.0,0.0,2.0,0.0,0.0,14.0,0.0,20.0,2.0,-3.0,1.0,1.0,6.0,8.0,5.0,45.0,0.286,9.0,0.261,2.65,1.42,4
アウェー,0.22933333333333333,146.0,10.0,-1.0,8.0,178.0,61.0,-52.0,18.0,-5.0,3.0,0.0,-20.0,-3.0,29.0,0.2847777777777778,0.3526666666666667,0.6376666666666666,0.22233333333333333,-1.0,-1.0,0.0,1.0,0.0,-2.0,0.0,0.0,-14.0,0.0,-20.0,-2.0,3.0,-1.0,-1.0,-6.0,-8.0,4.37,35.0,0.4,6.43,0.241,1.67,1.37,6
ホーム,0.23155555555555557,-14.0,-9.0,4.0,1.0,-12.0,24.0,35.0,45.0,3.0,0.0,8.0,-5.0,3.0,-2.0,0.31155555555555553,0.3864444444444445,0.698,0.224,-11.0,-4.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-31.0,-2.0,-39.0,-13.0,0.0,-1.0,0.0,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
アウェー,0.22844444444444445,14.0,9.0,-4.0,-1.0,12.0,-24.0,-35.0,-45.0,-3.0,0.0,-8.0,5.0,-3.0,2.0,0.33588888888888885,0.3691111111111111,0.7048888888888888,0.26355555555555554,11.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,31.0,2.0,39.0,13.0,0.0,1.0,0.0,14.0,14.0,3.57,35.1,0.5,9.93,0.238,3.0,1.25,3
ホーム,0.21722222222222223,-8.0,1.0,0.0,9.0,20.0,4.0,-3.0,8.0,2.0,-4.0,-6.0,-4.0,-1.0,-8.0,0.27611111111111114,0.37188888888888894,0.6477777777777778,0.19699999999999998,7.0,7.0,0.0,3.0,0.0,3.0,0.0,0.0,49.0,4.0,33.0,10.0,2.0,0.0,0.0,24.0,22.0,5.69,49.0,0.2,7.71,0.298,3.0,1.49,10
アウェー,0.2317777777777778,8.0,-1.0,0.0,-9.0,-20.0,-4.0,3.0,-8.0,-2.0,4.0,6.0,4.0,1.0,8.0,0.28155555555555556,0.3668888888888889,0.6485555555555556,0.20544444444444443,-7.0,-7.0,0.0,-3.0,0.0,-3.0,0.0,0.0,-49.0,-4.0,-33.0,-10.0,-2.0,0.0,0.0,-24.0,-22.0,9.35,8.2,0.5,9.35,0.286,2.25,1.62,9
ホーム,0.24600000000000005,19.0,0.0,10.0,-6.0,21.0,-1.0,28.0,-23.0,2.0,-2.0,5.0,-10.0,1.0,-5.0,0.30622222222222223,0.37855555555555553,0.6847777777777778,0.2722222222222222,0.0,0.0,0.0,-4.0,1.0,0.0,0.0,0.0,3.0,-2.0,-29.0,3.0,-2.0,-1.0,0.0,3.0,0.0,4.89,42.1,0.4,9.14,0.301,3.91,1.51,1
アウェー,0.2363333333333333,-19.0,0.0,-10.0,6.0,-21.0,1.0,-28.0,23.0,-2.0,2.0,-5.0,10.0,-1.0,5.0,0.3141111111111112,0.39100000000000007,0.7050000000000001,0.24022222222222223,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,-3.0,2.0,29.0,-3.0,2.0,1.0,0.0,-3.0,0.0,3.79,54.2,0.25,11.85,0.242,9.0,1.06,9
ホーム,0.23388888888888892,-100.0,-14.0,-11.0,-41.0,-259.0,-98.0,-53.0,-37.0,-4.0,2.0,-8.0,-19.0,3.0,8.0,0.2884444444444444,0.3542222222222222,0.6426666666666666,0.23977777777777776,4.0,4.0,0.0,4.0,4.0,-1.0,0.0,0.0,22.0,2.0,34.0,9.0,1.0,0.0,0.0,6.0,7.0,3.15,40.0,0.8,9.9,0.243,2.93,1.3,6
