,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,11,ホセ・ヘレラ,.227,42,114,97,22,4,1,1,31,13,11,27,9,0,7,1,0,0,1,.290,.320,.609,.318,1,アリゾナ・ダイヤモンドバックス
1,捕,14,ガブリエル・モレノ,.266,97,351,305,81,18,1,5,116,45,39,52,41,2,0,3,3,1,10,.353,.380,.734,.333,2,アリゾナ・ダイヤモンドバックス
2,捕,25,エリドリアン・デルカスティーヨ,.313,25,87,80,25,5,0,4,42,19,12,28,7,0,0,0,1,1,1,.368,.525,.893,.385,3,アリゾナ・ダイヤモンドバックス
3,内,2,ヘラルド・ペルドモ,.273,98,388,337,92,21,2,3,126,37,61,58,36,3,7,5,9,1,5,.344,.374,.718,.287,5,アリゾナ・ダイヤモンドバックス
4,内,4,ケテル・マルテ,.292,136,583,504,147,23,2,36,282,95,93,106,65,5,0,9,7,1,9,.372,.560,.932,.328,5,アリゾナ・ダイヤモンドバックス
5,内,9,ブレイズ・アレクサンダー,.247,61,185,166,41,7,0,3,57,21,19,49,15,3,1,0,3,1,1,.321,.343,.664,.229,6,アリゾナ・ダイヤモンドバックス
6,内,10,ジョーダン・ローラー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,アリゾナ・ダイヤモンドバックス
7,内,18,ケビン・ニューマン,.278,111,311,288,80,17,1,3,108,28,41,48,15,0,6,2,8,1,7,.311,.375,.686,.222,5,アリゾナ・ダイヤモンドバックス
8,内,28,ユジニオ・スアレス,.256,158,640,571,146,28,2,30,268,101,90,176,49,9,0,11,2,1,10,.319,.469,.788,.278,10,アリゾナ・ダイヤモンドバックス
9,内,36,ジョシュ・ベル,.249,145,603,538,134,23,2,19,218,71,62,120,51,6,0,3,0,1,22,.319,.405,.725,.298,7,アリゾナ・ダイヤモンドバックス
10,内,53,クリスチャン・ウォーカー,.251,130,552,479,120,26,0,26,224,84,72,133,55,10,0,8,2,2,12,.335,.468,.803,.254,2,アリゾナ・ダイヤモンドバックス
11,外,1,ホルヘ・バロサ,.176,8,18,17,3,2,0,0,5,1,3,2,0,0,1,0,1,0,0,.176,.294,.471,.250,1,アリゾナ・ダイヤモンドバックス
12,外,5,アレック・トーマス,.189,39,103,95,18,5,1,3,34,17,13,17,7,0,1,0,4,1,7,.245,.358,.603,.258,0,アリゾナ・ダイヤモンドバックス
13,外,7,コービン・キャロル,.231,158,684,589,136,22,14,22,252,74,121,130,73,10,3,9,35,8,3,.322,.428,.749,.205,2,アリゾナ・ダイヤモンドバックス
14,外,12,ルルデス・グリエル,.279,133,553,513,143,22,2,18,223,75,72,101,29,6,0,5,7,1,16,.322,.435,.757,.303,5,アリゾナ・ダイヤモンドバックス
15,外,15,ランデル・グリチェク,.291,106,279,254,74,20,2,12,134,46,40,46,20,3,0,2,0,0,5,.348,.528,.875,.324,0,アリゾナ・ダイヤモンドバックス
16,外,26,パビン・スミス,.270,60,158,137,37,11,0,9,75,36,26,31,18,0,0,3,1,0,4,.348,.547,.896,.233,0,アリゾナ・ダイヤモンドバックス
17,外,31,ジェイコブ・マッカーシー,.285,142,495,442,126,13,7,8,177,56,66,78,31,14,5,3,25,6,4,.349,.400,.749,.350,2,アリゾナ・ダイヤモンドバックス
18,指,3,ジョク・ピダーソン,.275,132,449,367,101,17,1,23,189,64,62,105,55,18,1,3,7,4,5,.393,.515,.908,.301,0,アリゾナ・ダイヤモンドバックス
19,投,30,スコット・マクガフ,.000,26,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,0,アリゾナ・ダイヤモンドバックス
