,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,12,コナー・ウォン,.280,126,487,447,125,24,1,13,190,52,54,114,28,9,1,2,8,7,7,.333,.425,.758,.284,6,ボストン・レッドソックス
1,捕,28,ダニー・ジャンセン,.205,91,324,278,57,13,0,9,97,24,35,61,40,3,0,3,0,0,4,.309,.349,.658,.211,6,ボストン・レッドソックス
2,捕,77,ミッキー・ギャスパー,.000,13,23,18,0,0,0,0,0,0,1,8,4,1,0,0,0,0,1,.217,.000,.217,.000,0,ボストン・レッドソックス
3,内,5,ボーン・グリッソム,.190,31,114,105,20,3,0,0,23,6,10,24,7,1,0,1,2,0,3,.246,.219,.465,.133,3,ボストン・レッドソックス
4,内,10,トレバー・ストーリー,.255,26,106,94,24,7,0,2,37,10,8,33,11,1,0,0,6,3,2,.340,.394,.733,.214,1,ボストン・レッドソックス
5,内,11,ラファエル・ディバース,.272,138,601,525,143,34,5,28,271,83,87,147,67,3,0,6,3,0,13,.354,.516,.871,.226,12,ボストン・レッドソックス
6,内,23,ロミー・ゴンザレス,.266,89,216,199,53,10,1,6,83,29,25,58,12,1,0,4,11,3,5,.306,.417,.723,.212,5,ボストン・レッドソックス
7,内,36,トリストン・カサズ,.241,63,243,212,51,8,0,13,98,32,28,77,30,1,0,0,0,1,6,.337,.462,.800,.250,5,ボストン・レッドソックス
8,内,43,セダン・ラファエラ,.246,152,571,544,134,23,5,15,212,75,70,151,15,7,2,3,19,10,8,.274,.390,.664,.255,12,ボストン・レッドソックス
9,内,47,エンマニュエル・バルデス,.214,76,223,201,43,12,0,6,73,28,23,53,17,0,1,4,1,1,4,.270,.363,.633,.219,6,ボストン・レッドソックス
10,内,70,デービッド・ハミルトン,.248,98,317,294,73,17,1,8,116,28,47,80,22,1,0,0,33,4,1,.303,.395,.697,.254,10,ボストン・レッドソックス
11,内,75,ニック・ソガード,.273,31,86,77,21,4,0,0,25,8,13,25,7,0,0,2,3,0,4,.326,.325,.650,.278,1,ボストン・レッドソックス
12,外,7,吉田正尚,.280,108,421,378,106,21,0,10,157,56,45,52,27,14,0,2,2,0,6,.349,.415,.765,.308,0,ボストン・レッドソックス
13,外,16,ジャレン・デュラン,.285,160,735,671,191,48,14,21,330,75,111,160,54,6,1,3,34,7,6,.342,.492,.834,.285,6,ボストン・レッドソックス
14,外,17,タイラー・オニール,.241,113,473,411,99,18,0,31,210,61,74,159,53,7,0,2,4,0,13,.336,.511,.847,.231,7,ボストン・レッドソックス
15,外,30,ロブ・レフスナイダー,.283,93,307,272,77,16,1,11,128,40,32,78,28,5,0,1,2,2,6,.359,.471,.830,.256,4,ボストン・レッドソックス
16,外,52,ウィルヤー・アブレイユ,.253,132,447,399,101,33,2,15,183,58,59,125,40,3,0,5,8,3,7,.322,.459,.781,.287,7,ボストン・レッドソックス
