,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,9,ミゲル・アマヤ,.232,117,363,328,76,13,2,8,117,47,32,62,23,4,5,3,0,0,5,.288,.357,.644,.198,6,シカゴ・カブス
1,捕,60,クリスティアン・ベタンコート,.209,62,147,139,29,7,0,5,51,22,18,36,5,1,2,0,3,0,2,.241,.367,.608,.229,5,シカゴ・カブス
2,捕,-,ケイレブ・ナイト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シカゴ・カブス
3,内,1,ニック・マドリガル,.221,51,94,86,19,3,0,0,22,10,5,10,4,3,1,0,1,0,2,.280,.256,.535,.265,2,シカゴ・カブス
4,内,2,ニコ・ホーナー,.273,151,641,582,159,35,1,7,217,48,86,66,44,12,0,3,31,6,8,.335,.373,.708,.246,9,シカゴ・カブス
5,内,7,ダンスビー・スワンソン,.242,149,593,534,129,27,2,16,208,66,82,144,54,2,0,3,19,3,7,.312,.390,.701,.246,5,シカゴ・カブス
6,内,12,ルイス・バスケス,.083,11,14,12,1,0,0,0,1,1,2,6,0,1,0,1,0,0,1,.143,.083,.226,.000,1,シカゴ・カブス
7,内,16,パトリック・ウィズダム,.171,75,174,158,27,7,2,8,62,23,16,59,10,4,1,1,5,0,1,.237,.392,.629,.179,5,シカゴ・カブス
8,内,17,アイザック・パレデス,.238,153,641,542,129,25,1,19,213,80,64,105,76,17,0,6,1,1,17,.346,.393,.739,.257,16,シカゴ・カブス
9,内,20,マイルズ・マストロブオーニ,.194,50,106,98,19,3,0,0,22,4,9,17,7,0,0,1,2,0,1,.245,.224,.470,.091,3,シカゴ・カブス
10,内,22,マット・マービス,.115,9,28,26,3,1,0,0,4,3,1,8,1,0,0,0,0,0,0,.148,.154,.302,.286,0,シカゴ・カブス
11,内,29,マイケル・ブッシュ,.248,152,567,496,123,28,2,21,218,65,73,162,63,4,0,4,2,1,9,.335,.440,.775,.220,4,シカゴ・カブス
12,外,4,アレクサンダー・カナリオ,.280,15,28,25,7,1,0,1,11,2,4,11,2,1,0,0,1,0,0,.357,.440,.797,.143,0,シカゴ・カブス
13,外,8,イアン・ハップ,.243,153,657,569,138,34,2,25,251,86,89,168,80,6,0,2,13,2,7,.341,.441,.782,.239,1,シカゴ・カブス
14,外,13,ケビン・アルカンタラ,.100,3,10,10,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,.100,.100,.200,.000,0,シカゴ・カブス
15,外,24,コディ・ベリンジャー,.266,130,569,516,137,23,3,18,220,78,72,89,45,3,0,5,9,2,10,.325,.426,.751,.331,2,シカゴ・カブス
16,外,27,鈴木誠也,.283,132,585,512,145,27,6,21,247,73,74,160,63,6,0,4,16,6,6,.366,.482,.848,.256,3,シカゴ・カブス
17,外,40,マイク・トークマン,.248,109,350,298,74,12,1,7,109,29,50,70,47,4,0,1,6,2,7,.357,.366,.723,.268,1,シカゴ・カブス
18,外,52,ピーター・クロー・アームストロング,.237,123,410,372,88,13,6,10,143,47,46,98,21,6,8,3,27,3,4,.286,.384,.670,.293,3,シカゴ・カブス
19,外,94,ブレネン・デービス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シカゴ・カブス
