,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,26,コリー・リー,.210,125,394,377,79,14,1,12,131,37,36,122,17,0,0,0,6,3,12,.244,.347,.591,.210,4,シカゴ・ホワイトソックス
1,捕,47,チャッキー・ロビンソン,.129,26,76,70,9,0,0,0,9,0,2,20,5,1,0,0,0,0,1,.197,.129,.326,.000,2,シカゴ・ホワイトソックス
2,捕,-,マックス・スタッシ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シカゴ・ホワイトソックス
3,内,8,ニコラス・ロペス,.241,124,445,398,96,12,3,1,117,21,40,67,37,4,6,0,5,7,3,.312,.294,.606,.295,4,シカゴ・ホワイトソックス
4,内,10,ヨアン・モンカダ,.275,12,45,40,11,3,1,0,16,0,4,11,5,0,0,0,1,0,2,.356,.400,.756,.000,2,シカゴ・ホワイトソックス
5,内,17,ブレイデン・シューメイク,.125,29,67,64,8,2,0,1,13,4,4,10,1,0,0,2,5,1,0,.134,.203,.337,.100,3,シカゴ・ホワイトソックス
6,内,18,ジェイコブ・アマヤ,.176,24,72,68,12,1,0,0,13,3,4,28,4,0,0,0,1,0,3,.222,.191,.413,.267,1,シカゴ・ホワイトソックス
7,内,25,アンドルー・ボーン,.246,149,619,570,140,30,1,19,229,70,55,132,38,6,0,5,2,0,13,.297,.402,.699,.245,4,シカゴ・ホワイトソックス
8,内,27,ブルックス・ボールドウィン,.211,33,121,114,24,6,0,2,36,8,9,31,6,0,1,0,4,0,1,.250,.316,.566,.300,2,シカゴ・ホワイトソックス
9,内,44,ブライアン・ラモス,.202,32,108,99,20,4,0,3,33,11,13,22,7,0,0,1,0,2,3,.252,.333,.586,.231,1,シカゴ・ホワイトソックス
10,内,50,レニン・ソサ,.254,100,369,351,89,13,0,8,126,35,28,77,12,3,2,1,3,1,5,.283,.359,.642,.289,6,シカゴ・ホワイトソックス
11,外,7,ドミニク・フレッチャー,.206,72,241,223,46,8,0,1,57,17,14,58,11,3,2,1,0,0,5,.252,.256,.508,.229,6,シカゴ・ホワイトソックス
12,外,20,ミゲル・バルガス,.150,72,237,206,31,7,0,5,53,16,22,57,25,3,0,3,3,1,4,.249,.257,.506,.056,5,シカゴ・ホワイトソックス
13,外,22,オスカー・コラス,.273,13,38,33,9,0,0,0,9,4,1,10,4,1,0,0,0,1,0,.368,.273,.641,.231,0,シカゴ・ホワイトソックス
14,外,23,アンドルー・ベニンテンディ,.229,135,522,477,109,20,0,20,189,64,50,96,41,1,0,3,3,2,12,.289,.396,.685,.221,3,シカゴ・ホワイトソックス
15,外,30,コーリー・ジュルクス,.214,66,189,173,37,7,0,3,53,14,17,50,15,0,0,1,5,2,6,.275,.306,.581,.258,1,シカゴ・ホワイトソックス
16,外,31,ザック・デローチ,.209,22,75,67,14,5,0,1,22,5,10,21,8,0,0,0,0,1,0,.293,.328,.622,.250,0,シカゴ・ホワイトソックス
17,外,32,ギャビン・シーツ,.233,139,501,451,105,24,1,10,161,45,35,106,43,4,0,3,2,2,6,.303,.357,.660,.260,2,シカゴ・ホワイトソックス
18,外,88,ルイス・ロベルト,.224,100,425,393,88,19,0,14,149,35,47,141,28,2,0,1,23,6,8,.278,.379,.657,.185,2,シカゴ・ホワイトソックス
