,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,6,デービッド・フライ,.263,122,392,335,88,18,1,14,150,51,44,84,42,9,0,4,4,1,13,.356,.448,.804,.253,2,クリーブランド・ガーディアンズ
1,捕,23,ボー・ネイラー,.201,123,389,354,71,10,2,13,124,39,39,122,29,2,2,2,6,3,3,.264,.350,.614,.197,6,クリーブランド・ガーディアンズ
2,捕,27,オースティン・ヘッジズ,.152,66,146,132,20,3,0,2,29,15,12,50,6,3,3,2,2,0,2,.203,.220,.422,.194,3,クリーブランド・ガーディアンズ
3,内,0,アンドレス・ヒメネス,.252,152,633,583,147,22,1,9,198,63,64,97,26,15,3,6,30,5,11,.298,.340,.638,.309,9,クリーブランド・ガーディアンズ
4,内,4,ブライアン・ロチオ,.206,143,442,383,79,18,0,8,121,36,50,90,44,8,2,5,10,6,11,.298,.316,.614,.226,12,クリーブランド・ガーディアンズ
5,内,9,カイル・マンザルド,.234,53,156,145,34,12,0,5,61,15,11,41,9,1,0,1,0,0,3,.282,.421,.703,.212,0,クリーブランド・ガーディアンズ
6,内,10,ダニエル・シュニーマン,.218,73,221,193,42,10,2,5,71,22,17,70,25,0,0,3,3,2,1,.303,.368,.671,.213,6,クリーブランド・ガーディアンズ
7,内,11,ホセ・ラミレス,.279,158,682,620,173,39,2,39,333,118,114,82,54,1,0,6,41,7,9,.335,.537,.872,.326,9,クリーブランド・ガーディアンズ
8,内,13,ガブリエル・アーライアズ,.222,53,161,153,34,9,1,3,54,15,15,53,6,1,0,1,5,2,4,.255,.353,.608,.233,6,クリーブランド・ガーディアンズ
9,内,22,ジョシュ・ネイラー,.243,152,633,563,137,27,0,31,257,108,84,105,58,7,0,4,6,2,17,.320,.456,.776,.256,9,クリーブランド・ガーディアンズ
10,内,74,フアン・ブリト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,クリーブランド・ガーディアンズ
11,外,1,アンヘル・マルティネス,.232,43,169,151,35,7,0,3,51,11,16,33,15,0,1,2,3,1,2,.298,.338,.635,.238,3,クリーブランド・ガーディアンズ
12,外,2,タイラー・フリーマン,.209,118,383,330,69,14,1,7,106,32,48,53,28,19,3,3,11,6,15,.305,.321,.626,.281,3,クリーブランド・ガーディアンズ
13,外,7,マイルズ・ストロー,.250,7,4,4,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0,.250,.250,.500,.000,0,クリーブランド・ガーディアンズ
14,外,8,レーン・トーマス,.237,130,528,472,112,26,3,15,189,63,65,137,44,7,0,5,32,14,5,.309,.400,.709,.242,7,クリーブランド・ガーディアンズ
15,外,17,ウィル・ブレナン,.264,114,353,330,87,13,2,8,128,30,37,48,19,3,0,1,4,2,9,.309,.388,.697,.319,2,クリーブランド・ガーディアンズ
16,外,30,ジョナサン・ロドリゲス,.129,13,40,31,4,1,0,0,5,5,6,14,9,0,0,0,0,0,1,.325,.161,.486,.250,0,クリーブランド・ガーディアンズ
17,外,38,スティーブン・クワン,.292,122,540,480,140,16,3,14,204,44,83,51,53,5,2,0,12,5,5,.368,.425,.793,.288,1,クリーブランド・ガーディアンズ
18,外,43,ジョンケンシ・ノエル,.218,67,198,179,39,7,1,13,87,28,25,63,13,5,0,1,0,0,1,.288,.486,.774,.225,0,クリーブランド・ガーディアンズ
19,外,76,ジョージ・バレラ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,クリーブランド・ガーディアンズ
