,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,3,ドルー・ロモ,.176,16,53,51,9,3,0,0,12,6,4,18,2,0,0,0,0,1,2,.208,.235,.443,.235,1,コロラド・ロッキーズ
1,捕,25,ジェイコブ・スターリングズ,.263,82,281,243,64,17,1,9,110,36,31,65,27,9,1,1,0,0,10,.357,.453,.810,.304,7,コロラド・ロッキーズ
2,内,1,エイダエル・アマダー,.171,10,36,35,6,1,0,0,7,0,1,6,1,0,0,0,1,0,1,.194,.200,.394,.000,1,コロラド・ロッキーズ
3,内,4,マイケル・トグリア,.218,116,458,399,87,14,3,25,182,55,62,147,54,1,0,3,10,1,7,.311,.456,.767,.156,8,コロラド・ロッキーズ
4,内,7,ブレンダン・ロジャーズ,.267,135,539,501,134,29,1,13,204,54,67,132,31,4,1,2,1,0,12,.314,.407,.721,.259,8,コロラド・ロッキーズ
5,内,14,エゼケル・トーバー,.269,157,695,655,176,45,4,26,307,78,83,200,23,4,5,7,6,5,16,.295,.469,.763,.282,8,コロラド・ロッキーズ
6,内,24,ライアン・マクマーン,.242,153,645,567,137,28,0,20,225,65,68,185,69,3,0,4,4,6,9,.325,.397,.722,.238,15,コロラド・ロッキーズ
7,内,30,アーロン・シュヌク,.234,39,98,94,22,3,0,2,31,7,14,31,4,0,0,0,0,1,0,.265,.330,.595,.167,1,コロラド・ロッキーズ
8,外,2,グレッグ・ジョーンズ,.200,6,6,5,1,0,0,1,4,1,1,4,1,0,0,0,0,0,0,.333,.800,1.133,.000,0,コロラド・ロッキーズ
9,外,9,ブレントン・ドイル,.260,149,603,542,141,24,4,23,242,72,82,153,46,3,4,8,30,5,13,.317,.446,.764,.327,4,コロラド・ロッキーズ
10,外,12,ショーン・ブシャール,.187,31,108,91,17,7,0,1,27,8,14,33,12,2,1,2,4,0,0,.290,.297,.586,.154,3,コロラド・ロッキーズ
11,外,15,ハンター・グッドマン,.190,70,224,211,40,9,0,13,88,36,24,64,8,3,0,2,1,1,5,.228,.417,.645,.214,2,コロラド・ロッキーズ
12,外,16,サム・ヒリアード,.239,58,158,138,33,5,1,10,70,27,26,56,14,0,4,2,5,2,3,.305,.507,.812,.242,3,コロラド・ロッキーズ
13,外,22,ノーラン・ジョーンズ,.227,79,297,256,58,13,1,3,82,28,28,91,36,1,1,3,5,4,7,.321,.320,.641,.250,5,コロラド・ロッキーズ
14,外,23,クリス・ブライアント,.218,37,155,133,29,5,0,2,40,15,9,48,13,8,0,1,0,0,6,.323,.301,.623,.238,1,コロラド・ロッキーズ
15,外,27,ジョーダン・ベック,.188,55,184,170,32,6,0,3,47,13,14,65,12,1,0,1,7,1,3,.245,.276,.521,.171,1,コロラド・ロッキーズ
16,外,82,ヤンクイール・フェルナンデス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,コロラド・ロッキーズ
