,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,34,ジェーク・ロジャーズ,.197,102,337,310,61,16,1,10,109,36,43,99,22,3,0,2,1,0,6,.255,.352,.607,.250,3,デトロイト・タイガース
1,捕,38,ディロン・ディングラー,.167,27,87,84,14,5,2,1,26,11,2,30,3,0,0,0,0,0,2,.195,.310,.505,.192,1,デトロイト・タイガース
2,内,17,ジェイス・ヤン,.241,34,94,79,19,5,0,0,24,3,14,29,15,0,0,0,0,1,3,.362,.304,.666,.143,4,デトロイト・タイガース
3,内,20,スペンサー・トーケルソン,.219,92,381,342,75,21,1,10,128,37,45,105,33,4,0,1,0,0,6,.295,.374,.669,.187,4,デトロイト・タイガース
4,内,27,トレイ・スウィーニー,.218,36,119,110,24,5,0,4,41,17,11,32,7,1,0,1,2,0,3,.269,.373,.642,.276,4,デトロイト・タイガース
5,内,28,ハビエル・バエス,.184,80,289,272,50,12,0,6,80,37,25,69,12,2,0,3,8,1,10,.221,.294,.516,.308,9,デトロイト・タイガース
6,内,32,ライアン・クレイドラー,.119,35,65,59,7,0,0,1,10,2,9,19,6,0,0,0,5,3,2,.200,.169,.369,.125,2,デトロイト・タイガース
7,内,33,コルト・キース,.260,148,556,516,134,15,4,13,196,61,54,110,36,2,0,2,7,1,4,.309,.380,.689,.270,12,デトロイト・タイガース
8,内,39,ザック・マッキンストリー,.215,118,325,297,64,14,5,4,100,23,32,69,24,2,0,2,16,0,3,.277,.337,.614,.208,9,デトロイト・タイガース
9,内,40,ブライ・マドリス,.269,21,75,67,18,3,0,1,24,5,8,20,6,0,0,1,0,0,0,.324,.358,.683,.364,0,デトロイト・タイガース
10,内,51,エディス・レオナルド,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,デトロイト・タイガース
11,内,77,アンディ・イバネス,.241,99,244,224,54,9,1,5,80,32,30,63,15,3,0,2,2,3,2,.295,.357,.652,.395,2,デトロイト・タイガース
12,外,8,マシュー・ビアーリング,.257,144,567,518,133,28,5,16,219,57,80,121,41,3,0,5,6,1,9,.312,.423,.735,.240,4,デトロイト・タイガース
13,外,22,パーカー・メドウズ,.244,82,298,270,66,12,6,9,117,28,39,76,25,1,1,1,9,4,0,.310,.433,.743,.260,1,デトロイト・タイガース
14,外,30,ケリー・カーペンター,.284,87,296,264,75,16,5,18,155,57,37,75,22,4,0,3,0,2,5,.345,.587,.932,.289,1,デトロイト・タイガース
15,外,31,ライリー・グリーン,.262,137,584,512,134,27,6,24,245,74,82,156,64,5,0,2,4,2,2,.348,.479,.827,.294,3,デトロイト・タイガース
16,外,44,ジャスティンヘンリー・マロイ,.203,71,230,202,41,7,1,8,74,21,18,85,23,3,0,2,1,1,2,.291,.366,.658,.150,0,デトロイト・タイガース
17,外,46,ウェンシール・ペレス,.242,112,425,389,94,16,6,9,149,37,51,92,32,1,2,1,9,5,5,.300,.383,.683,.269,2,デトロイト・タイガース
18,外,50,ライアン・ビレード,.178,17,49,45,8,0,0,1,11,5,5,12,2,0,1,1,0,0,2,.208,.244,.453,.143,0,デトロイト・タイガース
19,外,60,アキル・バドゥ,.137,31,82,73,10,2,2,2,22,5,7,27,8,0,0,1,1,0,0,.220,.301,.521,.231,0,デトロイト・タイガース
