,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,13,サルバドール・ペレス,.271,158,652,590,160,28,0,27,269,104,58,129,44,11,0,6,0,0,17,.330,.456,.786,.329,5,カンザスシティ・ロイヤルズ
1,捕,34,フレディー・フェルミン,.271,111,368,339,92,14,0,6,124,36,40,66,23,2,1,3,2,0,10,.319,.366,.685,.289,5,カンザスシティ・ロイヤルズ
2,内,7,ボビー・ウィットＪｒ．,.332,161,709,636,211,45,11,32,374,109,125,106,57,8,0,8,31,12,4,.389,.588,.977,.388,15,カンザスシティ・ロイヤルズ
3,内,9,ビニー・パスクァンティーノ,.262,131,554,496,130,30,2,19,221,97,64,71,40,4,1,13,1,0,12,.315,.446,.760,.360,2,カンザスシティ・ロイヤルズ
4,内,11,マイケル・ガルシア,.231,157,626,575,133,27,5,7,191,58,84,103,42,0,4,5,37,2,7,.281,.332,.614,.259,14,カンザスシティ・ロイヤルズ
5,内,12,ニック・ロフティン,.189,57,171,148,28,4,0,1,35,14,15,24,19,1,1,2,1,0,4,.282,.236,.519,.200,4,カンザスシティ・ロイヤルズ
6,内,15,ポール・デジョング,.227,139,482,445,101,17,0,24,190,56,54,156,23,9,0,5,2,2,9,.276,.427,.703,.168,15,カンザスシティ・ロイヤルズ
7,内,18,ユリエスキ・グリエル,.241,18,65,54,13,3,0,0,16,6,7,15,9,0,0,2,1,0,1,.338,.296,.635,.308,0,カンザスシティ・ロイヤルズ
8,内,19,マイケル・マッシー,.259,100,356,332,86,17,2,14,149,45,45,56,15,3,2,4,1,0,9,.294,.449,.743,.250,3,カンザスシティ・ロイヤルズ
9,内,26,アダム・フレージャー,.202,104,294,262,53,10,1,4,77,22,35,59,22,7,3,0,3,0,0,.282,.294,.576,.283,3,カンザスシティ・ロイヤルズ
10,内,32,ニック・プラット,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,カンザスシティ・ロイヤルズ
11,外,1,ＭＪ・メレンデス,.206,135,451,412,85,23,3,17,165,44,44,113,35,3,0,0,4,4,3,.273,.400,.674,.176,2,カンザスシティ・ロイヤルズ
12,外,2,ギャレット・ハンプソン,.230,113,231,213,49,13,1,0,64,16,16,59,14,0,2,2,7,2,3,.275,.300,.576,.239,3,カンザスシティ・ロイヤルズ
13,外,6,ドルー・ウォーターズ,.188,7,19,16,3,1,0,0,4,1,2,6,2,1,0,0,0,0,0,.316,.250,.566,.000,1,カンザスシティ・ロイヤルズ
14,外,8,ロビー・グロスマン,.212,87,245,208,44,8,0,3,61,16,21,58,34,1,0,2,3,0,8,.322,.293,.616,.196,1,カンザスシティ・ロイヤルズ
15,外,16,ハンター・レンフロー,.229,120,424,385,88,18,0,15,151,52,44,84,36,2,0,1,1,1,10,.297,.392,.689,.306,2,カンザスシティ・ロイヤルズ
16,外,17,ネルソン・ベラスケス,.200,64,230,205,41,8,1,8,75,27,31,61,19,3,0,3,2,0,6,.274,.366,.640,.232,1,カンザスシティ・ロイヤルズ
17,外,22,トミー・ファム,.248,116,478,440,109,20,3,9,162,39,49,106,35,2,0,1,7,3,5,.305,.368,.674,.250,1,カンザスシティ・ロイヤルズ
18,外,27,タイラー・ジェントリー,.000,3,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,0,カンザスシティ・ロイヤルズ
19,外,28,カイル・イスベル,.229,136,426,384,88,13,8,8,141,42,62,88,27,5,8,2,11,2,4,.287,.367,.654,.228,4,カンザスシティ・ロイヤルズ
20,外,44,ダイロン・ブランコ,.258,88,132,120,31,4,0,4,47,13,37,32,8,1,1,1,31,7,2,.308,.392,.699,.242,3,カンザスシティ・ロイヤルズ
