,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,14,ローガン・オホッピー,.244,136,522,479,117,17,1,20,196,56,64,155,33,8,1,1,2,3,7,.303,.409,.712,.240,6,ロサンゼルス・エンゼルス
1,捕,21,マット・タイス,.204,57,186,157,32,9,0,2,47,16,14,58,28,0,0,1,3,0,2,.323,.299,.622,.212,4,ロサンゼルス・エンゼルス
2,捕,51,グスタボ・カンペロ,.239,13,48,46,11,0,1,1,16,6,6,8,0,2,0,0,3,0,0,.271,.348,.619,.294,1,ロサンゼルス・エンゼルス
3,内,2,ルイス・レンヒーフォ,.300,78,304,283,85,13,1,6,118,30,41,44,16,4,1,0,24,7,6,.347,.417,.763,.320,6,ロサンゼルス・エンゼルス
4,内,6,アンソニー・レンドン,.218,57,238,206,45,10,0,0,55,14,21,35,23,5,0,4,6,1,4,.307,.267,.574,.182,5,ロサンゼルス・エンゼルス
5,内,9,ザック・ネト,.249,155,602,542,135,34,1,23,240,77,70,140,39,16,4,1,30,10,14,.318,.443,.761,.288,18,ロサンゼルス・エンゼルス
6,内,18,ノーラン・シャヌエル,.250,147,607,519,130,19,0,13,188,54,62,103,68,9,3,7,10,1,14,.343,.362,.706,.257,7,ロサンゼルス・エンゼルス
7,内,19,キレン・パリス,.118,21,59,51,6,2,0,1,11,5,4,17,7,0,0,0,1,0,1,.224,.216,.440,.091,1,ロサンゼルス・エンゼルス
8,内,23,ブランドン・ドゥルーリー,.169,97,360,325,55,7,0,4,74,15,28,81,27,5,0,3,1,0,13,.242,.228,.469,.097,5,ロサンゼルス・エンゼルス
9,内,28,ニコ・カバダス,.183,30,106,93,17,2,0,4,31,8,11,41,11,2,0,0,1,0,0,.283,.333,.616,.111,0,ロサンゼルス・エンゼルス
10,内,34,エリック・ワゲイマン,.250,18,74,72,18,5,0,2,29,10,6,17,2,0,0,0,0,0,1,.270,.403,.673,.350,4,ロサンゼルス・エンゼルス
11,外,3,テーラー・ウォード,.246,156,663,585,144,26,2,25,249,75,73,163,63,7,0,8,6,4,11,.323,.426,.748,.259,5,ロサンゼルス・エンゼルス
12,外,7,ジョ・アデル,.207,130,451,405,84,15,2,20,163,62,54,126,35,7,0,3,15,10,9,.280,.402,.682,.277,4,ロサンゼルス・エンゼルス
13,外,12,ケビン・ピラー,.229,100,314,284,65,16,1,8,107,45,38,69,16,10,1,3,12,3,10,.291,.377,.667,.329,1,ロサンゼルス・エンゼルス
14,外,16,ミッキー・モニアク,.219,124,418,392,86,17,2,14,149,49,48,114,21,4,0,1,8,4,3,.266,.380,.646,.224,4,ロサンゼルス・エンゼルス
15,外,22,ブライス・テオドシオ,.083,5,12,12,1,0,0,0,1,0,1,5,0,0,0,0,0,0,0,.083,.083,.167,.000,0,ロサンゼルス・エンゼルス
16,外,27,マイク・トラウト,.220,29,126,109,24,1,2,10,59,14,17,27,16,1,0,0,6,1,0,.325,.541,.867,.120,0,ロサンゼルス・エンゼルス
17,外,39,ジョーダン・アダムス,.229,11,38,35,8,0,0,1,11,4,4,12,3,0,0,0,2,0,1,.289,.314,.604,.400,1,ロサンゼルス・エンゼルス
