,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,15,オースティン・バーンズ,.264,54,156,140,37,3,0,1,43,11,12,36,14,0,2,0,3,0,3,.331,.307,.638,.270,5,ロサンゼルス・ドジャース
1,捕,16,ウィル・スミス,.248,128,544,476,118,24,2,20,206,75,77,105,51,9,0,8,1,1,8,.327,.433,.760,.273,8,ロサンゼルス・ドジャース
2,捕,67,ハンター・フェドゥキア,.333,5,14,12,4,0,0,0,4,1,2,2,2,0,0,0,0,0,1,.429,.333,.762,1.000,0,ロサンゼルス・ドジャース
3,捕,76,ディエゴ・カルタヤ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・ドジャース
4,内,5,フレディ・フリーマン,.282,147,638,542,153,35,2,22,258,89,81,100,78,10,0,8,9,2,13,.378,.476,.854,.295,4,ロサンゼルス・ドジャース
5,内,8,キケ・ヘルナンデス,.229,126,393,362,83,16,0,12,135,42,44,77,27,0,1,3,0,0,13,.281,.373,.654,.209,10,ロサンゼルス・ドジャース
6,内,9,ギャビン・ラックス,.251,139,487,439,110,24,2,10,168,50,59,110,44,2,0,2,5,2,8,.320,.383,.703,.283,9,ロサンゼルス・ドジャース
7,内,11,ミゲル・ロハス,.283,103,337,307,87,21,0,6,126,36,41,34,23,3,2,2,8,2,8,.337,.410,.748,.295,3,ロサンゼルス・ドジャース
8,内,13,マックス・マンシー,.232,73,293,237,55,17,0,15,117,48,47,77,45,5,0,6,1,0,1,.358,.494,.852,.227,6,ロサンゼルス・ドジャース
9,内,25,トミー・エドマン,.237,37,153,139,33,5,1,6,58,20,20,30,11,1,0,2,6,0,2,.294,.417,.711,.233,4,ロサンゼルス・ドジャース
10,内,50,ムーキー・ベッツ,.289,116,516,450,130,24,5,19,221,75,75,57,61,1,0,4,16,2,10,.372,.491,.863,.351,12,ロサンゼルス・ドジャース
11,外,3,クリス・テーラー,.202,87,246,213,43,7,1,4,64,23,28,76,28,2,1,2,5,1,5,.298,.300,.598,.255,2,ロサンゼルス・ドジャース
12,外,33,ジェームズ・アウトマン,.147,53,156,136,20,4,0,4,36,11,12,55,16,4,0,0,2,1,0,.256,.265,.521,.095,1,ロサンゼルス・ドジャース
13,外,37,テオスカー・ヘルナンデス,.272,154,652,589,160,32,2,33,295,99,84,188,53,8,0,1,12,3,7,.339,.501,.840,.288,3,ロサンゼルス・ドジャース
14,外,44,アンディ・パヘス,.248,116,443,403,100,23,1,13,164,46,65,108,29,6,0,4,1,2,9,.305,.407,.712,.223,3,ロサンゼルス・ドジャース
15,外,93,ケビン・キーアマイヤー,.197,116,281,259,51,9,3,5,81,26,31,86,12,2,7,1,6,2,4,.237,.313,.550,.209,3,ロサンゼルス・ドジャース
16,投,17,大谷翔平,.310,159,731,636,197,38,7,54,411,130,134,162,81,6,0,5,59,4,7,.390,.646,1.036,.283,0,ロサンゼルス・ドジャース
