,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,4,ニック・フォーテス,.228,110,335,307,70,16,0,4,98,29,28,41,11,4,8,5,0,1,6,.260,.319,.579,.282,9,マイアミ・マーリンズ
1,捕,89,ジョニー・ペレダ,.231,20,40,39,9,0,0,0,9,4,2,10,0,1,0,0,0,0,2,.250,.231,.481,.333,1,マイアミ・マーリンズ
2,捕,-,アグスティン・ラミレス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,マイアミ・マーリンズ
3,内,17,ビダル・ブルーハン,.222,102,278,248,55,14,2,2,79,16,32,54,25,4,1,0,5,6,5,.303,.319,.622,.172,9,マイアミ・マーリンズ
4,内,24,コナー・ナービ,.236,45,194,178,42,9,0,9,78,20,32,64,15,0,0,1,3,3,2,.294,.438,.732,.184,8,マイアミ・マーリンズ
5,内,36,ジェイク・バーガー,.250,137,579,535,134,23,1,29,246,76,68,150,31,9,0,4,1,1,11,.301,.460,.760,.303,13,マイアミ・マーリンズ
6,内,41,ジョナー・ブライド,.276,71,272,232,64,10,0,11,107,39,30,55,30,3,0,7,0,1,9,.357,.461,.818,.247,3,マイアミ・マーリンズ
7,内,61,オット・ロペス,.270,117,434,403,109,23,1,6,152,39,49,75,25,1,2,2,20,4,13,.313,.377,.690,.325,8,マイアミ・マーリンズ
8,内,63,イグゼイビアー・エドワーズ,.328,70,303,265,87,12,5,1,112,26,39,52,33,0,1,4,31,4,0,.397,.423,.820,.333,7,マイアミ・マーリンズ
9,内,86,ハビエル・ソノハ,.229,15,36,35,8,2,0,0,10,2,3,4,1,0,0,0,0,0,2,.250,.286,.536,.300,0,マイアミ・マーリンズ
10,内,-,グレアム・ポーリー,.125,13,32,32,4,0,0,2,10,5,4,15,0,0,0,0,0,0,1,.125,.313,.438,.250,1,マイアミ・マーリンズ
11,外,12,ヘスス・サンチェス,.252,149,537,489,123,25,1,18,204,64,60,140,41,4,1,2,16,2,12,.313,.417,.731,.237,4,マイアミ・マーリンズ
12,外,25,デービッド・ヘンズリー,.212,23,58,52,11,1,0,1,15,4,9,17,6,0,0,0,1,0,0,.293,.288,.582,.143,0,マイアミ・マーリンズ
13,外,28,カイル・ストーアーズ,.208,69,209,192,40,11,2,3,64,24,15,74,13,3,0,1,0,1,2,.268,.333,.601,.286,0,マイアミ・マーリンズ
14,外,54,デーン・マイヤーズ,.263,44,108,95,25,6,1,3,42,19,17,36,8,3,0,2,4,1,0,.333,.442,.775,.391,2,マイアミ・マーリンズ
15,外,56,グリフィン・コナイン,.268,30,89,82,22,4,1,3,37,12,14,28,6,1,0,0,0,0,1,.326,.451,.777,.348,1,マイアミ・マーリンズ
16,外,58,デレク・ヒル,.241,53,172,162,39,4,2,7,68,25,19,56,5,2,2,1,6,2,2,.271,.420,.690,.200,1,マイアミ・マーリンズ
17,外,64,ビクター・メサJr.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,マイアミ・マーリンズ
