,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,13,エリク・ハース,.273,30,69,66,18,1,0,5,34,14,10,28,3,0,0,0,0,0,0,.304,.515,.819,.258,2,ミルウォーキー・ブリュワーズ
1,捕,24,ウィリアム・コントレラス,.281,155,679,595,167,37,2,23,277,92,99,139,78,3,0,3,9,2,19,.365,.466,.831,.310,8,ミルウォーキー・ブリュワーズ
2,捕,76,ジェファーソン・クエロ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ミルウォーキー・ブリュワーズ
3,捕,99,ゲーリー・サンチェス,.220,89,280,245,54,7,1,11,96,37,30,76,27,5,0,3,0,0,9,.307,.392,.699,.246,5,ミルウォーキー・ブリュワーズ
4,内,2,ブライス・トゥラング,.254,155,619,559,142,24,4,7,195,57,72,105,50,2,5,3,50,6,8,.316,.349,.665,.286,7,ミルウォーキー・ブリュワーズ
5,内,3,ジョーイ・オーティズ,.239,142,511,440,105,25,6,11,175,60,58,103,56,6,3,6,11,6,10,.329,.398,.726,.262,10,ミルウォーキー・ブリュワーズ
6,内,6,アイザック・コリンズ,.118,11,19,17,2,0,0,0,2,0,0,10,2,0,0,0,1,0,0,.211,.118,.328,.000,1,ミルウォーキー・ブリュワーズ
7,内,7,タイラー・ブラック,.204,18,57,49,10,2,0,0,12,2,4,17,7,1,0,0,3,0,0,.316,.245,.561,.063,0,ミルウォーキー・ブリュワーズ
8,内,9,ジェイク・バウアーズ,.199,117,346,302,60,9,2,12,109,43,45,118,39,5,0,0,13,1,0,.301,.361,.662,.244,5,ミルウォーキー・ブリュワーズ
9,内,12,リース・ホスキンス,.214,131,517,449,96,14,0,26,188,82,59,149,53,7,0,6,3,0,11,.303,.419,.722,.230,3,ミルウォーキー・ブリュワーズ
10,内,14,アンドルー・モナステリオ,.208,59,142,125,26,5,0,1,34,16,14,40,16,1,0,0,6,2,3,.303,.272,.575,.333,6,ミルウォーキー・ブリュワーズ
11,内,15,オリバー・ダン,.221,41,104,95,21,2,2,1,30,7,11,40,6,2,1,0,3,0,1,.282,.316,.597,.167,0,ミルウォーキー・ブリュワーズ
12,内,18,ビニー・キャプラ,.111,3,9,9,1,1,0,0,2,0,1,3,0,0,0,0,0,0,1,.111,.222,.333,.000,0,ミルウォーキー・ブリュワーズ
13,内,27,ウィリー・アダメズ,.251,161,688,610,153,33,0,32,282,112,93,173,74,1,0,3,21,4,12,.331,.462,.794,.293,20,ミルウォーキー・ブリュワーズ
14,外,5,ギャレット・ミッチェル,.255,69,224,196,50,12,3,8,92,21,33,71,25,1,2,0,11,4,1,.342,.469,.812,.140,0,ミルウォーキー・ブリュワーズ
15,外,10,サル・フレリック,.259,145,524,475,123,22,4,2,159,32,66,78,39,4,2,1,18,3,8,.320,.335,.655,.269,3,ミルウォーキー・ブリュワーズ
16,外,11,ジャクソン・チョウリオ,.275,148,573,528,145,29,4,21,245,79,80,121,39,3,1,2,22,7,7,.327,.464,.791,.302,0,ミルウォーキー・ブリュワーズ
17,外,16,ブレイク・パーキンス,.240,121,434,383,92,13,2,6,127,43,54,108,42,3,0,6,23,5,3,.316,.332,.647,.272,1,ミルウォーキー・ブリュワーズ
18,外,22,クリスチャン・イエリチ,.315,73,315,270,85,12,3,11,136,42,44,58,40,2,1,1,21,1,3,.406,.504,.909,.352,1,ミルウォーキー・ブリュワーズ
19,外,28,ブルワー・ヒックレン,.000,3,5,5,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,.000,.000,.000,.000,0,ミルウォーキー・ブリュワーズ
