,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,8,クリスチャン・バスケス,.221,93,315,294,65,10,0,7,96,27,29,65,11,1,5,4,3,1,11,.248,.327,.575,.149,4,ミネソタ・ツインズ
1,捕,27,ライアン・ジェファーズ,.226,122,465,412,93,22,0,21,178,64,56,94,32,14,1,6,3,0,9,.300,.432,.732,.246,6,ミネソタ・ツインズ
2,捕,85,ジャイル・カマーゴ,.000,5,7,6,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,.143,.000,.143,.000,0,ミネソタ・ツインズ
3,内,4,カルロス・コレア,.310,86,367,319,99,20,2,14,165,54,55,61,40,3,0,4,0,0,5,.388,.517,.905,.284,5,ミネソタ・ツインズ
4,内,12,カイル・ファーマー,.214,107,242,215,46,13,1,5,76,25,26,49,19,6,0,2,3,5,6,.293,.353,.647,.237,2,ミネソタ・ツインズ
5,内,23,ロイス・ルイス,.233,82,325,292,68,16,0,16,132,47,40,74,28,0,0,5,0,0,5,.295,.452,.747,.236,7,ミネソタ・ツインズ
6,内,30,カルロス・サンタナ,.238,150,594,521,124,26,0,23,219,71,63,99,65,6,0,2,4,0,11,.328,.420,.749,.214,4,ミネソタ・ツインズ
7,内,47,エドゥアルド・フリエン,.199,94,301,266,53,9,0,8,86,21,36,102,33,2,0,0,6,0,2,.292,.323,.616,.179,5,ミネソタ・ツインズ
8,内,50,ウィリ・カストロ,.247,158,635,558,138,31,5,12,215,60,89,150,51,21,1,4,14,9,8,.331,.385,.717,.220,8,ミネソタ・ツインズ
9,内,64,ホセ・ミランダ,.284,121,429,401,114,28,4,9,177,49,44,66,18,6,0,4,2,2,13,.322,.441,.763,.290,6,ミネソタ・ツインズ
10,内,72,ブルックス・リー,.221,50,185,172,38,6,1,3,55,27,9,27,11,0,0,2,3,0,6,.265,.320,.585,.261,4,ミネソタ・ツインズ
11,内,87,ユニオル・セベリノ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ミネソタ・ツインズ
12,内,92,マイケル・ヘルマン,.300,9,10,10,3,2,0,0,5,0,2,3,0,0,0,0,0,0,0,.300,.500,.800,.000,1,ミネソタ・ツインズ
13,外,9,トレバー・ラーナック,.259,112,400,355,92,17,0,15,154,52,59,89,40,3,0,2,4,1,12,.338,.434,.771,.344,0,ミネソタ・ツインズ
14,外,13,マヌエル・マーゴー,.238,129,343,315,75,17,1,4,106,31,37,54,21,3,1,3,5,0,10,.289,.337,.626,.228,3,ミネソタ・ツインズ
15,外,19,アレックス・キリロフ,.201,57,178,159,32,8,3,5,61,20,20,47,15,1,0,3,0,0,5,.270,.384,.653,.189,0,ミネソタ・ツインズ
16,外,25,バイロン・バクストン,.279,102,388,355,99,27,3,18,186,56,62,99,20,11,0,2,7,2,3,.335,.524,.859,.263,0,ミネソタ・ツインズ
17,外,26,マックス・ケプラー,.253,105,399,368,93,21,1,8,140,42,43,80,22,5,0,3,1,0,3,.302,.380,.682,.245,0,ミネソタ・ツインズ
18,外,38,マット・ウォルナー,.259,75,261,220,57,17,1,13,115,37,26,95,24,16,0,1,3,0,2,.372,.523,.894,.319,0,ミネソタ・ツインズ
19,外,82,オースティン・マーティン,.253,93,257,233,59,18,1,1,82,16,41,47,20,2,2,0,7,3,4,.318,.352,.670,.204,1,ミネソタ・ツインズ
20,外,87,エマニュエル・ロドリゲス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ミネソタ・ツインズ
21,外,89,ダショーン・カーシーＪｒ．,.154,6,14,13,2,0,0,1,5,1,1,1,0,1,0,0,0,0,0,.214,.385,.599,.000,0,ミネソタ・ツインズ
