,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,4,フランシスコ・アルバレス,.237,100,342,308,73,14,2,11,124,47,39,86,30,2,0,2,1,1,7,.307,.403,.710,.237,6,ニューヨーク・メッツ
1,捕,13,ルイス・トレンズ,.229,48,130,118,27,8,0,3,44,15,14,28,9,2,0,1,0,1,5,.292,.373,.665,.172,1,ニューヨーク・メッツ
2,内,1,ジェフ・マクニール,.238,129,472,424,101,26,0,12,163,44,57,68,35,9,1,3,5,1,6,.308,.384,.692,.208,9,ニューヨーク・メッツ
3,内,2,ルイサンヘル・アクーニャ,.308,14,40,39,12,2,1,3,25,6,6,6,1,0,0,0,0,1,1,.325,.641,.966,.400,1,ニューヨーク・メッツ
4,内,10,ロニー・マウリシオ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・メッツ
5,内,11,ホセ・イグレシアス,.337,85,291,270,91,16,1,4,121,26,39,39,12,8,0,1,6,2,4,.381,.448,.830,.375,3,ニューヨーク・メッツ
6,内,12,フランシスコ・リンドア,.273,152,689,618,169,39,1,33,309,91,107,127,56,12,0,3,29,4,7,.344,.500,.844,.274,12,ニューヨーク・メッツ
7,内,20,ピート・アロンソ,.240,162,695,608,146,31,0,34,279,88,91,172,70,13,0,4,3,0,14,.329,.459,.788,.232,7,ニューヨーク・メッツ
8,内,22,ブレット・ベイティー,.229,50,171,153,35,3,0,4,50,16,15,42,16,1,1,0,0,0,3,.306,.327,.633,.238,2,ニューヨーク・メッツ
9,内,27,マーク・ビエントス,.266,111,454,413,110,22,0,27,213,71,58,135,33,3,0,5,0,0,6,.322,.516,.837,.255,5,ニューヨーク・メッツ
10,外,3,ジェシー・ウインカー,.253,145,508,430,109,23,0,14,174,58,63,106,63,10,2,3,14,4,12,.360,.405,.764,.327,2,ニューヨーク・メッツ
11,外,6,スターリング・マルテ,.269,94,370,335,90,13,3,7,130,40,46,81,27,3,3,2,16,1,8,.327,.388,.715,.313,2,ニューヨーク・メッツ
12,外,9,ブランドン・ニモ,.224,151,663,571,128,25,3,23,228,90,88,158,77,12,0,3,15,0,7,.327,.399,.727,.319,2,ニューヨーク・メッツ
13,外,15,タイロン・テイラー,.248,130,345,319,79,22,3,7,128,35,47,80,19,5,1,1,11,2,4,.299,.401,.701,.264,3,ニューヨーク・メッツ
14,外,29,Ｄ．Ｊ．スチュワート,.177,74,194,158,28,4,0,5,47,19,16,48,31,4,0,1,1,0,5,.325,.297,.622,.225,0,ニューヨーク・メッツ
15,外,44,ハリソン・ベイダー,.236,143,437,402,95,19,0,12,150,51,57,95,21,8,0,6,17,8,6,.284,.373,.657,.240,4,ニューヨーク・メッツ
16,外,72,アレックス・ラミレス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・メッツ
17,外,-,ホセ・アソカル,.219,61,79,73,16,2,0,0,18,2,13,19,5,0,1,0,5,1,1,.269,.247,.516,.091,0,ニューヨーク・メッツ
18,指,28,Ｊ．Ｄ．マルティネス,.235,120,495,434,102,24,1,16,176,69,46,141,49,6,0,2,0,0,17,.320,.406,.725,.296,0,ニューヨーク・メッツ
