,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,28,オースティン・ウェルズ,.229,115,414,354,81,18,1,13,140,55,42,87,47,5,1,7,1,2,9,.322,.395,.718,.255,11,ニューヨーク・ヤンキース
1,捕,39,ホセ・トレビノ,.215,74,234,209,45,5,0,8,74,28,26,41,20,2,1,2,1,0,12,.288,.354,.642,.222,6,ニューヨーク・ヤンキース
2,捕,93,ベン・ライス,.171,50,178,152,26,6,0,7,53,23,20,48,20,1,0,5,0,1,2,.264,.349,.613,.171,2,ニューヨーク・ヤンキース
3,捕,94,カルロス・ナーバエズ,.231,6,15,13,3,0,0,0,3,0,0,6,2,0,0,0,0,0,0,.333,.231,.564,.333,0,ニューヨーク・ヤンキース
4,内,11,アンソニー・ボルペ,.243,160,689,637,155,27,7,12,232,60,90,156,42,4,2,3,28,7,9,.293,.364,.657,.214,16,ニューヨーク・ヤンキース
5,内,19,ジョン・バーティ,.273,25,74,66,18,0,0,1,21,6,10,14,6,1,1,0,5,1,2,.342,.318,.661,.333,3,ニューヨーク・ヤンキース
6,内,25,グレイバー・トーレス,.257,154,665,587,151,26,0,15,222,63,80,136,65,3,2,8,4,3,6,.330,.378,.709,.269,18,ニューヨーク・ヤンキース
7,内,26,ＤＪ・ラメーヒュー,.204,67,228,201,41,5,0,2,52,26,19,35,19,1,1,6,0,1,13,.269,.259,.527,.264,3,ニューヨーク・ヤンキース
8,内,48,アンソニー・リゾ,.228,92,375,337,77,12,0,8,113,35,38,65,27,9,0,2,0,0,7,.301,.335,.637,.253,3,ニューヨーク・ヤンキース
9,内,90,ホルビト・ビバス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・ヤンキース
10,内,91,オスワルド・ペラザ,.200,4,11,10,2,0,0,1,5,1,2,3,1,0,0,0,0,0,0,.273,.500,.773,.000,0,ニューヨーク・ヤンキース
11,内,95,オスワルド・カブレラ,.247,109,326,299,74,11,0,8,109,36,47,63,21,1,2,3,4,2,6,.296,.365,.661,.275,7,ニューヨーク・ヤンキース
12,外,12,トレント・グリシャム,.190,76,209,179,34,8,0,9,69,31,21,57,22,4,1,2,1,1,5,.290,.385,.675,.231,2,ニューヨーク・ヤンキース
13,外,13,ジャズ・チザム,.256,147,621,562,144,21,4,24,245,73,74,152,53,4,0,2,40,10,6,.324,.436,.760,.269,9,ニューヨーク・ヤンキース
14,外,22,フアン・ソト,.288,157,713,576,166,31,4,41,328,109,128,119,129,4,0,4,7,4,10,.419,.569,.989,.345,2,ニューヨーク・ヤンキース
15,外,24,アレックス・バードゥーゴ,.233,149,621,559,130,28,1,13,199,61,74,93,49,1,2,10,2,1,14,.291,.356,.647,.239,1,ニューヨーク・ヤンキース
16,外,70,デューク・エリス,.200,11,5,5,1,0,0,0,1,0,1,2,0,0,0,0,5,0,0,.200,.200,.400,.000,2,ニューヨーク・ヤンキース
17,外,80,エバーソン・ペレイラ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・ヤンキース
18,外,89,ジェイソン・ドミンゲス,.179,18,67,56,10,1,0,2,17,4,8,19,11,0,0,0,5,0,0,.313,.304,.617,.182,1,ニューヨーク・ヤンキース
19,外,99,アーロン・ジャッジ,.322,158,704,559,180,36,1,58,392,144,122,171,133,9,0,2,10,0,22,.458,.701,1.159,.336,0,ニューヨーク・ヤンキース
20,指,27,ジアンカルロ・スタントン,.233,114,459,417,97,20,0,27,198,72,49,143,38,2,0,2,0,0,17,.298,.475,.773,.278,0,ニューヨーク・ヤンキース
