,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,23,シェイ・ランゲリアーズ,.224,137,534,482,108,18,2,29,217,80,58,145,41,5,0,6,4,2,15,.288,.450,.739,.177,5,オークランド・アスレチックス
1,捕,52,カイル・マキャン,.236,54,157,140,33,4,0,5,52,15,13,59,16,1,0,0,0,0,2,.318,.371,.690,.226,4,オークランド・アスレチックス
2,内,2,ダレル・ハネズ,.192,48,135,120,23,3,0,1,29,12,8,27,11,1,1,2,1,1,4,.261,.242,.503,.217,3,オークランド・アスレチックス
3,内,5,ジェイコブ・ウィルソン,.250,28,103,92,23,2,2,0,29,3,11,10,8,1,1,1,0,0,4,.314,.315,.629,.111,0,オークランド・アスレチックス
4,内,10,ニック・アレン,.175,41,105,97,17,4,0,1,24,4,6,20,5,0,3,0,0,0,0,.216,.247,.463,.067,6,オークランド・アスレチックス
5,内,12,マックスウェル・スチュエマン,.220,133,459,396,87,14,0,7,122,34,55,119,47,7,5,4,14,1,8,.311,.308,.619,.198,15,オークランド・アスレチックス
6,内,16,トリスタン・グレイ,.107,15,31,28,3,1,0,0,4,0,0,16,3,0,0,0,0,0,0,.194,.143,.336,.000,0,オークランド・アスレチックス
7,内,20,ザック・ゲロフ,.211,138,547,497,105,20,2,17,180,49,60,188,38,4,3,5,25,3,7,.270,.362,.632,.167,7,オークランド・アスレチックス
8,内,21,タイラー・ソーダーストロム,.233,61,213,189,44,10,0,9,81,26,18,53,20,3,0,1,0,0,7,.315,.429,.743,.160,3,オークランド・アスレチックス
9,内,26,タイラー・ネビン,.204,87,278,245,50,10,0,7,81,20,22,64,25,5,0,3,1,0,5,.288,.331,.618,.127,4,オークランド・アスレチックス
10,内,49,ライアン・ノダ,.137,36,111,95,13,4,0,1,20,4,8,37,14,1,1,0,0,0,0,.255,.211,.465,.286,2,オークランド・アスレチックス
11,内,50,アーマンド・アルバレス,.243,16,39,37,9,1,0,0,10,2,7,8,2,0,0,0,1,0,1,.282,.270,.552,.286,0,オークランド・アスレチックス
12,内,77,ブレット・ハリス,.146,36,123,103,15,3,0,3,27,12,15,25,17,2,0,1,0,3,3,.276,.262,.539,.250,3,オークランド・アスレチックス
13,内,-,Ｃ．Ｊ．アレクサンダー,.125,4,8,8,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,.125,.125,.250,.000,0,オークランド・アスレチックス
14,外,1,エステウリ・ルイーズ,.200,29,65,55,11,2,1,2,21,8,10,20,4,2,2,2,5,4,1,.270,.382,.652,.333,1,オークランド・アスレチックス
15,外,4,ローレンス・バトラー,.262,125,451,412,108,24,2,22,202,57,63,108,35,0,0,4,18,0,8,.317,.490,.807,.292,4,オークランド・アスレチックス
16,外,15,セス・ブラウン,.231,124,400,372,86,11,1,14,141,44,32,112,25,2,0,1,4,2,7,.283,.379,.662,.270,4,オークランド・アスレチックス
17,外,22,ミゲル・アンドゥハー,.285,75,319,302,86,14,1,4,114,30,31,42,13,3,0,1,3,2,10,.320,.377,.697,.333,2,オークランド・アスレチックス
18,外,25,ブレント・ルーカー,.293,145,614,546,160,26,2,39,307,112,82,177,59,5,0,4,11,3,5,.365,.562,.927,.338,0,オークランド・アスレチックス
19,外,28,ダズ・キャメロン,.200,66,186,170,34,5,1,5,56,15,22,51,13,1,0,2,5,0,3,.258,.329,.587,.225,0,オークランド・アスレチックス
20,外,33,ジェフリー・ブレデイ,.243,159,642,572,139,43,4,20,250,60,74,125,67,2,1,0,2,3,8,.324,.437,.762,.227,5,オークランド・アスレチックス
