,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,10,Ｊ．Ｔ．リアルミュート,.266,99,413,380,101,18,1,14,163,47,50,102,27,5,0,1,2,2,7,.322,.429,.751,.232,5,フィラデルフィア・フィリーズ
1,捕,13,ラファエル・マルシャン,.294,17,56,51,15,4,0,3,28,6,8,8,3,1,1,0,0,0,1,.345,.549,.894,.364,2,フィラデルフィア・フィリーズ
2,捕,21,ギャレット・スタッブス,.207,56,187,164,34,4,1,1,43,11,18,50,17,4,0,1,5,0,0,.296,.262,.558,.262,2,フィラデルフィア・フィリーズ
3,内,2,コディ・クレメンス,.219,44,120,114,25,9,1,5,51,18,17,29,5,1,0,0,0,0,2,.258,.447,.706,.189,3,フィラデルフィア・フィリーズ
4,内,3,ブライス・ハーパー,.285,145,631,550,157,42,0,30,289,87,85,138,76,2,1,2,7,4,18,.373,.525,.898,.331,5,フィラデルフィア・フィリーズ
5,内,5,ブライソン・ストット,.245,148,571,506,124,19,2,11,180,57,65,93,53,3,0,9,32,3,9,.315,.356,.671,.229,6,フィラデルフィア・フィリーズ
6,内,7,トレー・ターナー,.295,121,539,505,149,25,0,21,237,62,88,98,27,6,0,1,19,4,10,.338,.469,.807,.275,17,フィラデルフィア・フィリーズ
7,内,19,バディ・ケネディ,.190,14,26,21,4,1,0,1,8,6,3,7,4,0,0,1,1,0,0,.308,.381,.689,1.000,0,フィラデルフィア・フィリーズ
8,内,28,アレク・ボーム,.280,143,606,554,155,44,2,15,248,97,62,86,40,6,0,6,5,2,18,.332,.448,.779,.301,15,フィラデルフィア・フィリーズ
9,内,29,ロドルフ・カストロ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,フィラデルフィア・フィリーズ
10,内,33,エドムンド・ソーサ,.257,90,274,249,64,12,4,7,105,31,39,66,13,8,1,2,7,1,5,.313,.422,.734,.250,6,フィラデルフィア・フィリーズ
11,外,8,ニック・カステラノス,.254,162,659,606,154,30,4,23,261,86,80,139,41,10,0,2,6,2,14,.311,.431,.742,.263,3,フィラデルフィア・フィリーズ
12,外,9,オースティン・ヘイズ,.255,85,255,235,60,18,0,5,93,20,26,59,9,8,1,2,2,2,2,.303,.396,.699,.226,1,フィラデルフィア・フィリーズ
13,外,16,ブランドン・マーシュ,.249,135,476,418,104,17,3,16,175,60,55,154,50,2,1,5,19,3,2,.328,.419,.747,.254,5,フィラデルフィア・フィリーズ
14,外,18,ヨハン・ロハス,.243,120,363,338,82,12,3,3,109,32,47,69,13,4,8,0,25,4,7,.279,.322,.601,.313,2,フィラデルフィア・フィリーズ
15,外,37,ウェストン・ウィルソン,.284,41,98,88,25,7,1,3,43,10,13,29,8,1,0,1,3,0,2,.347,.489,.836,.250,2,フィラデルフィア・フィリーズ
16,外,47,キャル・スティーブンソン,.250,18,27,24,6,3,0,0,9,6,2,4,3,0,0,0,0,0,1,.333,.375,.708,.500,0,フィラデルフィア・フィリーズ
17,指,12,カイル・シュワバー,.248,150,692,573,142,22,0,38,278,104,110,197,106,5,0,8,5,3,6,.366,.485,.851,.283,0,フィラデルフィア・フィリーズ
