,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,5,エンディ・ロドリゲス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ピッツバーグ・パイレーツ
1,捕,6,ヤスマニー・グランダル,.228,72,243,215,49,10,0,9,86,27,26,46,24,0,3,1,1,0,7,.304,.400,.704,.260,7,ピッツバーグ・パイレーツ
2,捕,14,ジョーイ・バート,.265,80,282,253,67,11,0,13,117,45,38,73,22,6,0,1,0,0,8,.337,.462,.799,.229,4,ピッツバーグ・パイレーツ
3,捕,32,ヘンリー・デービス,.144,37,122,104,15,4,0,1,22,5,9,45,13,1,1,2,0,0,1,.242,.212,.453,.045,2,ピッツバーグ・パイレーツ
4,捕,55,ジェーソン・ディレー,.200,7,19,15,3,3,0,0,6,6,1,0,3,0,1,0,0,0,0,.333,.400,.733,.667,0,ピッツバーグ・パイレーツ
5,内,2,コナー・ジョー,.228,123,416,364,83,22,1,9,134,36,49,91,44,6,0,2,2,2,7,.320,.368,.688,.198,4,ピッツバーグ・パイレーツ
6,内,7,アイザイア・カイナーファレファ,.269,133,496,465,125,18,4,8,175,43,53,78,16,10,3,2,11,2,12,.306,.376,.683,.276,5,ピッツバーグ・パイレーツ
7,内,13,ケブライアン・ヘイズ,.233,96,396,365,85,9,0,4,106,25,38,75,23,4,0,4,11,2,12,.283,.290,.573,.192,5,ピッツバーグ・パイレーツ
8,内,15,オニール・クルーズ,.259,146,599,541,140,34,3,21,243,76,72,181,51,3,0,4,22,1,8,.324,.449,.773,.241,26,ピッツバーグ・パイレーツ
9,内,19,ジャレッド・トリオロ,.216,125,446,394,85,10,1,9,124,46,41,118,42,5,0,5,8,1,5,.296,.315,.611,.232,3,ピッツバーグ・パイレーツ
10,内,25,アリカ・ウィリアムズ,.207,37,96,87,18,4,2,0,26,5,13,22,3,1,5,0,1,0,0,.242,.299,.541,.176,2,ピッツバーグ・パイレーツ
11,内,31,リオバ・ペゲロ,.200,3,10,10,2,1,0,0,3,2,0,3,0,0,0,0,0,0,0,.200,.300,.500,.333,1,ピッツバーグ・パイレーツ
12,内,38,ニック・ヨーク,.216,11,42,37,8,0,0,2,14,5,4,12,4,0,0,1,2,0,0,.286,.378,.664,.143,1,ピッツバーグ・パイレーツ
13,内,39,ニック・ゴンザレス,.270,94,387,359,97,19,3,7,143,49,42,74,18,5,1,4,5,3,8,.311,.398,.709,.302,7,ピッツバーグ・パイレーツ
14,内,71,チェン・ツンチェ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ピッツバーグ・パイレーツ
15,外,3,ベ・ジファン,.189,29,81,74,14,2,0,0,16,6,11,24,6,0,0,1,6,2,0,.247,.216,.463,.286,0,ピッツバーグ・パイレーツ
16,外,10,ブライアン・レイノルズ,.275,156,692,622,171,29,3,24,278,88,73,156,57,10,0,3,10,2,7,.344,.447,.791,.317,2,ピッツバーグ・パイレーツ
17,外,22,アンドルー・マカチェン,.232,120,515,448,104,18,1,20,184,50,66,133,58,7,0,2,3,2,9,.328,.411,.739,.226,0,ピッツバーグ・パイレーツ
18,外,28,ビリー・クック,.224,16,49,49,11,2,0,3,22,8,5,19,0,0,0,0,1,0,0,.224,.449,.673,.200,1,ピッツバーグ・パイレーツ
19,外,41,ブライアン・デラクルーズ,.233,149,622,584,136,25,0,21,224,68,61,170,29,3,0,5,5,2,10,.271,.384,.654,.214,4,ピッツバーグ・パイレーツ
20,外,65,ジャック・スウィンスキー,.182,88,277,247,45,8,0,9,80,26,29,79,27,1,1,1,9,1,3,.264,.324,.588,.212,1,ピッツバーグ・パイレーツ
21,外,77,ジョシュ・パラシオス,.224,23,78,67,15,2,0,2,23,9,10,12,10,1,0,0,1,0,1,.333,.343,.677,.364,0,ピッツバーグ・パイレーツ
