,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,2,カート・カサーリ,.194,41,125,108,21,3,0,1,27,8,12,22,13,2,2,0,0,0,3,.293,.250,.543,.174,7,サンフランシスコ・ジャイアンツ
1,捕,14,パトリック・ベイリー,.234,121,448,401,94,16,1,8,136,46,46,100,39,0,1,7,4,0,10,.298,.339,.637,.223,3,サンフランシスコ・ジャイアンツ
2,捕,19,トム・マーフィー,.118,13,38,34,4,1,0,1,8,2,3,14,4,0,0,0,0,0,0,.211,.235,.446,.167,0,サンフランシスコ・ジャイアンツ
3,捕,21,ブレイク・セイボル,.313,11,38,32,10,2,0,0,12,1,3,9,5,1,0,0,0,0,0,.421,.375,.796,.286,3,サンフランシスコ・ジャイアンツ
4,内,0,ブレット・ワイズリー,.238,91,272,252,60,13,1,4,87,31,25,65,13,2,2,3,2,3,3,.278,.345,.623,.333,3,サンフランシスコ・ジャイアンツ
5,内,10,ケイシー・シュミット,.252,40,113,107,27,4,1,6,51,16,11,25,4,1,0,1,0,0,2,.283,.477,.760,.194,3,サンフランシスコ・ジャイアンツ
6,内,16,マーク・キャンハ,.242,125,462,393,95,20,0,7,136,42,46,96,51,13,0,5,7,0,10,.344,.346,.690,.265,4,サンフランシスコ・ジャイアンツ
7,内,18,ドニー・ウォルトン,.136,9,25,22,3,0,0,1,6,2,3,7,2,1,0,0,0,0,2,.240,.273,.513,.167,0,サンフランシスコ・ジャイアンツ
8,内,26,マット・チャプマン,.247,154,647,575,142,39,2,27,266,78,98,158,64,6,0,2,15,2,13,.328,.463,.790,.230,15,サンフランシスコ・ジャイアンツ
9,内,31,ラモント・ウェード,.260,117,401,331,86,16,0,8,126,34,45,90,62,4,1,3,2,1,2,.380,.381,.761,.290,1,サンフランシスコ・ジャイアンツ
10,内,32,デービッド・ビラー,.257,11,37,35,9,4,0,1,16,4,3,13,1,0,0,1,0,0,0,.270,.457,.727,.500,0,サンフランシスコ・ジャイアンツ
11,内,37,マルコ・ルシアーノ,.211,27,81,76,16,5,1,0,23,3,10,28,5,0,0,0,0,1,1,.259,.303,.562,.188,6,サンフランシスコ・ジャイアンツ
12,内,41,ウィルマー・フローレス,.206,71,242,214,44,12,0,4,68,26,19,33,20,3,0,5,0,0,5,.277,.318,.595,.207,3,サンフランシスコ・ジャイアンツ
13,内,49,タイラー・フィッツジェラルド,.280,96,341,314,88,19,2,15,156,34,53,108,22,4,0,1,17,4,2,.334,.497,.831,.179,14,サンフランシスコ・ジャイアンツ
14,外,5,マイク・ヤストレムスキー,.231,140,474,428,99,16,9,18,187,57,60,124,38,6,1,1,3,2,5,.302,.437,.739,.196,4,サンフランシスコ・ジャイアンツ
15,外,8,マイケル・コンフォート,.237,130,488,438,104,27,3,20,197,66,56,118,42,5,0,3,0,1,16,.309,.450,.759,.217,2,サンフランシスコ・ジャイアンツ
16,外,17,エリオト・ラモス,.269,121,518,475,128,23,3,22,223,72,54,135,37,2,0,4,6,1,12,.322,.469,.792,.310,1,サンフランシスコ・ジャイアンツ
17,外,29,ルイス・マトス,.213,45,156,150,32,5,0,5,52,25,14,24,5,0,0,1,0,0,5,.237,.347,.584,.244,1,サンフランシスコ・ジャイアンツ
18,外,51,李政厚,.262,37,158,145,38,4,0,2,48,8,15,13,10,1,0,2,2,3,2,.310,.331,.641,.231,0,サンフランシスコ・ジャイアンツ
19,外,53,ウェード・メックラー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,サンフランシスコ・ジャイアンツ
20,外,58,グラント・マクレイ,.202,37,130,124,25,3,2,5,47,10,13,56,6,0,0,0,5,0,3,.238,.379,.617,.129,2,サンフランシスコ・ジャイアンツ
21,外,59,ヘラル・エンカーナシオン,.248,35,119,113,28,5,0,5,48,19,13,34,5,0,0,1,1,0,0,.277,.425,.702,.286,1,サンフランシスコ・ジャイアンツ
