,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,29,キャル・ラリー,.220,153,628,546,120,16,0,34,238,100,73,176,70,6,0,6,6,1,7,.312,.436,.748,.270,6,シアトル・マリナーズ
1,内,1,ライアン・ブリス,.222,33,71,63,14,3,1,2,25,9,10,22,5,1,2,0,5,3,1,.290,.397,.687,.261,1,シアトル・マリナーズ
2,内,2,ジャスティン・ターナー,.259,139,539,460,119,24,0,11,176,55,59,95,59,13,0,7,0,2,16,.354,.383,.737,.267,4,シアトル・マリナーズ
3,内,3,Ｊ．Ｐ．クロフォード,.202,105,451,392,79,16,2,9,126,37,55,102,52,6,0,1,5,0,4,.304,.321,.625,.191,3,シアトル・マリナーズ
4,内,4,ジョシュ・ロハス,.225,143,476,422,95,19,2,8,142,31,48,108,46,3,1,2,10,4,6,.304,.336,.641,.244,10,シアトル・マリナーズ
5,内,7,ホルヘ・ポランコ,.213,118,469,417,89,11,0,16,148,45,43,137,46,4,0,2,4,2,16,.296,.355,.651,.211,7,シアトル・マリナーズ
6,内,23,ルイス・ウリアス,.191,41,109,94,18,7,0,4,37,16,11,34,9,6,0,0,0,0,2,.303,.394,.696,.300,6,シアトル・マリナーズ
7,内,25,ディラン・ムーア,.201,135,441,368,74,23,4,10,135,42,53,123,53,14,1,5,32,6,8,.320,.367,.687,.254,5,シアトル・マリナーズ
8,内,27,タイラー・ロックリア,.156,16,49,45,7,1,0,2,14,3,3,20,3,1,0,0,1,0,3,.224,.311,.536,.000,0,シアトル・マリナーズ
9,内,76,レオナルド・リバス,.233,43,86,73,17,1,1,0,20,8,10,24,10,1,2,0,3,0,1,.333,.274,.607,.261,2,シアトル・マリナーズ
10,外,0,サム・ハガーティー,.067,8,16,15,1,0,0,0,1,1,1,4,1,0,0,0,1,0,0,.125,.067,.192,.333,1,シアトル・マリナーズ
11,外,5,ケイド・マーロ,.250,8,9,8,2,0,0,0,2,0,1,1,1,0,0,0,0,0,1,.333,.250,.583,.000,0,シアトル・マリナーズ
12,外,8,ドミニク・カンゾーネ,.196,67,188,168,33,7,0,8,64,17,20,53,18,0,0,2,1,0,5,.271,.381,.652,.095,0,シアトル・マリナーズ
13,外,10,ビクトル・ロブレス,.307,91,295,254,78,20,0,4,110,28,44,53,21,11,6,3,34,2,2,.381,.433,.814,.327,3,シアトル・マリナーズ
14,外,12,サマッド・テイラー,.400,3,5,5,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,.400,.400,.800,.000,0,シアトル・マリナーズ
15,外,17,ミッチ・ハニガー,.208,121,423,380,79,12,0,12,127,44,42,126,40,2,0,1,0,0,10,.286,.334,.620,.202,5,シアトル・マリナーズ
16,外,20,ルーカス・レイリー,.243,137,455,404,98,19,2,22,187,58,58,135,27,20,2,2,11,2,2,.320,.463,.783,.308,4,シアトル・マリナーズ
17,外,44,フリオ・ロドリゲス,.273,143,613,567,155,17,0,20,232,68,76,156,38,6,0,2,24,5,10,.325,.409,.734,.264,5,シアトル・マリナーズ
18,外,56,ランディ・アロザレーナ,.219,154,648,549,120,33,0,20,213,60,77,169,73,22,0,4,20,10,7,.332,.388,.720,.189,2,シアトル・マリナーズ
19,指,18,ミッチ・ガーバー,.172,114,430,367,63,17,0,15,125,51,37,133,53,7,0,3,0,0,9,.286,.341,.627,.194,0,シアトル・マリナーズ
20,投,58,ルイス・カスティーヨ,.000,30,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,1,シアトル・マリナーズ
