,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,40,ウィルソン・コントレラス,.262,84,358,301,79,17,0,15,141,36,48,96,45,12,0,0,4,1,7,.380,.468,.848,.210,3,セントルイス・カージナルス
1,捕,43,ペドロ・パージェス,.238,68,218,202,48,3,2,7,76,27,19,58,13,0,1,2,2,0,7,.281,.376,.657,.224,3,セントルイス・カージナルス
2,捕,48,イバン・ヘレラ,.301,72,259,229,69,12,1,5,98,27,37,53,25,2,0,2,5,0,3,.372,.428,.800,.274,3,セントルイス・カージナルス
3,内,0,メイシン・ウィン,.267,150,637,587,157,32,5,15,244,57,85,109,41,1,3,5,11,5,1,.314,.416,.730,.256,18,セントルイス・カージナルス
4,内,15,ホセ・フェルミン,.155,45,79,71,11,1,1,0,14,4,7,11,7,1,0,0,2,1,3,.241,.197,.438,.125,0,セントルイス・カージナルス
5,内,16,ノーラン・ゴーマン,.203,107,402,365,74,15,0,19,146,50,42,151,34,1,0,2,6,1,2,.271,.400,.671,.159,10,セントルイス・カージナルス
6,内,25,トーマス・サジェーゼ,.204,18,52,49,10,2,0,1,15,4,5,14,2,1,0,0,0,0,0,.250,.306,.556,.077,3,セントルイス・カージナルス
7,内,26,ルーケン・ベーカー,.175,21,49,40,7,1,1,2,16,10,3,11,7,0,0,2,1,0,1,.286,.400,.686,.400,0,セントルイス・カージナルス
8,内,28,ノーラン・アレナド,.272,152,635,578,157,23,0,16,228,71,70,92,44,5,0,7,2,2,15,.325,.394,.719,.272,9,セントルイス・カージナルス
9,内,46,ポール・ゴールドシュミット,.245,154,654,599,147,33,1,22,248,65,70,173,47,2,0,2,11,0,20,.302,.414,.716,.203,5,セントルイス・カージナルス
10,外,11,ビクター・スコット,.179,53,155,145,26,9,0,2,41,10,14,42,6,2,0,2,5,1,0,.219,.283,.502,.103,2,セントルイス・カージナルス
11,外,18,ジョーダン・ウォーカー,.201,51,178,164,33,10,1,5,60,20,16,50,10,2,0,2,1,0,4,.253,.366,.619,.214,1,セントルイス・カージナルス
12,外,21,ラーズ・ヌートバー,.244,109,405,348,85,18,3,12,145,45,39,79,52,1,1,3,7,3,10,.342,.417,.758,.227,3,セントルイス・カージナルス
13,外,33,ブレンダン・ドノバン,.278,153,652,587,163,34,3,14,245,73,65,81,47,13,0,5,5,5,4,.342,.417,.759,.279,2,セントルイス・カージナルス
14,外,41,アレク・バールソン,.269,152,595,547,147,20,0,21,230,78,71,76,35,4,1,6,9,4,8,.314,.420,.735,.280,1,セントルイス・カージナルス
15,外,63,マイク・シアーニ,.228,124,334,298,68,7,2,2,85,20,42,92,21,3,11,1,20,3,2,.285,.285,.570,.154,0,セントルイス・カージナルス
16,指,13,マット・カーペンター,.234,59,157,137,32,7,0,4,51,15,15,51,15,2,0,2,0,2,0,.314,.372,.686,.176,0,セントルイス・カージナルス
