,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,30,ベン・ロートベット,.228,112,328,290,66,13,0,3,88,31,27,88,34,4,0,0,1,0,6,.317,.303,.621,.221,9,タンパベイ・レイズ
1,捕,41,ローガン・ドリスコル,.171,15,37,35,6,0,0,1,9,5,2,6,1,0,0,1,0,0,0,.189,.257,.446,.250,1,タンパベイ・レイズ
2,捕,50,レネ・ピント,.214,19,49,42,9,3,0,2,18,6,5,18,4,1,1,1,0,0,0,.292,.429,.720,.200,1,タンパベイ・レイズ
3,内,1,リッチー・パラシオス,.223,92,316,264,59,8,1,5,84,21,46,67,45,5,0,1,19,1,5,.346,.318,.664,.269,7,タンパベイ・レイズ
4,内,2,ヤンディ・ディアス,.281,145,621,563,158,31,1,14,233,65,55,95,50,4,0,4,0,0,12,.341,.414,.755,.275,9,タンパベイ・レイズ
5,内,6,テーラー・ウォールズ,.183,84,252,218,40,5,3,1,54,14,27,67,31,0,0,3,16,4,3,.282,.248,.529,.182,3,タンパベイ・レイズ
6,内,7,ホセ・カバジェロ,.227,139,483,441,100,24,1,9,153,44,53,133,27,9,3,3,44,16,6,.283,.347,.630,.229,12,タンパベイ・レイズ
7,内,8,ブランドン・ロー,.244,107,425,385,94,19,3,21,182,58,56,112,33,5,0,2,5,1,7,.311,.473,.783,.302,0,タンパベイ・レイズ
8,内,13,ジュニオール・カミネロ,.248,43,177,165,41,9,1,6,70,18,15,38,11,1,0,0,2,0,2,.299,.424,.724,.200,6,タンパベイ・レイズ
9,内,24,クリストファー・モレル,.196,152,611,535,105,11,3,21,185,60,56,159,61,10,0,5,8,7,15,.288,.346,.634,.180,13,タンパベイ・レイズ
10,内,25,カーティス・ミード,.238,38,132,122,29,3,0,1,35,7,10,30,6,2,0,1,2,0,2,.282,.287,.569,.176,4,タンパベイ・レイズ
11,内,37,オスレイビス・バサベ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,タンパベイ・レイズ
12,内,54,オースティン・シェントン,.214,19,50,42,9,5,0,1,17,3,3,14,8,0,0,0,0,0,1,.340,.405,.745,.182,0,タンパベイ・レイズ
13,内,62,ジョナサン・アランダ,.234,44,143,128,30,7,0,6,55,14,22,32,12,2,0,1,0,0,2,.308,.430,.737,.161,0,タンパベイ・レイズ
14,外,10,ディラン・カールソン,.209,96,265,235,49,7,0,3,65,25,19,75,22,5,0,3,2,1,2,.287,.277,.563,.268,1,タンパベイ・レイズ
15,外,15,ジョシュア・ロー,.241,106,387,353,85,19,2,10,138,34,37,123,32,0,0,2,25,1,2,.302,.391,.693,.172,4,タンパベイ・レイズ
16,外,21,ジョニー・デルーカ,.217,107,362,332,72,12,4,6,110,31,29,77,24,4,2,0,16,6,1,.278,.331,.609,.168,2,タンパベイ・レイズ
17,外,22,ホセ・シリ,.187,130,448,402,75,16,1,18,147,47,50,170,31,7,2,4,14,7,5,.255,.366,.620,.146,7,タンパベイ・レイズ
18,外,26,キャメロン・マイスナー,.067,8,15,15,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,.067,.067,.133,.000,0,タンパベイ・レイズ
