,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,18,カーソン・ケリー,.238,91,313,281,67,9,1,9,105,37,32,55,25,6,0,1,0,0,6,.313,.374,.687,.328,3,テキサス・レンジャーズ
1,捕,28,ヨナ・ハイム,.220,131,491,459,101,12,1,13,154,59,45,90,26,4,0,2,1,1,13,.267,.336,.602,.246,7,テキサス・レンジャーズ
2,捕,55,サム・ハフ,.000,3,4,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.250,.000,.250,.000,0,テキサス・レンジャーズ
3,内,2,マーカス・セミエン,.237,159,718,650,154,27,2,23,254,74,101,105,64,3,0,1,8,3,9,.308,.391,.699,.303,7,テキサス・レンジャーズ
4,内,5,コリー・シーガー,.278,123,533,475,132,21,0,30,243,74,68,96,53,3,0,2,1,1,8,.353,.512,.864,.325,7,テキサス・レンジャーズ
5,内,6,ジョシュ・ヤン,.264,46,188,178,47,5,1,7,75,16,19,48,8,1,0,1,4,0,1,.298,.421,.719,.333,3,テキサス・レンジャーズ
6,内,8,ジョシュ・スミス,.258,149,592,523,135,30,1,13,206,62,67,121,46,18,2,3,11,2,6,.337,.394,.731,.315,11,テキサス・レンジャーズ
7,内,9,マット・ダフィー,.286,4,10,7,2,0,0,0,2,0,2,1,2,1,0,0,0,0,0,.500,.286,.786,.000,0,テキサス・レンジャーズ
8,内,20,エゼケル・デュラン,.246,92,285,268,66,11,0,3,86,20,26,63,14,2,0,1,1,2,6,.288,.321,.609,.254,5,テキサス・レンジャーズ
9,内,21,ジョナサン・オーネラス,.216,18,40,37,8,2,0,0,10,3,1,13,2,0,1,0,0,0,0,.256,.270,.527,.143,2,テキサス・レンジャーズ
10,内,30,ネート・ロー,.265,140,565,486,129,16,1,16,195,69,62,125,71,4,0,4,2,0,9,.361,.401,.762,.330,5,テキサス・レンジャーズ
11,内,56,ジャスティン・フォスキュー,.048,15,44,42,2,1,0,0,3,1,3,18,2,0,0,0,0,0,0,.091,.071,.162,.083,0,テキサス・レンジャーズ
12,外,3,レオディ・タベラス,.229,151,529,480,110,17,3,12,169,44,59,112,42,0,3,4,23,6,8,.289,.352,.641,.214,3,テキサス・レンジャーズ
13,外,16,トラビス・ジャンコウスキー,.200,104,207,190,38,5,0,1,46,12,19,44,12,5,0,0,11,1,3,.266,.242,.508,.257,3,テキサス・レンジャーズ
14,外,32,エバン・カーター,.188,45,162,144,27,6,2,5,52,15,23,43,15,2,0,1,2,0,1,.272,.361,.633,.192,1,テキサス・レンジャーズ
15,外,36,ワイアット・ラングフォード,.253,134,557,499,126,25,4,16,207,74,74,115,51,4,0,3,19,3,6,.325,.415,.740,.294,2,テキサス・レンジャーズ
16,外,38,ダスティン・ハリス,.333,2,7,6,2,1,0,1,6,3,1,2,1,0,0,0,0,0,0,.429,1.000,1.429,.333,0,テキサス・レンジャーズ
17,外,40,サンドロ・ファビアン,.000,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,テキサス・レンジャーズ
18,外,53,アドリス・ガルシア,.224,154,637,580,130,27,0,25,232,85,68,177,45,6,0,6,11,5,12,.284,.400,.684,.238,4,テキサス・レンジャーズ
