,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,30,アレハンドロ・カーク,.253,103,386,340,86,19,1,5,122,54,23,51,35,2,0,9,0,0,11,.319,.359,.677,.261,7,トロント・ブルージェイズ
1,捕,55,タイラー・ハイネマン,.083,8,16,12,1,0,0,0,1,0,2,6,3,1,0,0,0,0,0,.313,.083,.396,.333,0,トロント・ブルージェイズ
2,捕,-,ニコラス・ラポソ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,トロント・ブルージェイズ
3,内,7,ウィル・ワグナー,.305,24,86,82,25,6,0,2,37,11,8,16,4,0,0,0,0,0,3,.337,.451,.788,.304,1,トロント・ブルージェイズ
4,内,11,ボ・ビシェット,.225,81,336,311,70,16,1,4,100,31,29,64,20,3,0,2,5,1,12,.277,.322,.598,.348,7,トロント・ブルージェイズ
5,内,13,オレルビス・マルティネス,.333,1,3,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.333,.333,.667,.000,1,トロント・ブルージェイズ
6,内,20,ルイス・デロスサントス,.172,13,31,29,5,2,0,0,7,1,2,10,2,0,0,0,0,0,2,.226,.241,.467,.143,2,トロント・ブルージェイズ
7,内,27,ウラジーミル・ゲレロＪｒ．,.323,159,697,616,199,44,1,30,335,103,98,96,72,5,0,4,2,2,16,.396,.544,.940,.298,12,トロント・ブルージェイズ
8,内,28,アーニー・クレメント,.263,139,452,434,114,21,3,12,177,51,48,41,11,3,2,2,12,3,11,.284,.408,.692,.297,13,トロント・ブルージェイズ
9,内,48,スペンサー・ホーウィッツ,.265,97,381,328,87,19,0,12,142,40,46,70,42,7,0,4,0,0,8,.357,.433,.790,.268,3,トロント・ブルージェイズ
10,内,49,レオ・ヒメネス,.229,63,210,179,41,11,0,4,64,19,18,59,12,16,0,3,0,0,6,.329,.358,.686,.225,4,トロント・ブルージェイズ
11,外,4,ジョージ・スプリンガー,.220,145,614,545,120,19,3,19,202,56,74,115,60,6,0,2,16,1,16,.303,.371,.674,.218,2,トロント・ブルージェイズ
12,外,8,ホナタン・クラセ,.246,26,66,61,15,2,0,1,20,5,7,17,3,2,0,0,3,1,1,.303,.328,.631,.125,0,トロント・ブルージェイズ
13,外,9,ジョーイ・ロペルフィド,.214,81,262,243,52,13,4,4,85,25,24,95,13,4,1,1,4,2,3,.264,.350,.614,.219,0,トロント・ブルージェイズ
14,外,25,ドールトン・バーショ,.214,136,513,459,98,21,7,18,187,58,73,137,48,4,1,1,10,2,2,.293,.407,.700,.210,2,トロント・ブルージェイズ
15,外,36,デービス・シュナイダー,.191,135,454,397,76,19,1,13,136,46,48,144,47,5,0,5,6,0,2,.282,.343,.625,.193,2,トロント・ブルージェイズ
16,外,37,ステワルド・ベロア,.189,28,45,37,7,1,0,0,8,1,7,14,8,0,0,0,6,2,0,.333,.216,.550,.333,0,トロント・ブルージェイズ
17,外,38,ネイサン・ルークス,.303,22,91,76,23,4,2,1,34,10,13,9,10,0,2,3,1,0,1,.371,.447,.818,.353,1,トロント・ブルージェイズ
18,外,47,アディソン・バーガー,.197,69,225,208,41,11,0,7,73,28,20,60,14,1,0,1,2,0,1,.250,.351,.601,.288,7,トロント・ブルージェイズ
