,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,15,ライリー・アダムズ,.224,41,130,116,26,5,1,2,39,8,10,35,10,2,0,2,1,0,4,.292,.336,.629,.107,5,ワシントン・ナショナルズ
1,捕,20,キーバート・ルイーズ,.229,127,485,459,105,21,0,13,165,57,46,54,16,5,0,5,3,1,13,.260,.359,.619,.250,2,ワシントン・ナショナルズ
2,捕,81,ドリュー・ミラス,.246,20,62,57,14,1,0,1,18,1,7,16,5,0,0,0,4,0,1,.306,.316,.622,.167,1,ワシントン・ナショナルズ
3,内,2,ルイス・ガルシア,.282,140,528,500,141,25,1,18,222,70,58,86,27,0,0,1,22,5,12,.318,.444,.762,.312,10,ワシントン・ナショナルズ
4,内,5,Ｃ.Ｊ.エイブラムズ,.246,138,602,541,133,29,6,20,234,65,79,128,40,16,1,4,31,12,4,.314,.433,.747,.254,17,ワシントン・ナショナルズ
5,内,8,ホセ・テナ,.267,44,168,161,43,5,0,3,57,15,14,41,7,0,0,0,6,1,1,.298,.354,.652,.364,10,ワシントン・ナショナルズ
6,内,10,ダレン・ベイカー,.500,9,14,14,7,2,0,0,9,0,1,3,0,0,0,0,0,0,0,.500,.643,1.143,.250,0,ワシントン・ナショナルズ
7,内,14,イルデマロ・バルガス,.246,97,303,272,67,16,0,1,86,30,21,31,19,2,5,5,9,4,9,.295,.316,.611,.324,6,ワシントン・ナショナルズ
8,内,18,フアン・エペス,.283,62,249,226,64,15,0,6,97,26,32,42,18,1,1,3,2,1,9,.335,.429,.764,.241,2,ワシントン・ナショナルズ
9,内,19,アンドレス・チャパロ,.215,33,132,121,26,12,0,4,50,15,12,24,7,4,0,0,1,1,3,.280,.413,.694,.207,0,ワシントン・ナショナルズ
10,内,24,ジョイ・ガロ,.161,76,260,223,36,9,0,10,75,27,24,102,32,4,0,1,3,1,1,.277,.336,.613,.147,1,ワシントン・ナショナルズ
11,内,26,ナシム・ヌニェス,.246,51,78,61,15,1,0,0,16,1,14,15,12,0,5,0,8,2,1,.370,.262,.632,.154,5,ワシントン・ナショナルズ
12,内,38,トレイ・リップスコーム,.200,61,211,190,38,3,0,1,44,10,20,40,16,2,1,1,11,2,7,.268,.232,.500,.163,9,ワシントン・ナショナルズ
13,内,45,ジョーイ・メネセス,.231,76,313,281,65,11,0,3,85,42,19,63,21,5,0,6,2,0,9,.291,.302,.593,.319,0,ワシントン・ナショナルズ
14,外,3,ディラン・クルーズ,.218,31,132,119,26,5,1,3,42,8,12,26,11,1,0,1,12,3,4,.288,.353,.641,.100,0,ワシントン・ナショナルズ
15,外,17,アレックス・コール,.343,30,113,99,34,9,0,3,52,14,15,19,12,2,0,0,5,1,2,.425,.525,.950,.400,2,ワシントン・ナショナルズ
16,外,29,ジェームズ・ウッド,.264,79,336,295,78,13,4,9,126,41,43,97,39,2,0,0,14,8,1,.354,.427,.781,.270,4,ワシントン・ナショナルズ
17,外,30,ジェーコブ・ヤング,.256,150,521,468,120,24,1,3,155,36,75,102,30,12,9,2,33,10,11,.316,.331,.648,.248,8,ワシントン・ナショナルズ
18,外,36,ストーン・ギャレット,.600,2,6,5,3,1,0,1,7,3,2,0,1,0,0,0,0,0,0,.667,1.400,2.067,1.000,0,ワシントン・ナショナルズ
