,年度,選手名,チーム名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策
0,2014,ジェームズ・マキャン,タイガース,.250,9,-,12,3,1,0,0,4,0,2,2,0,0,0,0,1,-,-,.250,.333,.583,-,-
1,2015,ジェームズ・マキャン,タイガース,.264,114,-,401,106,18,5,7,155,41,32,90,16,3,4,1,0,-,-,.297,.387,.683,-,-
2,2016,ジェームズ・マキャン,タイガース,.221,105,-,344,76,9,1,12,123,48,31,109,23,2,1,3,0,-,-,.272,.358,.629,-,-
3,2017,ジェームズ・マキャン,タイガース,.253,106,-,352,89,14,2,13,146,49,39,89,26,9,1,3,1,-,-,.318,.415,.733,-,-
4,2018,ジェームズ・マキャン,タイガース,.220,118,-,427,94,16,0,8,134,39,31,116,26,2,0,2,0,-,-,.267,.314,.581,-,-
5,2019,ジェームズ・マキャン,ホワイトソックス,.273,118,-,439,120,26,1,18,202,60,62,137,30,6,1,0,4,-,-,.328,.460,.789,-,-
6,2020,ジェームズ・マキャン,ホワイトソックス,.289,31,-,97,28,3,0,7,52,15,20,30,8,4,0,2,1,-,-,.360,.536,.896,-,-
7,2021,ジェームズ・マキャン,メッツ,.232,121,-,375,87,12,1,10,131,46,29,115,32,2,0,3,1,-,-,.294,.349,.643,-,-
8,2022,ジェームズ・マキャン,メッツ,.195,61,-,174,34,6,0,3,49,18,19,46,11,4,0,2,3,-,-,.257,.282,.538,-,-
0,2022,アドリー・ラッチマン,オリオールズ,.254,113,-,398,101,35,1,13,177,42,70,86,65,4,0,3,4,-,-,.362,.445,.806,-,-
1,2023,アドリー・ラッチマン,オリオールズ,.273,86,-,326,89,13,0,12,138,39,44,59,55,0,0,2,0,-,-,.376,.423,.799,-,-
0,2022,ガーナー・ヘンダーソン,オリオールズ,.259,34,-,116,30,7,1,4,51,18,12,34,16,0,0,0,1,-,-,.348,.440,.788,-,-
1,2023,ガーナー・ヘンダーソン,オリオールズ,.246,79,-,268,66,11,3,13,122,37,43,92,37,2,0,0,5,-,-,.342,.455,.797,-,-
0,2020,ホルヘ・マテオ,パドレス,.154,22,-,26,4,3,0,0,7,2,4,11,1,0,1,0,1,-,-,.185,.269,.454,-,-
1,2021,ホルヘ・マテオ,パドレス,.207,57,-,87,18,4,0,2,28,6,9,27,2,3,1,0,5,-,-,.250,.322,.572,-,-
2,2021,ホルヘ・マテオ,オリオールズ,.280,32,-,107,30,7,1,2,45,8,8,28,7,1,0,1,5,-,-,.328,.421,.748,-,-
3,2022,ホルヘ・マテオ,オリオールズ,.221,150,-,494,109,25,7,13,187,50,63,147,27,5,3,2,35,-,-,.267,.379,.646,-,-
4,2023,ホルヘ・マテオ,オリオールズ,.214,76,-,224,48,10,0,6,76,27,37,60,16,1,3,3,22,-,-,.266,.339,.606,-,-
0,2020,ライアン・マウントキャッスル,オリオールズ,.333,35,-,126,42,5,0,5,62,23,12,30,11,1,0,2,0,-,-,.386,.492,.878,-,-
1,2021,ライアン・マウントキャッスル,オリオールズ,.255,144,-,534,136,23,1,33,260,89,77,161,41,4,0,7,4,-,-,.309,.487,.796,-,-
2,2022,ライアン・マウントキャッスル,オリオールズ,.250,145,-,555,139,28,1,22,235,85,62,154,43,4,0,7,4,-,-,.305,.423,.729,-,-
3,2023,ライアン・マウントキャッスル,オリオールズ,.230,61,-,243,56,12,1,11,103,40,34,64,12,2,0,5,2,-,-,.267,.424,.691,-,-
0,2016,アダム・フレージャー,パイレーツ,.301,66,-,146,44,8,1,2,60,11,21,26,12,1,0,1,4,-,-,.356,.411,.767,-,-
1,2017,アダム・フレージャー,パイレーツ,.276,121,-,406,112,20,6,6,162,53,55,57,36,8,1,3,9,-,-,.344,.399,.743,-,-
2,2018,アダム・フレージャー,パイレーツ,.277,113,-,318,88,23,2,10,145,35,52,53,29,3,1,1,1,-,-,.342,.456,.798,-,-
3,2019,アダム・フレージャー,パイレーツ,.278,152,-,554,154,33,7,10,231,50,80,75,40,9,4,1,5,-,-,.336,.417,.753,-,-
4,2020,アダム・フレージャー,パイレーツ,.230,58,-,209,48,7,0,7,76,23,22,35,17,3,1,0,1,-,-,.297,.364,.661,-,-
5,2021,アダム・フレージャー,パイレーツ,.324,98,-,386,125,28,4,4,173,32,58,46,35,6,0,1,5,-,-,.388,.448,.836,-,-
6,2021,アダム・フレージャー,パドレス,.267,57,-,191,51,8,1,1,64,11,25,23,13,4,3,0,5,-,-,.327,.335,.662,-,-
7,2022,アダム・フレージャー,マリナーズ,.238,156,-,541,129,22,4,3,168,42,61,73,46,5,4,6,11,-,-,.301,.311,.612,-,-
8,2023,アダム・フレージャー,オリオールズ,.232,83,-,267,62,12,1,10,106,40,39,35,24,2,2,1,7,-,-,.299,.397,.696,-,-
0,2020,ラモン・ウリアス,オリオールズ,.360,10,-,25,9,2,0,1,14,3,3,6,2,0,0,0,0,-,-,.407,.560,.967,-,-
1,2021,ラモン・ウリアス,オリオールズ,.279,85,-,262,73,14,0,7,108,38,33,76,28,6,0,0,1,-,-,.361,.412,.774,-,-
2,2022,ラモン・ウリアス,オリオールズ,.248,118,-,403,100,17,1,16,167,51,50,98,30,5,3,4,1,-,-,.305,.414,.720,-,-
3,2023,ラモン・ウリアス,オリオールズ,.261,63,-,207,54,16,0,4,82,30,27,59,15,6,0,1,3,-,-,.328,.396,.724,-,-
0,2018,ライアン・オハーン,ロイヤルズ,.262,44,-,149,39,10,2,12,89,30,23,45,20,1,0,0,0,-,-,.353,.597,.950,-,-
1,2019,ライアン・オハーン,ロイヤルズ,.195,105,-,328,64,13,1,14,121,38,32,99,39,1,0,2,0,-,-,.281,.369,.650,-,-
2,2020,ライアン・オハーン,ロイヤルズ,.195,42,-,113,22,6,0,2,34,18,7,37,18,0,0,1,0,-,-,.303,.301,.604,-,-
3,2021,ライアン・オハーン,ロイヤルズ,.225,84,-,236,53,5,1,9,87,29,23,71,13,2,0,3,0,-,-,.268,.369,.636,-,-
4,2022,ライアン・オハーン,ロイヤルズ,.239,67,-,134,32,6,1,1,43,16,14,35,8,2,0,1,0,-,-,.290,.321,.611,-,-
5,2023,ライアン・オハーン,オリオールズ,.302,46,-,139,42,9,0,7,72,28,21,36,9,2,0,2,1,-,-,.349,.518,.867,-,-
0,2022,ジョシュ・レスター,タイガース,.000,2,-,5,0,0,0,0,0,0,0,3,0,0,0,0,0,-,-,.000,.000,.000,-,-
1,2023,ジョシュ・レスター,オリオールズ,.182,11,-,22,4,0,0,0,4,4,0,7,1,0,0,0,0,-,-,.217,.182,.399,-,-
0,2017,オースティン・ヘイズ,オリオールズ,.217,20,-,60,13,3,0,1,19,8,4,16,2,0,0,1,0,-,-,.238,.317,.555,-,-
1,2019,オースティン・ヘイズ,オリオールズ,.309,21,-,68,21,6,0,4,39,13,12,13,7,0,0,0,2,-,-,.373,.574,.947,-,-
2,2020,オースティン・ヘイズ,オリオールズ,.279,33,-,122,34,2,0,4,48,9,20,25,8,2,0,2,2,-,-,.328,.393,.722,-,-
3,2021,オースティン・ヘイズ,オリオールズ,.256,131,-,488,125,26,4,22,225,71,73,107,28,9,3,1,4,-,-,.308,.461,.769,-,-
4,2022,オースティン・ヘイズ,オリオールズ,.250,145,-,535,134,35,2,16,221,60,66,114,34,10,0,3,2,-,-,.306,.413,.719,-,-
5,2023,オースティン・ヘイズ,オリオールズ,.314,78,-,287,90,22,2,9,143,36,45,73,19,1,0,3,2,-,-,.355,.498,.853,-,-
0,2022,テリン・バブラ,オリオールズ,.258,40,-,89,23,2,1,1,30,12,14,19,12,0,0,2,0,-,-,.340,.337,.677,-,-
1,2023,テリン・バブラ,オリオールズ,.245,27,-,49,12,0,0,0,12,5,9,12,5,0,2,0,1,-,-,.315,.245,.560,-,-
0,2017,アンソニー・サンタンダー,オリオールズ,.267,13,-,30,8,3,0,0,11,2,1,8,0,0,0,1,0,-,-,.258,.367,.625,-,-
1,2018,アンソニー・サンタンダー,オリオールズ,.198,33,-,101,20,5,1,1,30,6,8,21,6,1,0,0,1,-,-,.250,.297,.547,-,-
2,2019,アンソニー・サンタンダー,オリオールズ,.261,93,-,380,99,20,1,20,181,59,46,86,19,2,1,3,1,-,-,.297,.476,.773,-,-
3,2020,アンソニー・サンタンダー,オリオールズ,.261,37,-,153,40,13,1,11,88,32,24,25,10,2,0,0,0,-,-,.315,.575,.890,-,-
4,2021,アンソニー・サンタンダー,オリオールズ,.241,110,-,406,98,24,0,18,176,50,54,101,23,4,1,4,1,-,-,.286,.433,.720,-,-
5,2022,アンソニー・サンタンダー,オリオールズ,.240,152,-,574,138,24,0,33,261,89,78,122,55,13,0,5,0,-,-,.318,.455,.773,-,-
6,2023,アンソニー・サンタンダー,オリオールズ,.272,85,-,327,89,24,1,16,163,50,46,81,32,4,0,3,2,-,-,.342,.498,.840,-,-
0,2021,ライアン・マケナ,オリオールズ,.183,90,-,169,31,6,1,2,45,14,20,74,24,2,2,0,1,-,-,.292,.266,.559,-,-
1,2022,ライアン・マケナ,オリオールズ,.237,105,-,156,37,10,0,2,53,11,23,55,11,2,2,1,2,-,-,.294,.340,.634,-,-
2,2023,ライアン・マケナ,オリオールズ,.253,63,-,79,20,5,0,2,31,11,16,26,5,3,0,2,1,-,-,.315,.392,.707,-,-
0,2022,カイル・ストーアーズ,オリオールズ,.253,34,-,91,23,4,1,3,38,11,11,29,5,2,0,0,0,-,-,.306,.418,.724,-,-
1,2023,カイル・ストーアーズ,オリオールズ,.067,14,-,30,2,0,0,0,2,0,1,12,3,0,0,0,0,-,-,.152,.067,.218,-,-
0,2018,セドリク・ムリンス,オリオールズ,.235,45,-,170,40,9,0,4,61,11,23,37,17,2,2,0,2,-,-,.312,.359,.671,-,-
