,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,19,ライン・ネルソン,4.24,28,25,0,0,12,10,6,0,1,.625,150.2,155,17,126,7.53,34,5,4,0,73,71,.266,3.71,1.25,アリゾナ・ダイヤモンドバックス
1,23,ザック・ゲーレン,3.65,28,28,0,0,12,14,6,0,0,.700,148,133,13,156,9.49,54,4,5,0,62,60,.237,2.89,1.26,アリゾナ・ダイヤモンドバックス
2,24,カイル・ネルソン,4.22,11,0,0,0,0,0,0,2,0,.000,10.2,8,2,8,6.75,4,0,0,0,5,5,.216,2.00,1.13,アリゾナ・ダイヤモンドバックス
3,29,メリル・ケリー,4.03,13,13,0,0,5,5,1,0,0,.833,73.2,67,11,63,7.70,19,2,1,2,35,33,.242,3.32,1.17,アリゾナ・ダイヤモンドバックス
4,30,スコット・マクガフ,7.44,26,2,0,0,0,1,3,1,0,.250,32.2,34,6,25,6.89,21,1,1,1,30,27,.274,1.19,1.68,アリゾナ・ダイヤモンドバックス
5,32,ブランドン・ファート,4.71,32,32,0,0,13,11,10,0,0,.524,181.2,183,24,185,9.17,42,4,1,0,103,95,.259,4.40,1.24,アリゾナ・ダイヤモンドバックス
6,33,Ａ．Ｊ．パック,3.15,62,4,0,0,0,4,9,14,3,.308,71.1,51,5,88,11.10,28,2,2,1,31,25,.195,3.14,1.11,アリゾナ・ダイヤモンドバックス
7,35,ジョセフ・マンティプリー,3.92,75,2,0,0,0,6,2,16,1,.750,59.2,52,1,53,7.99,18,0,3,1,27,26,.231,2.94,1.17,アリゾナ・ダイヤモンドバックス
8,37,ケビン・ギンケル,3.21,72,0,0,0,0,8,3,18,5,.727,70,69,6,77,9.90,15,3,4,0,31,25,.256,5.13,1.20,アリゾナ・ダイヤモンドバックス
9,38,ポール・シーウォルド,4.31,42,0,0,0,0,1,2,1,16,.333,39.2,35,6,43,9.76,10,3,0,0,19,19,.232,4.30,1.13,アリゾナ・ダイヤモンドバックス
10,40,ブライス・ジャービス,3.19,44,0,0,0,0,1,2,4,0,.333,59.1,52,6,38,5.76,33,5,4,0,25,21,.239,1.15,1.43,アリゾナ・ダイヤモンドバックス
11,43,スレード・セッコーニ,6.66,20,13,0,0,3,2,7,0,0,.222,77,92,16,64,7.48,17,4,2,1,57,57,.294,3.76,1.42,アリゾナ・ダイヤモンドバックス
12,45,イルバー・ディアス,3.81,7,4,0,0,2,1,1,0,0,.500,28.1,27,3,19,6.04,12,0,1,0,13,12,.257,1.58,1.38,アリゾナ・ダイヤモンドバックス
13,47,トミー・ヘンリー,7.04,9,7,0,0,1,2,3,0,0,.400,38.1,49,9,30,7.04,18,4,0,0,31,30,.312,1.67,1.75,アリゾナ・ダイヤモンドバックス
14,48,ブレーク・ウォルストン,4.42,7,2,0,0,0,1,0,0,0,1.000,18.1,16,4,18,8.84,10,3,0,0,12,9,.229,1.80,1.42,アリゾナ・ダイヤモンドバックス
15,52,ジョーダン・モンゴメリー,6.23,25,21,0,0,6,8,7,0,1,.533,117,149,14,83,6.38,44,2,7,0,83,81,.312,1.89,1.65,アリゾナ・ダイヤモンドバックス
16,56,ブランドン・ヒューズ,8.15,15,2,0,0,0,0,0,0,0,.000,17.2,24,8,21,10.70,10,2,1,0,16,16,.316,2.10,1.92,アリゾナ・ダイヤモンドバックス
17,57,エデュアルド・ロドリゲス,5.04,10,10,0,0,1,3,4,0,0,.429,50,56,8,47,8.46,19,1,0,0,29,28,.277,2.47,1.50,アリゾナ・ダイヤモンドバックス
18,63,ジャスティン・マルティネス,2.48,64,0,0,0,0,5,6,9,8,.455,72.2,59,2,91,11.27,36,2,8,1,26,20,.221,2.53,1.31,アリゾナ・ダイヤモンドバックス
19,64,クリスチャン・メーナ,12.00,1,1,0,0,0,0,0,0,0,.000,3,4,2,2,6.00,3,0,0,1,4,4,.333,0.67,2.33,アリゾナ・ダイヤモンドバックス
20,81,ライアン・トンプソン,3.26,67,0,0,0,0,7,5,24,2,.583,66.1,64,5,52,7.06,15,1,2,0,26,24,.254,3.47,1.19,アリゾナ・ダイヤモンドバックス
21,99,ドレイ・ジェームソン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,アリゾナ・ダイヤモンドバックス
22,26,パビン・スミス,0.00,1,0,0,0,0,0,0,0,0,.000,1,0,0,0,0.00,1,1,0,0,0,0,.000,0.00,1.00,アリゾナ・ダイヤモンドバックス
