,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,22,ギャレット・ウィットロック,1.96,4,4,0,0,0,1,0,0,0,1.000,18.1,14,1,17,8.35,7,1,0,0,4,4,.212,2.43,1.15,ボストン・レッドソックス
1,25,ジョシュ・ウィンコウスキ,4.14,40,6,0,0,0,4,2,4,2,.667,76,81,10,60,7.11,26,4,1,0,44,35,.272,2.31,1.41,ボストン・レッドソックス
2,31,リアム・ヘンドリックス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ボストン・レッドソックス
3,37,ニック・ピベッタ,4.14,27,26,0,0,11,6,12,0,0,.333,145.2,128,28,172,10.63,36,1,4,0,70,67,.231,4.78,1.13,ボストン・レッドソックス
4,39,ルーカス・シムズ,4.38,58,0,0,0,0,1,6,16,1,.143,49.1,41,8,49,8.94,30,2,2,0,24,24,.229,1.63,1.44,ボストン・レッドソックス
5,39,上沢直之,2.25,2,0,0,0,0,0,0,0,0,.000,4,2,0,3,6.75,2,0,0,0,1,1,.143,1.50,1.00,ボストン・レッドソックス
6,40,ルイス・ガルシア,4.88,60,0,0,0,0,5,1,14,4,.833,59,61,8,53,8.08,15,3,5,0,36,32,.260,3.53,1.29,ボストン・レッドソックス
7,44,アイザイア・キャンベル,16.20,8,0,0,0,0,0,1,2,0,.000,6.2,14,3,6,8.10,2,0,1,0,13,12,.400,3.00,2.40,ボストン・レッドソックス
8,50,カッター・クロフォード,4.36,33,33,0,0,15,9,16,0,0,.360,183.2,155,34,175,8.58,51,9,4,0,97,89,.223,3.43,1.12,ボストン・レッドソックス
9,54,ルーカス・ジオリト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ボストン・レッドソックス
10,55,クリス・マーティン,3.45,45,0,0,0,0,3,1,15,2,.750,44.1,47,5,50,10.15,3,3,2,0,22,17,.276,16.67,1.13,ボストン・レッドソックス
11,57,グレゴリー・ワイサート,3.13,62,0,0,0,0,4,2,6,1,.667,63.1,65,7,58,8.24,20,0,2,0,32,22,.274,2.90,1.34,ボストン・レッドソックス
12,61,チェース・シュガート,4.15,6,0,0,0,0,0,0,0,1,.000,8.2,8,1,8,8.31,3,0,0,0,4,4,.242,2.67,1.27,ボストン・レッドソックス
13,63,ジャスティン・スレーテン,2.93,44,0,0,0,0,6,2,13,2,.750,55.1,47,4,58,9.43,9,2,4,0,21,18,.223,6.44,1.01,ボストン・レッドソックス
