,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,33,ドルー・ソープ,5.48,9,9,0,0,5,3,3,0,0,.500,44.1,35,8,25,5.08,21,1,0,1,29,27,.212,1.19,1.26,シカゴ・ホワイトソックス
1,36,スティーブン・ウィルソン,5.71,40,0,0,0,0,1,6,9,0,.143,34.2,29,8,34,8.83,26,3,1,1,29,22,.227,1.31,1.59,シカゴ・ホワイトソックス
2,37,ガス・バーランド,3.42,26,0,0,0,0,1,0,0,0,1.000,26.1,30,2,27,9.23,8,1,2,0,12,10,.283,3.38,1.44,シカゴ・ホワイトソックス
3,40,マイク・ソロカ,4.74,25,9,0,0,1,0,10,2,0,.000,79.2,66,13,84,9.49,44,3,2,2,49,42,.224,1.91,1.38,シカゴ・ホワイトソックス
4,43,ニック・ナストリーニ,7.07,9,8,0,0,1,0,7,0,0,.000,35.2,32,7,26,6.56,36,1,3,0,33,28,.234,0.72,1.91,シカゴ・ホワイトソックス
5,45,ギャレット・クロシェ,3.58,32,32,0,0,11,6,12,0,0,.333,146,123,18,209,12.88,33,5,3,1,61,58,.222,6.33,1.07,シカゴ・ホワイトソックス
6,46,ジェイク・エダー,4.50,1,0,0,0,0,0,0,0,0,.000,2,2,0,1,4.50,1,1,1,0,1,1,.286,1.00,1.50,シカゴ・ホワイトソックス
7,48,ジョナサン・キャノン,4.49,23,21,0,0,7,5,10,0,1,.333,124.1,125,18,91,6.59,40,4,2,1,65,62,.263,2.28,1.33,シカゴ・ホワイトソックス
8,49,ジョーダン・レスレ,6.32,33,0,0,0,0,0,2,9,2,.000,31.1,32,6,26,7.47,18,1,3,0,22,22,.267,1.44,1.60,シカゴ・ホワイトソックス
9,51,ジャレド・シャスター,4.42,39,4,0,0,0,2,5,3,0,.286,73.1,74,9,56,6.87,33,0,4,0,38,36,.261,1.70,1.46,シカゴ・ホワイトソックス
10,52,ハイロ・イリアルテ,1.50,6,0,0,0,0,0,1,0,0,.000,6,3,0,6,9.00,8,0,0,0,3,1,.143,0.75,1.83,シカゴ・ホワイトソックス
11,55,ドミニク・リオーネ,6.63,23,0,0,0,0,0,2,4,0,.000,19,20,4,17,8.05,14,0,2,0,17,14,.274,1.21,1.79,シカゴ・ホワイトソックス
12,57,カイ・ブッシュ,5.60,4,4,0,0,1,0,3,0,0,.000,17.2,20,2,11,5.60,16,1,2,0,11,11,.290,0.69,2.04,シカゴ・ホワイトソックス
13,58,ジミー・ランバート,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シカゴ・ホワイトソックス
14,59,ショーン・バーク,1.42,4,3,0,0,1,2,0,0,0,1.000,19,12,2,22,10.42,7,0,1,0,4,3,.174,3.14,1.00,シカゴ・ホワイトソックス
15,60,ジャスティン・アンダーソン,4.39,56,0,0,0,0,1,2,5,1,.333,53.1,48,5,57,9.62,32,3,1,0,29,26,.234,1.78,1.50,シカゴ・ホワイトソックス
16,61,フレーザー・エラード,3.75,25,0,0,0,0,2,3,2,1,.400,24,18,3,26,9.75,12,1,5,0,12,10,.212,2.17,1.25,シカゴ・ホワイトソックス
17,62,エニエル・デロスサントス,5.20,64,0,0,0,0,1,2,9,2,.333,64,65,17,66,9.28,25,5,2,0,38,37,.262,2.64,1.41,シカゴ・ホワイトソックス
18,62,ジェシー・ショルテンス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シカゴ・ホワイトソックス
19,63,マット・フォスター,2.70,6,1,0,0,0,0,1,1,0,.000,6.2,5,1,4,5.40,5,0,0,0,2,2,.200,0.80,1.50,シカゴ・ホワイトソックス
20,65,デービス・マーティン,4.32,11,10,0,0,2,0,5,0,0,.000,50,50,5,47,8.46,23,5,2,0,25,24,.260,2.04,1.46,シカゴ・ホワイトソックス
21,66,プレランダー・ベローア,3.32,17,0,0,0,0,1,0,3,0,1.000,19,15,2,26,12.32,13,1,0,0,7,7,.217,2.00,1.47,シカゴ・ホワイトソックス
22,67,サミー・ペラルタ,4.80,9,0,0,0,0,0,0,1,0,.000,15,21,2,11,6.60,7,0,0,1,9,8,.323,1.57,1.87,シカゴ・ホワイトソックス
23,77,クリス・フレクセン,4.95,33,30,0,0,10,3,15,0,0,.167,160,180,24,123,6.92,63,2,4,2,95,88,.283,1.95,1.52,シカゴ・ホワイトソックス
24,-,マイク・クレビンジャー,6.75,4,4,0,0,0,0,3,0,0,.000,16,22,4,15,8.44,9,0,2,0,13,12,.319,1.67,1.94,シカゴ・ホワイトソックス
25,-,ロン・マリナッシオ,3.86,16,0,0,0,0,1,0,1,0,1.000,23.1,18,4,25,9.64,10,3,0,1,11,10,.217,2.50,1.20,シカゴ・ホワイトソックス
