,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,15,エミリオ・パガン,4.50,38,1,0,0,0,4,5,7,1,.444,38,40,6,44,10.42,11,0,0,1,20,19,.278,4.00,1.34,シンシナティ・レッズ
1,21,ハンター・グリーン,2.75,26,26,0,0,13,9,5,0,0,.643,150.1,96,12,169,10.12,57,19,7,1,47,46,.183,2.96,1.02,シンシナティ・レッズ
2,28,ニコラス・マルティネス,3.10,42,16,1,0,6,10,7,7,0,.588,142.1,128,13,116,7.33,18,5,4,0,56,49,.237,6.44,1.03,シンシナティ・レッズ
3,31,ブレント・スーター,3.15,47,3,0,0,0,1,0,2,2,1.000,65.2,63,10,50,6.85,12,3,2,0,25,23,.249,4.17,1.14,シンシナティ・レッズ
4,32,ジャスティン・ウィルソン,5.59,60,0,0,0,0,1,5,11,2,.167,46.2,55,10,51,9.84,13,2,3,0,30,29,.286,3.92,1.46,シンシナティ・レッズ
5,34,コナー・フィリップス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シンシナティ・レッズ
6,39,ジュリアン・アギアル,6.25,7,7,0,0,2,2,1,0,0,.667,31.2,30,8,19,5.40,12,5,1,0,22,22,.244,1.58,1.33,シンシナティ・レッズ
7,40,ニコラス・ロドロ,4.76,21,21,0,0,8,9,6,0,0,.600,115.1,101,13,122,9.52,37,18,1,0,62,61,.231,3.30,1.20,シンシナティ・レッズ
8,41,アンドルー・アボット,3.72,25,25,0,0,9,10,10,0,0,.500,138,127,25,114,7.43,52,2,5,0,60,57,.240,2.19,1.30,シンシナティ・レッズ
9,43,アレクシス・ディアス,3.99,60,0,0,0,0,2,5,0,28,.286,56.1,42,6,55,8.79,31,6,1,1,31,25,.206,1.77,1.30,シンシナティ・レッズ
10,46,バック・ファーマー,3.04,61,1,0,0,0,3,2,1,1,.600,71,56,7,70,8.87,29,7,1,0,25,24,.215,2.41,1.20,シンシナティ・レッズ
11,47,ジェーコブ・ジュニス,2.69,24,6,0,0,1,4,0,0,1,1.000,67,49,8,51,6.85,8,3,1,0,22,20,.203,6.38,0.85,シンシナティ・レッズ
12,50,サム・モール,3.35,48,0,0,0,0,3,2,11,0,.600,37.2,27,3,38,9.08,14,2,0,0,16,14,.201,2.71,1.09,シンシナティ・レッズ
13,51,グレアム・アシュクラフト,5.24,15,15,0,0,3,5,5,0,0,.500,77.1,89,11,57,6.63,27,6,4,0,50,45,.282,2.11,1.50,シンシナティ・レッズ
14,55,ブランドン・ウィリアムソン,3.77,4,3,0,0,0,0,0,0,0,.000,14.1,10,4,12,7.53,5,2,0,0,7,6,.196,2.40,1.05,シンシナティ・レッズ
15,63,フェルナンド・クルス,4.86,69,3,0,0,0,3,8,23,0,.273,66.2,54,9,109,14.72,35,1,8,0,36,36,.216,3.11,1.34,シンシナティ・レッズ
16,64,トニー・サンティラン,3.00,29,1,0,0,0,3,3,4,0,.500,30,21,4,46,13.80,9,0,1,0,11,10,.186,5.11,1.00,シンシナティ・レッズ
17,65,ケーシー・レグミナ,8.68,6,0,0,0,0,0,0,0,0,.000,9.1,15,2,7,6.75,2,1,0,0,11,9,.341,3.50,1.82,シンシナティ・レッズ
18,67,ヨスバー・ズルエタ,4.96,12,0,0,0,0,0,0,0,0,.000,16.1,15,2,20,11.02,7,1,1,0,10,9,.246,2.86,1.35,シンシナティ・レッズ
19,68,カーソン・スピアーズ,5.46,22,10,0,0,2,5,7,1,0,.417,90.2,112,20,80,7.94,27,5,0,0,59,55,.297,2.96,1.53,シンシナティ・レッズ
20,70,テイジェイ・アントン,4.50,4,0,0,0,0,0,0,0,0,.000,2,2,0,2,9.00,4,0,0,0,2,1,.286,0.50,3.00,シンシナティ・レッズ
21,72,リオン・リチャードソン,27.00,1,0,0,0,0,0,0,0,0,.000,0.2,2,1,1,13.50,1,0,0,0,2,2,.500,1.00,4.50,シンシナティ・レッズ
22,79,イアン・ギバウト,4.50,2,0,0,0,0,0,0,0,0,.000,2,3,0,1,4.50,1,0,0,0,1,1,.333,1.00,2.00,シンシナティ・レッズ
23,81,レット・ラウダー,1.17,6,6,0,0,1,2,2,0,0,.500,30.2,25,0,22,6.46,14,0,0,0,4,4,.219,1.57,1.27,シンシナティ・レッズ
24,86,クリスチャン・ロア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シンシナティ・レッズ
25,22,ルーク・メーリ,14.73,3,0,0,0,0,0,0,0,0,.000,3.2,6,1,0,0.00,0,0,0,0,6,6,.353,0.00,1.64,シンシナティ・レッズ
