,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,16,マット・ボイド,2.72,8,8,0,0,3,2,2,0,0,.500,39.2,32,4,46,10.44,13,2,0,1,16,12,.213,3.54,1.13,クリーブランド・ガーディアンズ
1,24,トリストン・マッケンジー,5.11,16,16,0,0,3,3,5,0,0,.375,75.2,69,19,74,8.80,49,1,5,0,46,43,.240,1.51,1.56,クリーブランド・ガーディアンズ
2,28,タナー・ビビー,3.47,31,31,0,0,12,12,8,0,0,.600,173.2,150,22,187,9.69,44,8,2,0,70,67,.230,4.25,1.12,クリーブランド・ガーディアンズ
3,29,ティム・ヘリン,1.92,75,0,0,0,0,5,1,16,0,.833,65.2,39,2,68,9.32,25,5,3,1,17,14,.173,2.72,0.97,クリーブランド・ガーディアンズ
4,31,サム・ヘンチズ,3.04,25,0,0,0,0,0,0,9,0,.000,23.2,18,3,27,10.27,5,0,0,0,8,8,.212,5.40,0.97,クリーブランド・ガーディアンズ
5,32,ギャビン・ウィリアムズ,4.86,16,16,0,0,3,3,10,0,0,.231,76,72,7,79,9.36,32,3,2,0,42,41,.246,2.47,1.37,クリーブランド・ガーディアンズ
6,33,ハンター・ギャディス,1.57,78,0,0,0,0,6,3,33,0,.667,74.2,43,4,66,7.96,14,4,2,0,16,13,.166,4.71,0.76,クリーブランド・ガーディアンズ
7,34,ピーター・ストルゼレッキ,2.31,10,0,0,0,0,0,0,1,0,.000,11.2,11,1,9,6.94,3,1,0,0,3,3,.256,3.00,1.20,クリーブランド・ガーディアンズ
8,35,アレックス・カッブ,2.76,3,3,0,0,1,2,1,0,0,.667,16.1,14,1,10,5.51,3,0,0,0,7,5,.241,3.33,1.04,クリーブランド・ガーディアンズ
9,36,ケイド・スミス,1.91,74,0,0,0,0,6,1,28,1,.857,75.1,51,1,103,12.31,17,3,0,1,16,16,.190,6.06,0.90,クリーブランド・ガーディアンズ
10,37,トレバー・ステファン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,クリーブランド・ガーディアンズ
11,39,ベン・ライブリー,3.81,29,29,0,0,9,13,10,0,0,.565,151,139,23,118,7.03,49,5,2,1,67,64,.241,2.41,1.25,クリーブランド・ガーディアンズ
12,41,ローガン・アレン,5.73,20,20,0,0,5,8,5,0,0,.615,97.1,113,22,79,7.30,41,4,4,0,63,62,.295,1.93,1.58,クリーブランド・ガーディアンズ
13,48,エマニュエル・クレース,0.61,74,0,0,0,0,4,2,0,47,.667,74.1,39,2,66,7.99,10,2,2,0,10,5,.154,6.60,0.66,クリーブランド・ガーディアンズ
14,49,エリ・モーガン,1.93,32,0,0,0,0,3,0,3,0,1.000,42,30,4,34,7.29,11,1,0,0,11,9,.197,3.09,0.98,クリーブランド・ガーディアンズ
15,52,ニック・サンドリン,3.75,68,1,0,0,0,8,0,9,1,1.000,57.2,46,12,68,10.61,27,6,1,0,29,24,.222,2.52,1.27,クリーブランド・ガーディアンズ
16,54,ジョーイ・キャンティロ,4.89,9,8,0,0,1,2,4,0,0,.333,38.2,35,6,44,10.24,15,0,4,0,22,21,.238,2.93,1.29,クリーブランド・ガーディアンズ
17,57,シェーン・ビーバー,0.00,2,2,0,0,2,2,0,0,0,1.000,12,10,0,20,15.00,1,0,0,0,0,0,.227,20.00,0.92,クリーブランド・ガーディアンズ
18,60,ペドロ・アビラ,3.81,54,0,0,0,0,6,1,1,1,.857,82.2,73,8,82,8.93,36,4,7,0,38,35,.239,2.28,1.32,クリーブランド・ガーディアンズ
19,61,コナー・ギリスピー,2.25,3,0,0,0,0,0,0,0,0,.000,8,4,0,8,9.00,5,0,1,0,2,2,.154,1.60,1.13,クリーブランド・ガーディアンズ
20,62,エリック・サブロウスキー,0.00,8,0,0,0,0,0,0,0,1,.000,12.2,6,0,19,13.50,4,0,1,0,0,0,.140,4.75,0.79,クリーブランド・ガーディアンズ
21,63,アンドリュー・ウォルターズ,0.00,9,1,0,0,0,1,0,0,0,1.000,8.2,1,0,6,6.23,5,0,1,0,1,0,.038,1.20,0.69,クリーブランド・ガーディアンズ
22,66,ダニエル・エスピノ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,クリーブランド・ガーディアンズ
23,99,ジェームズ・カリンチャク,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,クリーブランド・ガーディアンズ
24,27,オースティン・ヘッジズ,0.00,1,0,0,0,0,0,0,0,0,.000,2,0,0,0,0.00,1,0,0,0,0,0,.000,0.00,0.50,クリーブランド・ガーディアンズ
