,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,0,ジェイデン・ヒル,5.06,9,0,0,0,0,0,0,1,0,.000,10.2,8,2,6,5.06,4,2,1,0,7,6,.216,1.50,1.13,コロラド・ロッキーズ
1,18,ライアン・フェルトナー,4.49,30,30,0,0,13,3,10,0,0,.231,162.1,165,20,138,7.65,52,7,4,0,94,81,.263,2.65,1.34,コロラド・ロッキーズ
2,21,カイル・フリーランド,5.24,21,21,0,0,10,5,8,0,0,.385,113.1,134,22,85,6.75,26,1,1,0,73,66,.291,3.27,1.41,コロラド・ロッキーズ
3,26,オースティン・ゴンバー,4.75,30,30,0,0,12,5,12,0,0,.294,165,178,30,116,6.33,38,1,3,0,89,87,.273,3.05,1.31,コロラド・ロッキーズ
4,29,タナー・ゴードン,8.65,8,8,0,0,1,0,6,0,0,.000,34.1,53,10,26,6.82,6,2,0,0,34,33,.356,4.33,1.72,コロラド・ロッキーズ
5,38,ビクトル・ボドニク,4.28,64,0,0,0,0,5,4,6,9,.556,73.2,72,7,65,7.94,37,1,4,0,37,35,.257,1.76,1.48,コロラド・ロッキーズ
6,40,タイラー・キンリー,6.19,67,0,0,0,0,6,1,14,12,.857,64,61,11,72,10.13,33,2,6,0,44,44,.248,2.18,1.47,コロラド・ロッキーズ
7,41,ルイス・ペラルタ,0.73,15,0,0,0,0,0,0,2,0,.000,12.1,7,0,14,10.22,5,2,2,0,1,1,.175,2.80,0.97,コロラド・ロッキーズ
8,43,アンソニー・モリーナ,6.79,35,1,0,0,0,1,1,2,0,.500,59.2,72,5,41,6.18,22,2,5,0,46,45,.305,1.86,1.58,コロラド・ロッキーズ
9,46,ジェフ・クリスウェル,2.75,13,0,0,0,0,1,0,0,0,1.000,19.2,20,4,27,12.36,9,1,0,0,6,6,.263,3.00,1.47,コロラド・ロッキーズ
10,47,キャル・クワントリル,4.98,29,29,0,0,12,8,11,0,0,.421,148.1,156,23,110,6.67,69,11,6,1,83,82,.273,1.59,1.52,コロラド・ロッキーズ
11,48,ヘルマン・マルケス,6.75,1,1,0,0,0,0,0,0,0,.000,4,5,1,3,6.75,4,0,0,0,3,3,.313,0.75,2.25,コロラド・ロッキーズ
12,49,アントニオ・センザテーラ,6.57,3,3,0,0,0,0,1,0,0,.000,12.1,15,3,7,5.11,8,0,0,1,10,9,.326,0.88,1.86,コロラド・ロッキーズ
13,52,ダニエル・バード,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,コロラド・ロッキーズ
14,54,セス・ハルボーセン,1.46,12,0,0,0,0,2,1,2,2,.667,12.1,8,2,13,9.49,2,1,0,1,3,2,.186,6.50,0.81,コロラド・ロッキーズ
15,55,フアン・メヒア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,コロラド・ロッキーズ
16,56,エバン・ジャスティス,0.00,1,0,0,0,0,0,0,0,0,.000,0.1,0,0,1,27.00,1,0,0,0,0,0,.000,1.00,3.00,コロラド・ロッキーズ
17,57,エンゼル・チビリ,4.55,30,0,0,0,0,2,3,7,1,.400,31.2,31,7,28,7.96,10,1,0,0,17,16,.254,2.80,1.29,コロラド・ロッキーズ
18,58,ルーカス・ギルブレス,54.00,3,0,0,0,0,0,0,0,0,.000,1,7,1,0,0.00,1,1,0,0,6,6,.700,0.00,8.00,コロラド・ロッキーズ
19,59,ジェーク・バード,4.50,35,0,0,0,0,2,2,4,1,.500,40,43,5,31,6.98,25,4,1,0,21,20,.279,1.24,1.70,コロラド・ロッキーズ
20,61,ジャスティン・ローレンス,6.49,56,0,0,0,0,4,4,5,2,.500,59.2,73,9,45,6.79,33,7,3,0,52,43,.313,1.36,1.78,コロラド・ロッキーズ
21,64,ブラッドリー・ブラロック,5.87,7,6,0,0,0,1,3,0,0,.250,30.2,35,4,20,5.87,20,1,0,0,22,20,.278,1.00,1.79,コロラド・ロッキーズ
