,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,4,ボー・ブリースケ,3.59,46,12,0,0,0,4,5,6,1,.444,67.2,55,5,69,9.18,30,2,0,0,31,27,.224,2.30,1.26,デトロイト・タイガース
1,12,ケーシー・マイズ,4.49,22,20,0,0,6,2,6,0,0,.250,102.1,121,11,78,6.86,29,2,2,1,57,51,.290,2.69,1.47,デトロイト・タイガース
2,18,前田健太,6.09,29,17,0,0,2,3,7,1,0,.300,112.1,124,22,96,7.69,31,5,3,0,80,76,.281,3.10,1.38,デトロイト・タイガース
3,19,ウィル・ベスト,2.82,69,0,0,0,0,3,4,14,2,.429,70.1,61,3,63,8.06,18,3,4,0,23,22,.234,3.50,1.12,デトロイト・タイガース
4,21,ジャクソン・ジョーブ,0.00,2,0,0,0,0,0,0,0,0,.000,4,1,0,2,4.50,1,0,0,0,0,0,.071,2.00,0.50,デトロイト・タイガース
5,25,マット・マニング,4.88,5,5,0,0,0,0,1,0,0,.000,27.2,31,3,23,7.48,12,0,1,0,15,15,.287,1.92,1.55,デトロイト・タイガース
6,29,タリク・スカバル,2.39,31,31,0,0,22,18,4,0,0,.818,192,142,15,228,10.69,35,9,2,0,54,51,.201,6.51,0.92,デトロイト・タイガース
7,36,タイ・マッデン,4.30,6,1,0,0,0,1,1,0,0,.500,23,25,2,17,6.65,8,1,0,0,12,11,.275,2.13,1.43,デトロイト・タイガース
8,45,リース・オルソン,3.53,22,22,0,0,9,4,8,0,0,.333,112.1,100,7,101,8.09,33,4,4,0,51,44,.238,3.06,1.18,デトロイト・タイガース
9,48,ブラント・フルテル,2.58,10,1,0,0,0,6,1,1,0,.857,45.1,34,4,38,7.54,6,0,0,1,13,13,.204,6.33,0.88,デトロイト・タイガース
10,49,アレックス・ファエード,3.61,37,6,0,0,0,5,3,8,0,.625,57.1,49,9,55,8.63,28,3,4,0,24,23,.233,1.96,1.34,デトロイト・タイガース
11,52,ブレンダン・ホワイト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,デトロイト・タイガース
12,53,メイソン・イングラート,5.40,12,1,0,0,0,1,0,0,0,1.000,21.2,23,4,16,6.65,5,1,2,0,15,13,.264,3.20,1.29,デトロイト・タイガース
13,54,ケイデル・モンテロ,4.76,19,16,1,1,4,6,6,0,0,.500,98.1,100,19,77,7.05,31,3,2,0,54,52,.265,2.48,1.33,デトロイト・タイガース
14,55,アレックス・ランゲ,4.34,21,0,0,0,0,0,3,1,2,.000,18.2,16,0,21,10.13,17,2,4,0,16,9,.232,1.24,1.77,デトロイト・タイガース
15,57,リッキー・バナスコ,6.75,4,0,0,0,0,1,0,1,0,1.000,4,3,0,1,2.25,0,0,0,0,3,3,.200,0.00,0.75,デトロイト・タイガース
16,59,ウィルマー・フローレス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,デトロイト・タイガース
17,62,ブライアン・サモンズ,3.62,6,0,0,0,0,1,1,0,0,.500,27.1,16,6,18,5.93,9,1,0,0,11,11,.170,2.00,0.91,デトロイト・タイガース
18,66,ソーヤー・ギプソンロング,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,デトロイト・タイガース
19,68,ジェーソン・フォーリー,3.15,69,0,0,0,0,3,6,8,28,.333,60,51,5,46,6.90,20,2,1,1,28,21,.228,2.30,1.18,デトロイト・タイガース
20,73,ショーン・ガンサー,0.86,17,0,0,0,0,3,0,2,0,1.000,21,9,0,12,5.14,2,2,0,0,2,2,.130,6.00,0.52,デトロイト・タイガース
21,75,ブレナン・ハニフィー,1.84,21,3,0,0,0,1,1,8,0,.500,29.1,27,2,23,7.06,6,0,0,0,7,6,.237,3.83,1.13,デトロイト・タイガース
22,87,タイラー・ホルトン,2.19,66,9,0,0,0,7,2,15,8,.778,94.1,57,7,77,7.35,17,4,0,0,25,23,.173,4.53,0.78,デトロイト・タイガース
23,39,ザック・マッキンストリー,9.00,3,0,0,0,0,0,0,0,0,.000,2,1,1,0,0.00,1,0,0,0,2,2,.143,0.00,1.00,デトロイト・タイガース
