,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,16,菊池雄星,4.05,32,32,0,0,12,9,10,0,0,.474,175.2,167,25,206,10.55,44,2,4,0,85,79,.245,4.68,1.20,ヒューストン・アストロズ
1,31,ケンドール・グレーブマン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヒューストン・アストロズ
2,35,ジャスティン・バーランダー,5.48,17,17,0,0,6,5,6,0,0,.455,90.1,98,15,74,7.37,27,6,2,1,56,55,.274,2.74,1.38,ヒューストン・アストロズ
3,41,スペンサー・アリゲッティ,4.53,29,28,0,0,10,7,13,0,0,.350,145,139,21,171,10.61,65,7,3,0,80,73,.250,2.63,1.41,ヒューストン・アストロズ
4,43,ランス・マクラーズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヒューストン・アストロズ
5,50,エクトル・ネリス,4.10,62,0,0,0,0,10,5,7,18,.667,59.1,55,8,64,9.71,28,2,2,4,31,27,.244,2.29,1.40,ヒューストン・アストロズ
6,52,ブライアン・アブレイユ,3.10,78,0,0,0,0,3,3,38,1,.500,78.1,59,9,103,11.83,32,6,4,1,27,27,.207,3.22,1.16,ヒューストン・アストロズ
7,53,クリスチャン・ハビエル,3.89,7,7,0,0,3,3,1,0,0,.750,34.2,30,4,27,7.01,19,0,1,0,16,15,.233,1.42,1.41,ヒューストン・アストロズ
8,54,テイラー・スコット,2.23,62,1,0,0,0,7,3,9,0,.700,68.2,45,7,71,9.31,35,4,0,0,21,17,.188,2.03,1.17,ヒューストン・アストロズ
9,55,ライアン・プレスリー,3.49,59,0,0,0,0,2,3,25,4,.400,56.2,58,4,58,9.21,18,2,7,0,25,22,.264,3.22,1.34,ヒューストン・アストロズ
10,56,ロネル・ブランコ,2.80,30,29,1,1,14,13,6,0,0,.684,167.1,114,22,166,8.93,68,2,3,0,56,52,.190,2.44,1.09,ヒューストン・アストロズ
11,58,ハンター・ブラウン,3.49,31,30,0,0,19,11,9,0,0,.550,170,156,18,179,9.48,60,5,4,1,71,66,.242,2.98,1.27,ヒューストン・アストロズ
12,59,フラムバー・バルデス,2.91,28,28,1,0,17,15,7,0,0,.682,176.1,140,13,169,8.63,55,6,8,1,60,57,.221,3.07,1.11,ヒューストン・アストロズ
13,60,チャールズ・ウィットリー,0.00,3,0,0,0,0,0,0,0,0,.000,3.1,5,0,5,13.50,3,1,0,0,2,0,.313,1.67,2.40,ヒューストン・アストロズ
14,61,セス・マルティネス,3.59,44,0,0,0,0,3,2,3,1,.600,52.2,49,7,36,6.15,18,4,0,2,24,21,.246,2.00,1.27,ヒューストン・アストロズ
15,62,ベネット・ソウザ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヒューストン・アストロズ
16,63,ケイレブ・オルト,2.55,22,0,0,0,0,1,1,3,0,.500,24.2,16,7,26,9.49,4,0,1,0,7,7,.180,6.50,0.81,ヒューストン・アストロズ
17,63,オリバー・オルテガ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヒューストン・アストロズ
18,64,ケーレブ・ファーガソン,4.64,62,0,0,0,0,1,4,11,1,.200,54.1,56,6,67,11.10,25,4,3,0,34,28,.256,2.68,1.49,ヒューストン・アストロズ
19,65,ホセ・ウルキーディ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヒューストン・アストロズ
20,66,ショーン・ダビン,4.17,31,2,0,0,0,1,1,0,2,.500,45.1,45,3,49,9.73,26,2,1,0,25,21,.256,1.88,1.57,ヒューストン・アストロズ
21,67,ライアン・グスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヒューストン・アストロズ
22,68,J．P．フランス,7.46,5,5,0,0,0,0,3,0,0,.000,25.1,31,5,22,7.82,12,1,3,1,21,21,.290,1.83,1.70,ヒューストン・アストロズ
23,71,ジョシュ・ヘイダー,3.80,71,0,0,0,0,8,8,0,34,.500,71,43,12,105,13.31,25,1,4,2,33,30,.171,4.20,0.96,ヒューストン・アストロズ
24,72,ニック・ヘルナンデス,7.88,5,0,0,0,0,0,0,0,0,.000,8,10,4,10,11.25,1,0,0,0,7,7,.303,10.00,1.38,ヒューストン・アストロズ
25,73,ルイス・コントレラス,9.00,5,0,0,0,0,0,0,0,0,.000,6,7,0,6,9.00,2,0,0,0,6,6,.292,3.00,1.50,ヒューストン・アストロズ
26,74,ブライアン・キング,2.39,28,0,0,0,0,1,0,0,0,1.000,26.1,20,1,32,10.94,10,3,0,0,7,7,.211,3.20,1.14,ヒューストン・アストロズ
27,77,ルイス・ガルシア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヒューストン・アストロズ
28,-,ペン・マーフィー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヒューストン・アストロズ
29,11,グレイ・ケッシンジャー,0.00,1,0,0,0,0,0,0,0,0,.000,1,0,0,0,0.00,0,0,0,0,0,0,.000,0.00,0.00,ヒューストン・アストロズ
