,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,24,マイケル・ロレンゼン,3.31,26,24,0,0,9,7,6,0,0,.538,130.1,101,17,97,6.70,60,6,3,0,49,48,.216,1.62,1.24,カンザスシティ・ロイヤルズ
1,30,カイル・ライト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,カンザスシティ・ロイヤルズ
2,31,ウィル・スミス,6.53,45,0,0,0,0,0,4,8,1,.000,41.1,45,7,29,6.31,15,3,0,0,31,30,.273,1.93,1.45,カンザスシティ・ロイヤルズ
3,35,クリス・ストラットン,5.55,57,0,0,0,0,4,3,5,4,.571,58.1,53,5,44,6.79,33,3,1,0,38,36,.248,1.33,1.47,カンザスシティ・ロイヤルズ
4,38,ジョシュ・テーラー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,カンザスシティ・ロイヤルズ
5,41,ダニエル・リンチ,3.32,16,3,0,0,0,2,0,0,1,1.000,43.1,29,6,39,8.10,14,4,0,0,17,16,.188,2.79,0.99,カンザスシティ・ロイヤルズ
6,43,カルロス・ヘルナンデス,3.30,27,0,0,0,0,0,1,1,0,.000,30,24,1,27,8.10,16,1,1,0,14,11,.220,1.69,1.33,カンザスシティ・ロイヤルズ
7,46,ジョン・シュライバー,3.66,59,0,0,0,0,4,3,23,2,.571,51.2,48,1,46,8.01,20,4,1,0,23,21,.242,2.30,1.32,カンザスシティ・ロイヤルズ
8,48,アレック・マーシュ,4.53,26,25,0,0,5,9,9,0,0,.500,129,123,19,123,8.58,39,11,3,1,70,65,.249,3.15,1.26,カンザスシティ・ロイヤルズ
9,50,クリス・ブビク,2.67,27,0,0,0,0,1,1,7,1,.500,30.1,26,2,39,11.57,5,0,1,0,12,9,.232,7.80,1.02,カンザスシティ・ロイヤルズ
10,51,ブラディ・シンガー,3.71,32,32,0,0,13,9,13,0,0,.409,179.2,175,22,170,8.52,54,10,2,0,77,74,.253,3.15,1.27,カンザスシティ・ロイヤルズ
11,52,マイケル・ワカ,3.35,29,29,0,0,14,13,8,0,0,.619,166.2,154,17,145,7.83,45,5,3,0,65,62,.246,3.22,1.19,カンザスシティ・ロイヤルズ
12,55,コール・ラガンズ,3.14,32,32,1,0,21,11,9,0,0,.550,186.1,146,15,223,10.77,67,6,11,0,71,65,.213,3.33,1.14,カンザスシティ・ロイヤルズ
13,56,ハンター・ハービー,4.44,49,0,0,0,0,2,4,28,1,.333,50.2,51,5,55,9.77,16,5,2,0,28,25,.259,3.44,1.32,カンザスシティ・ロイヤルズ
14,60,ルーカス・エルセグ,3.36,61,0,0,0,0,2,6,18,14,.250,61.2,49,3,72,10.51,16,6,5,1,26,23,.212,4.50,1.05,カンザスシティ・ロイヤルズ
15,61,アンヘル・セルパ,3.86,60,0,0,0,0,2,0,12,0,1.000,53.2,59,6,49,8.22,19,2,3,0,24,23,.273,2.58,1.45,カンザスシティ・ロイヤルズ
16,62,ジョナサン・バウラン,13.50,1,1,0,0,0,0,1,0,0,.000,2.2,6,3,3,10.13,3,0,0,0,4,4,.429,1.00,3.38,カンザスシティ・ロイヤルズ
17,64,スティーブン・クルーズ,0.00,5,0,0,0,0,0,0,0,0,.000,5.2,1,0,4,6.35,0,0,1,0,0,0,.056,0.00,0.18,カンザスシティ・ロイヤルズ
18,66,ジェームス・マッカーサー,4.92,57,0,0,0,0,5,7,2,18,.417,56.2,68,8,49,7.78,14,3,1,0,36,31,.298,3.50,1.45,カンザスシティ・ロイヤルズ
19,67,セス・ルーゴ,3.00,33,33,1,0,22,16,9,0,0,.640,206.2,177,16,181,7.88,48,9,4,0,75,69,.229,3.77,1.09,カンザスシティ・ロイヤルズ
20,73,サムエル・ロング,3.16,43,0,0,0,0,3,3,7,1,.500,42.2,34,5,44,9.28,17,1,3,1,17,15,.218,2.59,1.20,カンザスシティ・ロイヤルズ
21,12,ニック・ロフティン,0.00,1,0,0,0,0,0,0,0,0,.000,1,1,0,0,0.00,0,0,0,0,0,0,.333,0.00,1.00,カンザスシティ・ロイヤルズ
22,32,ニック・プラット,0.00,1,0,0,0,0,0,0,0,0,.000,1,1,0,1,9.00,0,0,1,0,0,0,.250,0.00,1.00,カンザスシティ・ロイヤルズ
23,2,ギャレット・ハンプソン,0.00,1,0,0,0,0,0,0,0,0,.000,1,0,0,0,0.00,0,1,0,0,0,0,.000,0.00,0.00,カンザスシティ・ロイヤルズ
