,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,24,ロバート・スティーブンソン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・エンゼルス
1,31,タイラー・アンダーソン,3.81,31,31,0,0,12,10,15,0,0,.400,179.1,158,24,142,7.13,73,7,3,1,83,76,.232,1.95,1.29,ロサンゼルス・エンゼルス
2,36,ケイデン・ダナ,9.58,3,3,0,0,1,1,2,0,0,.333,10.1,14,5,8,6.97,7,1,0,0,12,11,.326,1.14,2.03,ロサンゼルス・エンゼルス
3,40,サム・バックマン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・エンゼルス
4,41,カーソン・フルマー,4.15,37,8,0,0,2,0,5,0,0,.000,86.2,81,11,81,8.41,40,5,5,2,45,40,.246,2.03,1.40,ロサンゼルス・エンゼルス
5,43,パトリック・サンドバル,5.08,16,16,0,0,4,2,8,0,0,.200,79.2,85,8,81,9.15,35,3,6,2,49,45,.272,2.31,1.51,ロサンゼルス・エンゼルス
6,44,ベン・ジョイス,2.08,31,1,0,0,0,2,0,8,4,1.000,34.2,26,1,33,8.57,14,4,4,0,8,8,.210,2.36,1.15,ロサンゼルス・エンゼルス
7,46,ブロック・バーク,5.82,34,1,0,0,0,2,1,1,0,.667,34,37,4,41,10.85,16,2,0,0,22,22,.274,2.56,1.56,ロサンゼルス・エンゼルス
8,47,グリフィン・キャニング,5.19,32,31,0,0,7,6,13,0,0,.316,171.2,174,31,130,6.82,66,6,6,4,105,99,.265,1.97,1.40,ロサンゼルス・エンゼルス
9,48,リード・デトマーズ,6.70,17,17,0,0,4,4,9,0,0,.308,87.1,98,18,109,11.23,38,2,4,0,67,65,.282,2.87,1.56,ロサンゼルス・エンゼルス
10,49,ギレルモ・スニガ,5.09,15,0,0,0,0,0,0,0,2,.000,17.2,16,5,12,6.11,8,1,1,0,10,10,.242,1.50,1.36,ロサンゼルス・エンゼルス
11,52,ハンス・クラウス,2.84,25,0,0,0,0,4,3,1,0,.571,25.1,14,2,34,12.08,17,2,1,0,10,8,.161,2.00,1.22,ロサンゼルス・エンゼルス
12,53,ライアン・ミラー,4.15,13,0,0,0,0,0,1,1,0,.000,13,13,2,11,7.62,8,0,0,0,7,6,.260,1.38,1.62,ロサンゼルス・エンゼルス
13,54,ホセ・スアレス,6.02,22,3,0,0,0,1,2,0,1,.333,52.1,57,7,56,9.63,27,4,1,0,38,35,.274,2.07,1.61,ロサンゼルス・エンゼルス
14,55,マット・ムーア,5.03,51,0,0,0,0,5,3,10,1,.625,48.1,39,11,41,7.63,26,2,1,0,31,27,.218,1.58,1.34,ロサンゼルス・エンゼルス
15,56,ライアン・ゼファージャン,2.12,12,0,0,0,0,0,0,0,0,.000,17,7,0,18,9.53,6,2,0,0,4,4,.127,3.00,0.76,ロサンゼルス・エンゼルス
16,57,ロアンジ・コントレラス,4.35,49,3,0,0,0,2,4,1,2,.333,68.1,63,11,56,7.38,31,4,3,0,36,33,.243,1.81,1.38,ロサンゼルス・エンゼルス
17,58,デービス・ダニエル,6.23,6,6,0,0,1,1,4,0,0,.200,30.1,39,5,28,8.31,6,1,0,1,22,21,.307,4.67,1.48,ロサンゼルス・エンゼルス
18,59,ホセ・ソリアーノ,3.42,22,20,0,0,9,6,7,1,0,.462,113,91,8,97,7.73,45,9,7,0,50,43,.224,2.16,1.20,ロサンゼルス・エンゼルス
19,60,アンドルー・ワンツ,6.75,1,0,0,0,0,0,0,0,0,.000,1.1,1,1,3,20.25,1,0,0,0,1,1,.200,3.00,1.50,ロサンゼルス・エンゼルス
20,61,ハンター・ストリックランド,3.31,72,0,0,0,0,3,2,12,1,.600,73.1,56,10,57,7.00,24,2,1,0,31,27,.211,2.38,1.09,ロサンゼルス・エンゼルス
21,62,ビクトル・メデロス,11.81,4,0,0,0,0,0,1,0,0,.000,5.1,7,1,5,8.44,6,0,0,0,7,7,.333,0.83,2.44,ロサンゼルス・エンゼルス
22,63,チェース・シルセス,6.75,2,2,0,0,0,0,1,0,0,.000,8,8,3,12,13.50,4,0,0,0,7,6,.242,3.00,1.50,ロサンゼルス・エンゼルス
23,64,ジャック・コハノビチ,3.99,11,11,0,0,8,2,6,0,0,.250,65.1,68,7,25,3.44,10,8,1,0,30,29,.275,2.50,1.19,ロサンゼルス・エンゼルス
24,65,ホセ・キハダ,3.26,22,0,0,0,0,2,2,7,0,.500,19.1,12,1,24,11.17,17,2,0,1,9,7,.190,1.41,1.50,ロサンゼルス・エンゼルス
25,66,サミュエル・アルデゲリ,4.85,3,3,0,0,1,1,2,0,0,.333,13,15,2,10,6.92,10,2,2,0,12,7,.283,1.00,1.92,ロサンゼルス・エンゼルス
26,68,ホセ・マルテ,2.33,14,0,0,0,0,0,0,2,0,.000,19.1,14,1,14,6.52,10,1,2,0,6,5,.206,1.40,1.24,ロサンゼルス・エンゼルス
27,71,ケルビン・カセレス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・エンゼルス
28,78,ケニー・ローゼンバーグ,6.00,7,1,0,0,0,0,1,0,0,.000,24,28,5,17,6.38,8,0,2,0,17,16,.292,2.13,1.50,ロサンゼルス・エンゼルス
29,38,マイケル・ステファニック,0.00,1,0,0,0,0,0,0,0,0,.000,1,1,0,0,0.00,0,1,0,0,0,0,.250,0.00,1.00,ロサンゼルス・エンゼルス
