,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,0,ジャック・フラーティ,3.17,28,28,0,0,15,13,7,0,0,.650,162,135,24,194,10.78,38,4,6,0,61,57,.223,5.11,1.07,ロサンゼルス・ドジャース
1,17,大谷翔平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・ドジャース
2,18,山本由伸,3.00,18,18,0,0,7,7,2,0,0,.778,90,78,7,105,10.50,22,1,2,0,32,30,.229,4.77,1.11,ロサンゼルス・ドジャース
3,21,ウォーカー・ビューラー,5.38,16,16,0,0,3,1,6,0,0,.143,75.1,89,16,64,7.65,28,5,3,0,52,45,.289,2.29,1.55,ロサンゼルス・ドジャース
4,22,クレイトン・カーショー,4.50,7,7,0,0,1,2,2,0,0,.500,30,36,2,24,7.20,9,2,2,1,19,15,.303,2.67,1.50,ロサンゼルス・ドジャース
5,26,トニー・ゴンソリン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・ドジャース
6,28,ボビー・ミラー,8.52,13,13,0,0,2,2,4,0,0,.333,56,69,17,52,8.36,30,2,7,0,53,53,.305,1.73,1.77,ロサンゼルス・ドジャース
7,29,マイケル・グローブ,5.12,39,2,0,0,0,4,4,7,0,.500,51,46,6,54,9.53,16,6,2,0,31,29,.241,3.38,1.22,ロサンゼルス・ドジャース
8,31,タイラー・グラスノー,3.49,22,22,0,0,14,9,6,0,0,.600,134,92,15,168,11.28,35,0,12,1,53,52,.190,4.80,0.95,ロサンゼルス・ドジャース
9,31,カイル・ハート,1.35,3,1,0,0,0,0,1,0,0,.000,6.2,8,0,3,4.05,1,0,0,0,2,1,.308,3.00,1.35,ロサンゼルス・ドジャース
10,35,ギャビン・ストーン,3.53,25,25,1,1,10,11,5,0,0,.688,140.1,133,18,116,7.44,37,2,9,0,55,55,.248,3.14,1.21,ロサンゼルス・ドジャース
11,40,ブレント・ハニーウェル,2.63,20,1,0,0,0,1,1,1,1,.500,37.2,32,3,18,4.30,11,2,2,1,12,11,.242,1.64,1.14,ロサンゼルス・ドジャース
12,41,ダニエル・ハドソン,3.00,65,0,0,0,0,6,2,17,10,.750,63,46,10,63,9.00,19,1,2,0,25,21,.198,3.32,1.03,ロサンゼルス・ドジャース
13,43,アンソニー・バンダ,3.08,48,2,0,0,0,3,2,9,2,.600,49.2,44,5,50,9.06,18,2,1,0,19,17,.238,2.78,1.25,ロサンゼルス・ドジャース
14,45,マイケル・コペック,3.46,67,0,0,0,0,6,8,9,15,.429,67.2,44,9,88,11.70,34,5,6,2,27,26,.188,2.59,1.15,ロサンゼルス・ドジャース
15,48,ブラスダー・グラテオル,2.45,7,0,0,0,0,0,0,0,0,.000,7.1,3,0,7,8.59,2,0,0,0,2,2,.120,3.50,0.68,ロサンゼルス・ドジャース
16,49,ブレーク・トライネン,1.93,50,0,0,0,0,7,3,16,1,.700,46.2,33,5,56,10.80,11,2,1,0,11,10,.194,5.09,0.94,ロサンゼルス・ドジャース
17,51,アレックス・ベシア,1.76,67,0,0,0,0,5,4,13,5,.556,66.1,33,7,87,11.80,33,1,2,0,19,13,.148,2.64,0.99,ロサンゼルス・ドジャース
18,57,ライアン・ブレイシア,3.54,29,4,0,0,0,1,0,6,0,1.000,28,22,3,25,8.04,5,0,1,0,12,11,.218,5.00,0.96,ロサンゼルス・ドジャース
19,59,エバン・フィリップス,3.62,61,0,0,0,0,5,1,9,18,.833,54.2,48,6,63,10.37,17,1,1,0,30,22,.232,3.71,1.19,ロサンゼルス・ドジャース
20,60,エドガルド・エンリケス,2.70,3,0,0,0,0,0,0,0,1,.000,3.1,2,0,5,13.50,2,0,1,0,1,1,.167,2.50,1.20,ロサンゼルス・ドジャース
21,62,ザック・ローグ,18.00,2,0,0,0,0,0,0,0,0,.000,2,6,1,4,18.00,0,0,0,0,4,4,.500,0.00,3.00,ロサンゼルス・ドジャース
22,70,ジャスティン・ウロブレスキ,5.70,8,6,0,0,0,1,2,0,1,.333,36.1,34,9,26,6.44,16,1,1,0,24,23,.248,1.63,1.38,ロサンゼルス・ドジャース
23,75,コナー・ブログドン,24.00,4,0,0,0,0,0,1,0,0,.000,3,5,4,3,9.00,6,0,1,0,9,8,.385,0.50,3.67,ロサンゼルス・ドジャース
24,77,リバー・ライアン,1.33,4,4,0,0,0,1,0,0,0,1.000,20.1,15,1,18,7.97,9,0,0,0,4,3,.208,2.00,1.18,ロサンゼルス・ドジャース
25,78,ベン・カスパーリウズ,2.16,3,0,0,0,0,2,0,0,0,1.000,8.1,9,0,12,12.96,4,0,0,0,3,2,.273,3.00,1.56,ロサンゼルス・ドジャース
26,79,ニック・フラッソ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・ドジャース
27,80,エメット・シーハン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・ドジャース
28,85,ダスティン・メイ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・ドジャース
29,96,ランドン・ナック,3.65,15,12,0,0,2,3,5,0,1,.375,69,58,14,69,9.00,18,3,1,1,28,28,.220,3.83,1.10,ロサンゼルス・ドジャース
30,99,ジョー・ケリー,4.78,35,0,0,0,0,1,1,13,0,.500,32,31,4,35,9.84,16,5,3,2,19,17,.261,2.19,1.47,ロサンゼルス・ドジャース
31,8,キケ・ヘルナンデス,4.15,4,0,0,0,0,0,0,0,0,.000,4.1,5,0,0,0.00,0,0,0,0,2,2,.278,0.00,1.15,ロサンゼルス・ドジャース
32,11,ミゲル・ロハス,0.00,1,0,0,0,0,0,0,0,0,.000,1,1,0,0,0.00,0,0,0,0,0,0,.250,0.00,1.00,ロサンゼルス・ドジャース
