,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,18,シクスト・サンチェス,6.06,14,7,0,0,0,0,3,1,0,.000,35.2,43,3,17,4.29,14,3,1,1,29,24,.303,1.21,1.60,マイアミ・マーリンズ
1,22,サンディ・アルカンタラ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,マイアミ・マーリンズ
2,23,マックス・マイヤー,5.68,11,11,0,0,3,3,5,0,0,.375,57,62,14,46,7.26,19,3,0,0,38,36,.276,2.42,1.42,マイアミ・マーリンズ
3,27,エドワード・カブレラ,4.95,20,20,0,0,5,4,8,0,0,.333,96.1,82,15,107,10.00,50,5,1,1,60,53,.227,2.14,1.37,マイアミ・マーリンズ
4,29,ブラクストン・ギャレット,5.35,7,7,1,1,2,2,2,0,0,.500,37,40,5,34,8.27,4,5,1,0,24,22,.263,8.50,1.19,マイアミ・マーリンズ
5,37,アンソニー・ベンダー,4.08,59,0,0,0,0,5,2,15,1,.714,53,50,3,59,10.02,18,4,2,0,25,24,.245,3.28,1.28,マイアミ・マーリンズ
6,38,ヘスス・ティノコ,3.32,32,0,0,0,0,1,0,6,3,1.000,40.2,27,3,42,9.30,12,3,1,0,15,15,.184,3.50,0.96,マイアミ・マーリンズ
7,39,ユーリー・ペレス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,マイアミ・マーリンズ
8,43,アンドリュー・ナルディ,5.07,59,0,0,0,0,3,2,15,0,.600,49.2,44,7,70,12.68,18,1,1,0,29,28,.234,3.89,1.25,マイアミ・マーリンズ
9,44,ヘスス・ルサルド,5.00,12,12,0,0,4,3,6,0,0,.333,66.2,61,9,58,7.83,22,2,3,0,37,37,.246,2.64,1.25,マイアミ・マーリンズ
10,48,ショーン・アンダーソン,8.27,6,2,0,0,0,0,2,0,0,.000,16.1,34,3,10,5.51,1,1,2,0,19,15,.415,10.00,2.14,マイアミ・マーリンズ
11,49,クザビオン・カリー,4.64,16,5,0,0,0,2,2,1,0,.500,42.2,38,8,28,5.91,7,0,1,0,23,22,.232,4.00,1.05,マイアミ・マーリンズ
12,51,デクラン・クローニン,4.35,56,0,0,0,0,3,4,8,0,.429,70.1,75,1,72,9.21,25,5,1,0,41,34,.274,2.88,1.42,マイアミ・マーリンズ
13,52,アンソニー・マルドナード,5.68,16,1,0,0,0,1,1,0,1,.500,19,21,1,11,5.21,7,0,1,0,12,12,.280,1.57,1.47,マイアミ・マーリンズ
14,53,カルビン・フォーチャー,3.19,53,0,0,0,0,2,3,11,6,.400,53.2,49,0,63,10.57,26,4,5,0,25,19,.246,2.42,1.40,マイアミ・マーリンズ
15,55,マイケル・バウマン,5.55,57,0,0,0,0,3,1,9,0,.750,58.1,59,9,58,8.95,28,4,6,0,40,36,.259,2.07,1.49,マイアミ・マーリンズ
16,59,アンソニー・ベネツィアーノ,3.38,12,0,0,0,0,1,0,1,0,1.000,13.1,16,1,14,9.45,3,1,1,0,7,5,.308,4.67,1.43,マイアミ・マーリンズ
17,60,ライアン・ウェザーズ,3.63,16,16,0,0,7,5,6,0,0,.455,86.2,78,11,80,8.31,24,9,2,1,39,35,.236,3.33,1.18,マイアミ・マーリンズ
18,62,ジョージ・ソリアーノ,6.75,22,0,0,0,0,1,1,2,1,.500,29.1,27,7,29,8.90,13,4,3,0,23,22,.241,2.23,1.36,マイアミ・マーリンズ
19,65,ジョシュ・シンプソン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,マイアミ・マーリンズ
20,66,ジョン・マクミロン,1.50,10,0,0,0,0,2,1,2,0,.667,12,7,1,13,9.75,5,0,0,0,4,2,.171,2.60,1.00,マイアミ・マーリンズ
21,68,ダレン・マコーガン,6.21,12,5,0,0,0,0,0,1,2,.000,42,53,9,28,6.00,15,6,2,0,32,29,.310,1.87,1.62,マイアミ・マーリンズ
22,70,マイケル・ピーターソン,5.95,16,0,0,0,0,3,1,1,0,.750,19.2,21,3,14,6.41,11,1,0,1,14,13,.276,1.27,1.63,マイアミ・マーリンズ
23,71,ロデリー・ムニョス,6.53,18,17,0,0,2,2,7,0,0,.222,82.2,89,26,70,7.62,42,5,4,1,66,60,.272,1.67,1.58,マイアミ・マーリンズ
24,77,アダム・オラー,5.31,8,8,0,0,1,2,4,0,0,.333,42.1,43,7,36,7.65,22,2,1,0,25,25,.261,1.64,1.54,マイアミ・マーリンズ
25,83,バレンテ・ベロゾ,3.67,13,13,0,0,2,3,4,0,0,.429,68.2,69,15,44,5.77,21,2,0,0,31,28,.256,2.10,1.31,マイアミ・マーリンズ
26,84,レイク・バカー,3.86,10,0,0,0,0,0,1,5,0,.000,9.1,10,2,11,10.61,4,0,0,0,5,4,.278,2.75,1.50,マイアミ・マーリンズ
27,-,アダム・メイザー,7.49,8,8,0,0,1,1,3,0,0,.250,33.2,40,6,22,5.88,21,2,0,0,28,28,.301,1.05,1.81,マイアミ・マーリンズ
