,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,00,カルロス・ロドリゲス,7.30,3,3,0,0,0,0,3,0,0,.000,12.1,19,3,9,6.57,3,0,0,0,11,10,.365,3.00,1.78,ミルウォーキー・ブリュワーズ
1,20,ウェード・マイリー,6.43,2,2,0,0,0,0,1,0,0,.000,7,6,1,2,2.57,4,1,0,1,5,5,.250,0.50,1.43,ミルウォーキー・ブリュワーズ
2,25,ニコラウス・ミアーズ,5.93,54,0,0,0,0,1,5,14,0,.167,57.2,61,7,75,11.71,24,0,3,0,40,38,.268,3.13,1.47,ミルウォーキー・ブリュワーズ
3,26,アーロン・アシュビー,2.86,14,2,0,0,0,1,2,3,0,.333,28.1,20,2,33,10.48,10,0,1,0,13,9,.187,3.30,1.06,ミルウォーキー・ブリュワーズ
4,29,トレバー・メギル,2.72,48,0,0,0,0,1,3,6,21,.250,46.1,33,4,50,9.71,14,1,4,0,16,14,.200,3.57,1.01,ミルウォーキー・ブリュワーズ
5,31,ジョエル・パヤンプス,3.05,68,0,0,0,0,3,7,21,6,.300,59,39,7,59,9.00,18,2,0,0,23,20,.184,3.28,0.97,ミルウォーキー・ブリュワーズ
6,32,アーロン・シベル,4.36,31,31,0,0,8,8,9,0,0,.471,161,158,29,149,8.33,52,6,1,0,82,78,.252,2.87,1.30,ミルウォーキー・ブリュワーズ
7,35,ジャレド・ケーニック,2.47,55,6,0,0,0,9,4,10,1,.692,62,54,4,63,9.15,23,4,0,0,22,17,.229,2.74,1.24,ミルウォーキー・ブリュワーズ
8,36,トビアス・マイヤーズ,3.00,27,25,0,0,7,9,6,0,0,.600,138,126,18,127,8.28,36,5,4,5,52,46,.242,3.53,1.17,ミルウォーキー・ブリュワーズ
9,37,デイトン・ホール,5.02,13,7,0,0,1,1,2,1,0,.333,43,48,6,44,9.21,21,4,1,0,26,24,.282,2.10,1.60,ミルウォーキー・ブリュワーズ
10,38,デビン・ウィリアムズ,1.25,22,0,0,0,0,1,0,0,14,1.000,21.2,10,1,38,15.78,11,2,1,0,3,3,.133,3.45,0.97,ミルウォーキー・ブリュワーズ
11,41,ジョー・ロス,3.77,25,10,0,0,2,3,6,0,0,.333,74,72,7,66,8.03,29,1,1,0,35,31,.251,2.28,1.36,ミルウォーキー・ブリュワーズ
12,45,アブナー・ウリーベ,6.91,14,0,0,0,0,2,2,0,3,.500,14.1,15,1,14,8.79,12,0,3,0,11,11,.278,1.17,1.88,ミルウォーキー・ブリュワーズ
13,46,ブライス・ウィルソン,4.04,34,9,0,0,2,5,4,0,0,.556,104.2,102,20,82,7.05,31,4,3,1,49,47,.252,2.65,1.27,ミルウォーキー・ブリュワーズ
14,47,フランキー・モンタス,4.84,30,30,0,0,9,7,11,0,0,.389,150.2,140,24,148,8.84,66,6,3,0,89,81,.243,2.24,1.37,ミルウォーキー・ブリュワーズ
15,48,コリン・レイ,4.29,32,27,0,0,8,12,6,1,1,.667,167.2,169,29,135,7.25,43,10,2,0,83,80,.258,3.14,1.26,ミルウォーキー・ブリュワーズ
16,50,Ｊ．Ｂ．ブカウスカス,1.50,6,0,0,0,0,0,0,2,0,.000,6,3,1,6,9.00,1,0,0,0,1,1,.143,6.00,0.67,ミルウォーキー・ブリュワーズ
17,51,フレディ・ペラルタ,3.68,32,32,0,0,11,11,9,0,0,.550,173.2,143,26,200,10.36,68,10,8,1,74,71,.224,2.94,1.21,ミルウォーキー・ブリュワーズ
18,52,ブライアン・ハドソン,1.73,43,0,0,0,0,6,1,14,0,.857,62.1,28,7,62,8.95,17,3,1,1,12,12,.135,3.65,0.72,ミルウォーキー・ブリュワーズ
19,53,ブランドン・ウッドラフ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ミルウォーキー・ブリュワーズ
20,54,タイラー・ジェイ,4.70,5,0,0,0,0,0,0,0,0,.000,7.2,9,0,6,7.04,6,0,1,0,5,4,.300,1.00,1.96,ミルウォーキー・ブリュワーズ
21,55,ホビー・ミルナー,4.73,61,1,0,0,0,5,1,5,1,.833,64.2,63,6,64,8.91,14,2,0,0,38,34,.258,4.57,1.19,ミルウォーキー・ブリュワーズ
22,57,ケビン・ハーゲット,1.59,7,0,0,0,0,0,0,1,1,.000,11.1,6,1,9,7.15,3,0,0,0,2,2,.150,3.00,0.79,ミルウォーキー・ブリュワーズ
23,58,ロブ・ザストリズニー,1.17,9,3,0,0,0,1,0,0,0,1.000,7.2,4,0,5,5.87,1,1,0,0,1,1,.154,5.00,0.65,ミルウォーキー・ブリュワーズ
24,59,エルビス・ペゲロ,2.98,52,0,0,0,0,7,4,11,2,.636,51.1,52,4,47,8.24,27,2,6,1,22,17,.264,1.74,1.54,ミルウォーキー・ブリュワーズ
25,-,ロバート・ガッサー,2.57,5,5,0,0,2,2,0,0,0,1.000,28,28,2,16,5.14,1,3,0,0,9,8,.264,16.00,1.04,ミルウォーキー・ブリュワーズ
26,9,ジェイク・バウアーズ,4.50,4,0,0,0,0,0,0,0,0,.000,4,5,0,1,2.25,4,0,0,0,2,2,.313,0.25,2.25,ミルウォーキー・ブリュワーズ
