,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,17,ベイリー・オーバー,3.98,31,31,1,0,18,12,9,0,0,.571,178.2,136,27,191,9.62,43,6,1,0,81,79,.208,4.44,1.00,ミネソタ・ツインズ
1,20,クリス・パダック,4.99,17,17,0,0,4,5,3,0,0,.625,88.1,102,14,79,8.05,21,1,3,0,50,49,.283,3.76,1.39,ミネソタ・ツインズ
2,21,アンソニー・デスクラファニ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ミネソタ・ツインズ
3,22,グリフィン・ジャックス,2.03,72,0,0,0,0,5,5,24,10,.500,71,47,4,95,12.04,15,2,4,0,19,16,.184,6.33,0.87,ミネソタ・ツインズ
4,31,ロニー・エンリケス,3.26,16,1,0,0,0,1,1,2,0,.500,19.1,20,2,15,6.98,5,2,1,0,8,7,.267,3.00,1.29,ミネソタ・ツインズ
5,37,ルイ・バーランド,7.61,16,7,0,0,1,0,6,0,0,.000,49.2,68,12,49,8.88,16,4,0,0,44,42,.318,3.06,1.69,ミネソタ・ツインズ
6,39,マイケル・トンキン,3.63,57,0,0,0,0,4,4,1,2,.500,79.1,70,6,85,9.64,30,8,4,1,43,32,.236,2.83,1.26,ミネソタ・ツインズ
7,41,ジョー・ライアン,3.60,23,23,0,0,13,7,7,0,0,.500,135,110,19,147,9.80,23,5,2,1,59,54,.217,6.39,0.99,ミネソタ・ツインズ
8,44,ブライソン・サンズ,3.28,62,0,0,0,0,9,1,5,4,.900,71.1,59,6,85,10.72,12,6,3,1,30,26,.221,7.08,1.00,ミネソタ・ツインズ
9,48,ジャスティン・トパ,0.00,3,0,0,0,0,0,0,0,0,.000,2.1,1,0,2,7.71,0,0,0,0,0,0,.125,0.00,0.43,ミネソタ・ツインズ
10,49,パブロ・ロペス,4.08,32,32,0,0,18,15,10,0,0,.600,185.1,180,26,198,9.62,41,8,3,0,90,84,.252,4.83,1.19,ミネソタ・ツインズ
11,52,ゼビ・マシューズ,6.69,9,9,0,0,0,1,4,0,0,.200,37.2,51,11,43,10.27,11,2,1,0,31,28,.311,3.91,1.65,ミネソタ・ツインズ
12,53,ブレント・ヘッドリック,3.00,1,0,0,0,0,0,0,0,0,.000,3,2,1,5,15.00,2,0,0,0,1,1,.182,2.50,1.33,ミネソタ・ツインズ
13,54,ダニエル・ドゥアルテ,2.25,2,0,0,0,0,1,0,0,0,1.000,4,2,1,3,6.75,1,0,0,0,1,1,.143,3.00,0.75,ミネソタ・ツインズ
14,55,コディ・ファンダーバーク,6.49,27,0,0,0,0,1,0,5,1,1.000,34.2,41,4,32,8.31,15,5,4,1,26,25,.301,2.13,1.62,ミネソタ・ツインズ
15,56,カレブ・シルバー,5.32,59,0,0,0,0,2,4,10,3,.333,47.1,50,6,53,10.08,24,0,2,0,33,28,.266,2.21,1.56,ミネソタ・ツインズ
16,58,デービッド・フェスタ,4.90,14,13,0,0,1,2,6,0,0,.250,64.1,62,9,77,10.77,23,2,2,1,36,35,.247,3.35,1.32,ミネソタ・ツインズ
17,59,ジョアン・デュラン,3.64,58,0,0,0,0,6,9,7,23,.400,54.1,48,4,66,10.93,15,6,1,1,30,22,.235,4.40,1.16,ミネソタ・ツインズ
18,60,スコット・ブルエト,1.77,12,0,0,0,0,1,1,0,0,.500,20.1,17,2,18,7.97,8,1,0,0,5,4,.224,2.25,1.23,ミネソタ・ツインズ
19,61,ブロック・スチュワート,5.17,16,0,0,0,0,0,0,7,0,.000,15.2,15,2,20,11.49,8,0,0,0,9,9,.254,2.50,1.47,ミネソタ・ツインズ
20,66,ホルヘ・アルカラ,3.24,54,0,0,0,0,4,3,16,0,.571,58.1,40,8,58,8.95,20,3,4,0,23,21,.190,2.90,1.03,ミネソタ・ツインズ
21,68,ランディ・ドブナック,5.59,5,0,0,0,0,0,0,0,0,.000,9.2,11,1,7,6.52,5,0,1,0,6,6,.275,1.40,1.66,ミネソタ・ツインズ
22,74,ジョシュ・ウィンダー,3.00,4,0,0,0,0,0,0,0,0,.000,9,7,0,10,10.00,1,2,0,0,4,3,.212,10.00,0.89,ミネソタ・ツインズ
23,78,シメオン・ウッズリチャードソン,4.17,28,28,0,0,7,5,5,0,0,.500,133.2,125,16,117,7.88,48,3,3,0,63,62,.246,2.44,1.29,ミネソタ・ツインズ
24,83,マット・キャンテリノ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ミネソタ・ツインズ
25,12,カイル・ファーマー,6.75,3,0,0,0,0,0,0,0,0,.000,4,7,0,0,0.00,1,0,0,0,3,3,.389,0.00,2.00,ミネソタ・ツインズ
26,50,ウィリ・カストロ,0.00,2,0,0,0,0,0,0,0,0,.000,1.1,0,0,0,0.00,0,0,0,0,0,0,.000,0.00,0.00,ミネソタ・ツインズ
27,38,マット・ウォルナー,0.00,1,0,0,0,0,0,0,0,0,.000,1.1,2,0,0,0.00,0,0,0,0,0,0,.333,0.00,1.50,ミネソタ・ツインズ
