,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,0,アダム・オッタビノ,4.34,60,0,0,0,0,2,2,15,1,.500,56,49,6,70,11.25,23,7,5,0,29,27,.230,3.04,1.29,ニューヨーク・メッツ
1,19,藤浪晋太郎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・メッツ
2,23,デービッド・ピーターソン,2.90,21,21,0,0,12,10,3,0,0,.769,121,110,8,101,7.51,46,7,4,1,44,39,.243,2.20,1.29,ニューヨーク・メッツ
3,25,ブルックス・レイリー,0.00,8,0,0,0,0,1,0,4,0,1.000,7,2,0,9,11.57,3,0,0,0,0,0,.095,3.00,0.71,ニューヨーク・メッツ
4,32,マックス・クラニック,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・メッツ
5,33,ドルー・スミス,3.06,19,0,0,0,0,1,1,6,2,.500,17.2,18,2,23,11.72,9,0,3,0,7,6,.265,2.56,1.53,ニューヨーク・メッツ
6,34,千賀滉大,3.38,1,1,0,0,0,1,0,0,0,1.000,5.1,2,1,9,15.19,1,1,0,0,2,2,.111,9.00,0.56,ニューヨーク・メッツ
7,38,タイラー・メギル,4.04,16,15,0,0,3,4,5,0,0,.444,78,70,8,91,10.50,32,4,4,0,39,35,.235,2.84,1.31,ニューヨーク・メッツ
8,39,エドウィン・ディアス,3.52,54,0,0,0,0,6,4,2,20,.600,53.2,36,7,84,14.09,20,3,3,0,23,21,.188,4.20,1.04,ニューヨーク・メッツ
9,40,ルイス・セベリーノ,3.91,31,31,1,1,14,11,7,0,0,.611,182,166,23,161,7.96,60,11,6,2,86,79,.243,2.68,1.24,ニューヨーク・メッツ
10,43,ウアスカル・ブラソバン,3.83,39,0,0,0,0,1,3,5,0,.250,51.2,38,2,51,8.88,25,3,4,0,26,22,.201,2.04,1.22,ニューヨーク・メッツ
11,45,クリスチャン・スコット,4.56,9,9,0,0,3,0,3,0,0,.000,47.1,45,8,39,7.42,12,2,0,0,24,24,.250,3.25,1.20,ニューヨーク・メッツ
12,46,アレックス・ヤング,2.87,17,0,0,0,0,0,0,1,0,.000,15.2,15,2,15,8.62,7,0,0,0,5,5,.246,2.14,1.40,ニューヨーク・メッツ
13,47,ジョーイ・ルケーシー,5.23,2,2,0,0,1,0,2,0,0,.000,10.1,8,1,7,6.10,8,0,1,0,6,6,.216,0.88,1.55,ニューヨーク・メッツ
14,51,マシュー・ゲージ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・メッツ
15,53,エリック・オルゼ,21.60,2,0,0,0,0,0,1,0,0,.000,1.2,3,1,1,5.40,2,1,0,0,4,4,.375,0.50,3.00,ニューヨーク・メッツ
16,55,ライン・スタニク,4.88,63,0,0,0,0,7,3,17,7,.700,55.1,48,8,67,10.90,25,3,3,0,32,30,.226,2.68,1.32,ニューヨーク・メッツ
17,56,グラント・ハートウィグ,6.75,4,0,0,0,0,0,0,0,0,.000,6.2,6,1,4,5.40,4,2,0,0,6,5,.240,1.00,1.50,ニューヨーク・メッツ
18,58,ポール・ブラックバーン,4.66,14,14,0,0,7,5,4,0,0,.556,75.1,76,12,59,7.05,21,3,0,0,41,39,.262,2.81,1.29,ニューヨーク・メッツ
19,59,ショーン・マナイア,3.47,32,32,0,0,15,12,6,0,0,.667,181.2,134,21,184,9.12,63,9,4,0,75,70,.202,2.92,1.08,ニューヨーク・メッツ
20,62,ホセ・キンタナ,3.75,31,31,0,0,12,10,10,0,0,.500,170.1,150,22,135,7.13,63,11,7,0,73,71,.237,2.14,1.25,ニューヨーク・メッツ
21,70,ホセ・ブット,2.55,30,7,0,0,3,7,3,4,3,.700,74,41,6,79,9.61,38,5,2,1,21,21,.167,2.08,1.07,ニューヨーク・メッツ
22,71,ショーン・リードフォーリー,1.66,23,0,0,0,0,1,2,4,0,.333,21.2,13,0,25,10.38,14,0,1,0,10,4,.173,1.79,1.25,ニューヨーク・メッツ
23,72,デドニエル・ヌニェス,2.31,25,0,0,0,0,2,0,9,1,1.000,35,24,3,48,12.34,8,0,1,2,11,9,.189,6.00,0.91,ニューヨーク・メッツ
24,75,リード・ギャレット,3.77,53,0,0,0,0,8,5,14,4,.615,57.1,50,6,83,13.03,30,2,3,0,28,24,.236,2.77,1.40,ニューヨーク・メッツ
25,81,ダニエル・ヤング,4.54,42,0,0,0,0,4,1,7,0,.800,37.2,29,3,48,11.47,18,7,5,0,22,19,.210,2.67,1.25,ニューヨーク・メッツ
26,88,フィル・メイトン,3.66,71,0,0,0,0,3,3,18,3,.500,64,47,7,60,8.44,24,9,1,0,27,26,.203,2.50,1.11,ニューヨーク・メッツ
27,-,タイラー・ズーバー,2.70,2,0,0,0,0,0,0,0,0,.000,3.1,3,1,4,10.80,2,0,0,0,1,1,.231,2.00,1.50,ニューヨーク・メッツ
28,13,ルイス・トレンズ,0.00,1,0,0,0,0,0,0,0,0,.000,0.1,0,0,0,0.00,0,0,0,0,0,0,.000,0.00,0.00,ニューヨーク・メッツ
