,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,17,トレバー・ゴット,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,オークランド・アスレチックス
1,19,メイソン・ミラー,2.49,55,0,0,0,0,2,2,0,28,.500,65,36,6,104,14.40,21,1,2,0,23,18,.160,4.95,0.88,オークランド・アスレチックス
2,29,オースティン・アダムス,3.92,56,0,0,0,0,1,2,22,0,.333,41.1,38,4,53,11.54,23,13,6,0,20,18,.250,2.30,1.48,オークランド・アスレチックス
3,30,ケン・ウォルディチャック,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,オークランド・アスレチックス
4,35,ジョー・ボイル,6.42,13,10,0,0,1,3,6,1,0,.333,47.2,42,4,56,10.57,40,4,7,1,35,34,.235,1.40,1.72,オークランド・アスレチックス
5,36,ロス・ストリプリング,6.01,22,14,0,0,2,2,11,1,0,.154,85.1,109,7,49,5.17,22,1,2,1,65,57,.309,2.23,1.54,オークランド・アスレチックス
6,38,ＪＰ・シアーズ,4.38,32,32,0,0,13,11,13,0,0,.458,180.2,172,28,137,6.82,49,14,0,1,93,88,.251,2.80,1.22,オークランド・アスレチックス
7,39,カイル・ミュラー,4.01,21,0,0,0,0,0,1,0,0,.000,49.1,48,6,36,6.57,10,1,1,0,25,22,.255,3.60,1.18,オークランド・アスレチックス
8,40,ミッチ・スペンス,4.58,35,24,0,0,4,8,10,1,0,.444,151.1,165,20,126,7.49,44,6,8,1,79,77,.276,2.86,1.38,オークランド・アスレチックス
9,45,オスバルド・ビド,3.41,16,9,0,0,4,5,3,1,0,.625,63.1,43,3,63,8.95,26,7,3,0,25,24,.192,2.42,1.09,オークランド・アスレチックス
10,46,ルイス・メディナ,5.18,8,8,0,0,1,2,4,0,0,.333,40,43,4,32,7.20,20,1,5,0,24,23,.276,1.60,1.58,オークランド・アスレチックス
11,47,ミシェル・オタネス,3.44,36,0,0,0,0,1,0,6,1,1.000,34,27,2,55,14.56,20,3,6,0,15,13,.214,2.75,1.38,オークランド・アスレチックス
12,48,ティモシー・マクファーランド,3.81,79,0,0,0,0,2,4,19,0,.333,56.2,53,4,39,6.19,17,4,0,0,28,24,.252,2.29,1.24,オークランド・アスレチックス
13,54,スコット・アレクサンダー,2.56,45,0,0,0,0,1,3,10,0,.250,38.2,31,3,31,7.22,15,2,2,0,14,11,.223,2.07,1.19,オークランド・アスレチックス
14,56,ダニー・ヒメネス,4.91,25,0,0,0,0,1,3,5,1,.250,25.2,21,6,25,8.77,19,1,0,0,18,14,.223,1.32,1.56,オークランド・アスレチックス
15,57,アレックス・ウッド,5.26,9,9,0,0,1,1,3,0,0,.250,39.1,51,6,33,7.55,19,5,0,1,27,23,.323,1.74,1.78,オークランド・アスレチックス
16,63,ホーガン・ハリス,2.86,21,9,0,0,3,4,4,0,0,.500,72.1,65,7,61,7.59,33,3,3,1,29,23,.244,1.85,1.35,オークランド・アスレチックス
17,64,ウィル・クライン,11.05,8,0,0,0,0,1,0,0,0,1.000,7.1,12,0,7,8.59,6,0,1,0,9,9,.387,1.17,2.45,オークランド・アスレチックス
18,65,タイラー・ファーガソン,3.68,48,0,0,0,0,4,2,11,2,.667,51.1,32,4,62,10.87,24,2,1,1,23,21,.178,2.58,1.09,オークランド・アスレチックス
19,66,ブレーディ・バッソ,4.03,7,4,0,0,1,1,1,0,0,.500,22.1,23,3,19,7.66,5,0,1,0,10,10,.264,3.80,1.25,オークランド・アスレチックス
20,67,グラン・ホルマン,4.02,18,0,0,0,0,1,1,5,0,.500,15.2,17,1,16,9.19,9,1,1,0,8,7,.270,1.78,1.66,オークランド・アスレチックス
21,68,ジョセフ・エスティス,5.01,25,24,1,1,8,7,9,1,0,.438,127.2,130,23,92,6.49,27,10,3,0,73,71,.259,3.41,1.23,オークランド・アスレチックス
22,70,Ｊ．Ｔ．ギン,4.24,8,6,0,0,1,1,1,0,0,.500,34,36,4,29,7.68,9,2,0,0,16,16,.275,3.22,1.32,オークランド・アスレチックス
23,81,ロイベル・サリーナス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,オークランド・アスレチックス
