,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,22,スペンサー・ターンブル,2.65,17,7,0,0,2,3,0,1,0,1.000,54.1,37,6,58,9.61,20,5,2,0,17,16,.188,2.90,1.05,フィラデルフィア・フィリーズ
1,23,ジェフ・ホフマン,2.17,68,0,0,0,0,3,3,21,10,.500,66.1,48,6,89,12.08,16,3,5,0,20,16,.197,5.56,0.96,フィラデルフィア・フィリーズ
2,25,マット・ストラーム,1.87,66,0,0,0,0,6,2,18,3,.750,62.2,36,4,79,11.35,11,6,2,0,14,13,.166,7.18,0.75,フィラデルフィア・フィリーズ
3,27,アーロン・ノラ,3.57,33,33,1,1,20,14,8,0,0,.636,199.1,189,30,197,8.89,50,3,2,0,84,79,.247,3.94,1.20,フィラデルフィア・フィリーズ
4,40,タイラー・ギルベルト,3.24,6,0,0,0,0,0,0,0,0,.000,8.1,10,1,4,4.32,2,1,1,0,3,3,.286,2.00,1.44,フィラデルフィア・フィリーズ
5,43,ユニオル・マルテ,6.92,23,0,0,0,0,0,0,2,0,.000,26,34,5,23,7.96,15,0,3,0,22,20,.306,1.53,1.88,フィラデルフィア・フィリーズ
6,45,ザック・ウィーラー,2.57,32,32,0,0,26,16,7,0,0,.696,200,139,20,224,10.08,52,8,8,0,62,57,.192,4.31,0.96,フィラデルフィア・フィリーズ
7,46,ホセ・アルバラド,4.09,66,0,0,0,0,2,5,10,13,.286,61.2,49,6,63,9.19,28,1,4,0,30,28,.215,2.25,1.25,フィラデルフィア・フィリーズ
8,48,タイラー・フィリップス,6.87,8,7,1,1,2,4,1,0,0,.800,36.2,45,9,28,6.87,7,2,0,0,28,28,.300,4.00,1.42,フィラデルフィア・フィリーズ
9,49,コルビー・アラード,5.00,7,4,0,0,0,2,0,0,0,1.000,27,34,5,23,7.67,8,0,0,0,15,15,.312,2.88,1.56,フィラデルフィア・フィリーズ
10,50,オリオン・カーケリング,2.29,64,2,0,0,0,5,3,14,0,.625,63,51,2,74,10.57,17,8,1,0,20,16,.223,4.35,1.08,フィラデルフィア・フィリーズ
11,51,セス・ジョンソン,34.71,1,1,0,0,0,0,1,0,0,.000,2.1,8,1,0,0.00,3,0,0,0,9,9,.571,0.00,4.71,フィラデルフィア・フィリーズ
12,53,カルロス・エステベス,2.45,54,0,0,0,0,4,5,0,26,.444,55,38,5,50,8.18,12,1,3,0,18,15,.192,4.17,0.91,フィラデルフィア・フィリーズ
13,55,ランヘル・スアレス,3.46,27,27,1,1,11,12,8,0,0,.600,150.2,140,14,145,8.66,41,5,1,2,63,58,.243,3.54,1.20,フィラデルフィア・フィリーズ
14,56,ルイス・オルティス,27.00,1,0,0,0,0,0,0,0,0,.000,0.2,3,0,0,0.00,0,0,0,0,2,2,.750,0.00,4.50,フィラデルフィア・フィリーズ
15,58,タナー・バンクス,3.98,63,2,0,0,0,2,3,8,2,.400,72.1,69,6,78,9.71,25,3,0,0,41,32,.249,3.12,1.30,フィラデルフィア・フィリーズ
16,60,マックス・ラザー,4.61,11,0,0,0,0,0,0,0,0,.000,13.2,13,2,9,5.93,2,0,0,0,7,7,.250,4.50,1.10,フィラデルフィア・フィリーズ
17,61,クリストフェル・サンチェス,3.32,31,31,2,1,17,11,9,0,0,.550,181.2,182,11,153,7.58,44,0,7,1,76,67,.258,3.48,1.24,フィラデルフィア・フィリーズ
18,63,マイケル・メルカド,11.08,5,2,0,0,0,1,2,0,0,.333,13,16,9,10,6.92,9,1,1,0,16,16,.296,1.11,1.92,フィラデルフィア・フィリーズ
19,66,ホセ・ルイーズ,3.71,52,0,0,0,0,5,1,0,1,.833,51,51,8,52,9.18,17,1,0,0,23,21,.260,3.06,1.33,フィラデルフィア・フィリーズ
20,99,タイワン・ウォーカー,7.10,19,15,0,0,2,3,7,0,0,.300,83.2,107,24,58,6.24,37,3,0,0,68,66,.317,1.57,1.72,フィラデルフィア・フィリーズ
21,-,フレディ・ターノク,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,フィラデルフィア・フィリーズ
22,-,カイル・タイラー,5.40,8,7,0,0,0,0,2,0,0,.000,31.2,37,4,25,7.11,18,1,1,0,19,19,.301,1.39,1.74,フィラデルフィア・フィリーズ
23,-,ホセ・クアス,7.71,13,0,0,0,0,0,0,0,0,.000,16.1,19,4,17,9.37,10,5,2,0,15,14,.284,1.70,1.78,フィラデルフィア・フィリーズ
24,21,ギャレット・スタッブス,15.75,4,0,0,0,0,0,0,0,0,.000,4,6,2,0,0.00,2,0,0,0,7,7,.353,0.00,2.00,フィラデルフィア・フィリーズ
25,2,コディ・クレメンス,9.00,1,0,0,0,0,0,0,0,0,.000,1,2,1,0,0.00,1,0,0,0,1,1,.400,0.00,3.00,フィラデルフィア・フィリーズ
26,37,ウェストン・ウィルソン,0.00,1,0,0,0,0,0,0,0,0,.000,1,1,0,0,0.00,0,0,0,0,0,0,.250,0.00,1.00,フィラデルフィア・フィリーズ
