,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,23,ミッチ・ケラー,4.25,31,31,1,0,15,11,12,0,0,.478,178,182,23,166,8.39,50,15,1,2,90,84,.261,3.32,1.30,ピッツバーグ・パイレーツ
1,24,ヨハン・オビエド,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ピッツバーグ・パイレーツ
2,26,ベイリー・ファルター,4.43,28,28,0,0,8,8,9,0,0,.471,142.1,138,17,97,6.13,45,0,0,0,72,70,.260,2.16,1.29,ピッツバーグ・パイレーツ
3,27,マルコ・ゴンザレス,4.54,7,7,0,0,2,1,1,0,0,.500,33.2,43,5,23,6.15,11,0,0,0,17,17,.312,2.09,1.60,ピッツバーグ・パイレーツ
4,30,ポール・スキーンズ,1.96,23,23,0,0,15,11,3,0,0,.786,133,94,10,170,11.50,32,6,2,1,31,29,.198,5.31,0.95,ピッツバーグ・パイレーツ
5,34,ジョセフ・ウエンツ,4.68,46,0,0,0,0,1,2,2,1,.333,67.1,66,8,73,9.76,33,4,3,2,37,35,.252,2.21,1.47,ピッツバーグ・パイレーツ
6,35,コリン・ホルダーマン,3.16,55,0,0,0,0,3,6,21,0,.333,51.1,42,6,56,9.82,25,5,2,0,23,18,.223,2.24,1.31,ピッツバーグ・パイレーツ
7,36,ダウリ・モレタ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ピッツバーグ・パイレーツ
8,37,ジャレッド・ジョーンズ,4.14,22,22,0,0,11,6,8,0,0,.429,121.2,106,18,132,9.76,39,5,3,0,60,56,.232,3.38,1.19,ピッツバーグ・パイレーツ
9,43,ライアン・ボルッキー,7.36,14,0,0,0,0,0,0,3,0,.000,11,14,2,13,10.64,4,1,0,0,10,9,.311,3.25,1.64,ピッツバーグ・パイレーツ
10,45,アロルディス・チャプマン,3.79,68,0,0,0,0,5,5,22,14,.500,61.2,44,5,98,14.30,39,2,4,2,31,26,.198,2.51,1.35,ピッツバーグ・パイレーツ
11,48,ルイス・オルティス,3.32,37,15,0,0,7,7,6,1,1,.538,135.2,109,16,107,7.10,42,9,2,1,56,50,.218,2.55,1.11,ピッツバーグ・パイレーツ
12,50,カルメン・モジンスキ,3.38,40,4,0,0,0,5,5,5,0,.500,50.2,41,3,46,8.17,19,2,1,0,22,19,.223,2.42,1.18,ピッツバーグ・パイレーツ
13,51,デービッド・ベッドナー,5.77,62,0,0,0,0,3,8,3,23,.273,57.2,54,9,58,9.05,28,3,2,0,40,37,.238,2.07,1.42,ピッツバーグ・パイレーツ
14,53,マイク・バローズ,2.70,1,0,0,0,0,1,0,0,0,1.000,3.1,2,1,2,5.40,3,0,0,0,2,1,.182,0.67,1.50,ピッツバーグ・パイレーツ
15,59,ダウルトン・ジェファリエズ,9.82,6,1,0,0,0,0,2,0,0,.000,14.2,24,4,12,7.36,4,1,0,0,20,16,.353,3.00,1.91,ピッツバーグ・パイレーツ
16,60,デニス・サンタナ,3.89,62,0,0,0,0,3,1,12,3,.750,71.2,57,4,69,8.67,21,4,1,2,33,31,.220,3.29,1.09,ピッツバーグ・パイレーツ
17,61,ベン・ヘラー,11.25,8,0,0,0,0,0,1,0,0,.000,12,19,1,15,11.25,6,6,0,0,16,15,.352,2.50,2.08,ピッツバーグ・パイレーツ
18,62,カイル・ニコラス,3.95,51,0,0,0,0,2,2,8,0,.500,54.2,51,4,55,9.05,31,4,7,1,30,24,.249,1.77,1.50,ピッツバーグ・パイレーツ
19,63,ハンター・ストラットン,3.58,36,0,0,0,0,2,1,5,1,.667,37.2,37,3,33,7.88,7,3,2,0,17,15,.255,4.71,1.17,ピッツバーグ・パイレーツ
20,64,アイザック・マットソン,5.06,3,0,0,0,0,0,0,0,0,.000,5.1,1,0,6,10.13,5,1,0,0,3,3,.059,1.20,1.13,ピッツバーグ・パイレーツ
21,67,ブラクストン・アシュクラフト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ピッツバーグ・パイレーツ
22,68,ジャレン・ビークス,4.50,71,0,0,0,0,7,4,8,10,.636,70,77,6,55,7.07,27,3,7,0,42,35,.279,2.04,1.49,ピッツバーグ・パイレーツ
23,7,アイザイア・カイナーファレファ,4.50,2,0,0,0,0,0,0,0,0,.000,2,1,0,0,0.00,2,0,0,0,1,1,.167,0.00,1.50,ピッツバーグ・パイレーツ
