,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,1,松井裕樹,3.73,64,0,0,0,0,4,2,9,0,.667,62.2,46,8,69,9.91,27,0,8,0,27,26,.204,2.56,1.16,サンディエゴ・パドレス
1,11,ダルビッシュ有,3.31,16,16,0,0,5,7,3,0,0,.700,81.2,65,12,78,8.60,22,3,2,0,32,30,.217,3.55,1.07,サンディエゴ・パドレス
2,25,ショーン・レイノルズ,0.82,9,0,0,0,0,0,0,0,0,.000,11,10,0,21,17.18,5,1,0,0,1,1,.238,4.20,1.36,サンディエゴ・パドレス
3,32,ステファン・コレック,5.21,42,0,0,0,0,3,0,2,0,1.000,46.2,59,4,39,7.52,12,3,2,0,30,27,.303,3.25,1.52,サンディエゴ・パドレス
4,34,マイケル・キング,2.95,31,30,0,0,14,13,9,0,0,.591,173.2,144,17,201,10.42,63,7,1,0,71,57,.221,3.19,1.19,サンディエゴ・パドレス
5,37,アレク・ジェーコブ,2.45,7,0,0,0,0,0,0,0,0,.000,14.2,9,1,19,11.66,2,2,0,0,4,4,.173,9.50,0.75,サンディエゴ・パドレス
6,40,ジェイソン・アダム,1.95,74,0,0,0,0,7,2,31,4,.778,73.2,40,5,81,9.90,23,6,2,1,20,16,.159,3.52,0.86,サンディエゴ・パドレス
7,44,ジョー・マスグローブ,3.88,19,19,0,0,10,6,5,0,0,.545,99.2,94,14,101,9.12,23,10,0,0,44,43,.251,4.39,1.17,サンディエゴ・パドレス
8,50,エイドリアン・モレホン,2.83,60,0,0,0,0,3,2,12,2,.600,63.2,63,4,71,10.04,21,1,7,1,24,20,.256,3.38,1.32,サンディエゴ・パドレス
9,54,マーティン・ペレス,4.53,26,26,0,0,8,5,6,0,0,.455,135,151,22,107,7.13,49,5,2,1,71,68,.283,2.18,1.48,サンディエゴ・パドレス
10,56,ジェレミア・エストラダ,2.95,62,0,0,0,0,6,3,16,1,.667,61,42,4,94,13.87,23,0,5,0,22,20,.188,4.09,1.07,サンディエゴ・パドレス
11,58,ワンディ・ペラルタ,3.99,46,0,0,0,0,3,2,11,0,.600,38.1,33,6,22,5.17,13,5,2,0,19,17,.231,1.69,1.20,サンディエゴ・パドレス
12,59,トム・コスグローブ,11.66,18,0,0,0,0,0,1,2,0,.000,14.2,23,3,15,9.20,6,4,0,0,19,19,.354,2.50,1.98,サンディエゴ・パドレス
13,61,マット・ウォルドロン,4.91,27,26,0,0,10,7,11,0,0,.389,146.2,145,21,133,8.16,40,11,5,1,84,80,.255,3.33,1.26,サンディエゴ・パドレス
14,66,タナー・スコット,1.75,72,0,0,0,0,9,6,11,22,.600,72,45,3,84,10.50,36,1,0,0,20,14,.179,2.33,1.13,サンディエゴ・パドレス
15,71,ローガン・ギラスピー,7.15,9,0,0,0,0,0,0,0,0,.000,11.1,15,2,7,5.56,0,1,0,0,9,9,.319,0.00,1.32,サンディエゴ・パドレス
16,75,ロベルト・スアレス,2.77,65,0,0,0,0,9,3,1,36,.750,65,52,7,59,8.17,16,0,1,0,21,20,.217,3.69,1.05,サンディエゴ・パドレス
17,76,ジョニー・ブリトー,4.12,26,0,0,0,0,1,2,0,0,.333,43.2,49,4,29,5.98,10,0,1,0,23,20,.283,2.90,1.35,サンディエゴ・パドレス
18,77,ルイス・パティノ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,サンディエゴ・パドレス
19,78,ブライアン・ホーイング,2.18,34,2,0,0,0,2,3,4,0,.400,53.2,43,4,43,7.21,14,0,8,0,15,13,.219,3.07,1.06,サンディエゴ・パドレス
20,84,ディラン・シース,3.47,33,33,1,1,16,14,11,0,0,.560,189.1,137,18,224,10.65,65,2,12,0,80,73,.200,3.45,1.07,サンディエゴ・パドレス
21,98,ランディ・バスケス,4.87,20,20,0,0,6,4,7,0,0,.364,98,119,13,62,5.69,29,6,5,2,56,53,.304,2.14,1.51,サンディエゴ・パドレス
