,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,7,ブレーク・スネル,3.12,20,20,1,1,10,5,3,0,0,.625,104,65,6,145,12.55,44,1,8,0,38,36,.174,3.30,1.05,サンフランシスコ・ジャイアンツ
1,12,ジョーダン・ヒックス,4.10,29,20,0,0,3,4,7,2,1,.364,109.2,112,12,96,7.88,47,9,7,2,54,50,.265,2.04,1.45,サンフランシスコ・ジャイアンツ
2,23,ロビー・レイ,4.70,7,7,0,0,2,3,2,0,0,.600,30.2,20,6,43,12.62,15,6,4,0,16,16,.189,2.87,1.14,サンフランシスコ・ジャイアンツ
3,33,テーラー・ロジャーズ,2.40,64,0,0,0,0,1,4,8,0,.200,60,53,7,64,9.60,22,2,0,0,22,16,.237,2.91,1.25,サンフランシスコ・ジャイアンツ
4,43,トリスタン・ベック,1.69,7,1,0,0,0,0,0,0,0,.000,16,14,2,14,7.88,4,1,0,0,3,3,.230,3.50,1.13,サンフランシスコ・ジャイアンツ
5,45,カイル・ハリソン,4.56,24,24,0,0,9,7,7,0,0,.500,124.1,125,18,118,8.54,42,7,2,1,65,63,.263,2.81,1.34,サンフランシスコ・ジャイアンツ
6,47,メーソン・ブラック,6.44,9,8,0,0,0,1,5,0,0,.167,36.1,46,7,31,7.68,15,3,0,0,26,26,.309,2.07,1.68,サンフランシスコ・ジャイアンツ
7,57,オースティン・ウォーレン,1.69,6,0,0,0,0,0,0,0,0,.000,10.2,9,1,7,5.91,5,0,0,0,2,2,.243,1.40,1.31,サンフランシスコ・ジャイアンツ
8,60,ヘイデン・バードソング,4.75,16,16,0,0,1,5,6,0,0,.455,72,57,11,88,11.00,43,4,4,0,39,38,.216,2.05,1.39,サンフランシスコ・ジャイアンツ
9,62,ローガン・ウェブ,3.47,33,33,1,1,20,13,10,0,0,.565,204.2,202,11,172,7.56,50,2,4,1,83,79,.258,3.44,1.23,サンフランシスコ・ジャイアンツ
10,63,イーサン・スモール,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,サンフランシスコ・ジャイアンツ
11,64,ショーン・ジェレ,3.90,58,0,0,0,0,3,4,7,0,.429,80.2,84,10,75,8.37,14,5,0,0,37,35,.268,5.36,1.21,サンフランシスコ・ジャイアンツ
12,65,ランデン・ロウプ,3.58,23,4,0,0,0,1,2,1,0,.333,50.1,43,2,47,8.40,26,1,3,2,21,20,.226,1.81,1.37,サンフランシスコ・ジャイアンツ
13,67,キートン・ウィン,7.16,12,12,0,0,4,3,8,0,0,.273,55.1,56,9,48,7.81,20,4,1,0,44,44,.268,2.40,1.37,サンフランシスコ・ジャイアンツ
14,68,エリック・ミラー,3.88,73,10,0,0,0,4,5,14,0,.444,67.1,50,7,87,11.63,38,1,1,0,33,29,.205,2.29,1.31,サンフランシスコ・ジャイアンツ
15,70,鄧愷威,9.82,4,0,0,0,0,0,0,0,0,.000,11,15,2,7,5.73,8,1,1,0,12,12,.326,0.88,2.09,サンフランシスコ・ジャイアンツ
16,71,タイラー・ロジャーズ,2.82,77,0,0,0,0,3,4,32,1,.429,70.1,67,7,51,6.53,6,7,1,0,23,22,.245,8.50,1.04,サンフランシスコ・ジャイアンツ
17,72,トレバー・マクドナルド,0.00,1,0,0,0,0,0,0,0,0,.000,3,0,0,1,3.00,1,0,0,0,0,0,.000,1.00,0.33,サンフランシスコ・ジャイアンツ
18,73,ランディ・ロドリゲス,4.30,35,1,0,0,0,3,2,5,0,.600,52.1,47,4,53,9.11,18,3,4,0,29,25,.240,2.94,1.24,サンフランシスコ・ジャイアンツ
19,74,ライアン・ウォーカー,1.91,76,1,0,0,0,10,4,21,10,.714,80,50,5,99,11.14,18,9,2,0,19,17,.179,5.50,0.85,サンフランシスコ・ジャイアンツ
20,75,カミロ・ドバル,4.88,62,0,0,0,0,5,3,5,23,.625,59,54,5,78,11.90,39,2,7,0,35,32,.241,2.00,1.58,サンフランシスコ・ジャイアンツ
21,76,スペンサー・ビブンズ,3.14,27,2,0,0,0,3,1,2,1,.750,48.2,47,9,37,6.84,11,1,0,0,20,17,.250,3.36,1.19,サンフランシスコ・ジャイアンツ
22,18,ドニー・ウォルトン,0.00,1,0,0,0,0,0,0,0,0,.000,1,2,0,0,0.00,0,0,0,0,0,0,.400,0.00,2.00,サンフランシスコ・ジャイアンツ
23,49,タイラー・フィッツジェラルド,9.00,3,0,0,0,0,0,0,0,0,.000,3,6,0,0,0.00,0,0,0,0,3,3,.429,0.00,2.00,サンフランシスコ・ジャイアンツ
24,5,マイク・ヤストレムスキー,18.00,1,0,0,0,0,0,0,0,0,.000,1,2,0,0,0.00,3,0,0,0,2,2,.400,0.00,5.00,サンフランシスコ・ジャイアンツ
