,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,22,ブライアン・ウー,2.89,22,22,0,0,10,9,3,0,0,.750,121.1,96,14,101,7.49,13,3,0,0,41,39,.211,7.77,0.90,シアトル・マリナーズ
1,30,オースティン・ボース,3.69,68,0,0,0,0,2,5,15,0,.286,61,46,9,61,9.00,18,3,0,0,31,25,.204,3.39,1.05,シアトル・マリナーズ
2,36,ローガン・ギルバート,3.23,33,33,1,0,22,9,12,0,0,.429,208.2,148,26,220,9.49,37,4,11,0,83,75,.196,5.95,0.89,シアトル・マリナーズ
3,37,ジャクソン・コーワー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シアトル・マリナーズ
4,46,トレント・ソーントン,3.61,71,0,0,0,0,4,3,10,1,.571,72.1,63,8,77,9.58,19,5,4,0,32,29,.238,4.05,1.13,シアトル・マリナーズ
5,47,マシュー・ブラッシュ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シアトル・マリナーズ
6,48,グレゴリー・サントス,4.91,8,0,0,0,0,0,1,2,0,.000,7.1,7,0,6,7.36,1,1,0,1,4,4,.241,6.00,1.09,シアトル・マリナーズ
7,50,ブライス・ミラー,2.94,31,31,0,0,18,12,8,0,0,.600,180.1,131,21,171,8.53,45,3,2,0,62,59,.200,3.80,0.98,シアトル・マリナーズ
8,52,コリン・スナイダー,1.94,42,0,0,0,0,3,4,9,0,.429,41.2,36,5,47,10.15,13,0,1,0,14,9,.231,3.62,1.18,シアトル・マリナーズ
9,54,カルロス・バルガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シアトル・マリナーズ
10,55,ゲーブ・スピアー,5.70,29,0,0,0,0,0,2,7,0,.000,23.2,19,2,33,12.55,14,2,1,0,15,15,.226,2.36,1.39,シアトル・マリナーズ
11,58,ルイス・カスティーヨ,3.64,30,30,0,0,18,11,12,0,0,.478,175.1,158,25,175,8.98,47,5,0,0,73,71,.238,3.72,1.17,シアトル・マリナーズ
12,59,トロイ・テイラー,3.72,21,0,0,0,0,0,0,6,1,.000,19.1,15,4,25,11.64,7,0,2,0,8,8,.203,3.57,1.14,シアトル・マリナーズ
13,60,タイラー・サウセド,3.49,53,0,0,0,0,2,0,7,3,1.000,38.2,35,3,38,8.84,18,2,1,0,15,15,.240,2.11,1.37,シアトル・マリナーズ
14,62,エマーソン・ハンコック,4.75,12,12,0,0,4,4,4,0,0,.500,60.2,62,12,39,5.79,19,6,0,0,37,32,.259,2.05,1.34,シアトル・マリナーズ
15,67,コディ・ボルトン,4.34,17,0,0,0,0,0,0,0,0,.000,18.2,18,3,17,8.20,9,0,0,0,11,9,.247,1.89,1.45,シアトル・マリナーズ
16,68,ジョージ・カービー,3.53,33,33,0,0,20,14,11,0,0,.560,191,181,22,179,8.43,23,7,5,1,82,75,.245,7.78,1.07,シアトル・マリナーズ
17,74,ジョナサン・ディアス,4.66,5,1,0,0,0,0,1,0,0,.000,9.2,14,2,8,7.45,3,0,0,0,6,5,.318,2.67,1.76,シアトル・マリナーズ
18,75,アンドレス・ムニョス,2.12,60,0,0,0,0,3,7,6,22,.300,59.1,31,6,77,11.68,26,3,3,1,16,14,.153,2.96,0.96,シアトル・マリナーズ
19,83,エドゥアルド・バザルド,4.88,23,0,0,0,0,2,0,0,0,1.000,27.2,20,2,33,10.73,9,0,3,0,15,15,.204,3.67,1.05,シアトル・マリナーズ
20,84,ジョン・シャーゴワ,2.23,36,0,0,0,0,3,1,2,0,.750,36.1,24,6,30,7.43,13,2,0,0,9,9,.183,2.31,1.02,シアトル・マリナーズ
21,93,イミ・ガルシア,3.46,39,0,0,0,0,3,0,13,5,1.000,39,23,6,49,11.31,12,2,1,0,15,15,.167,4.08,0.90,シアトル・マリナーズ
22,-,オースティン・キッチン,14.14,4,1,0,0,0,0,1,0,0,.000,7,16,1,4,5.14,3,0,0,1,12,11,.421,1.33,2.71,シアトル・マリナーズ
23,4,ジョシュ・ロハス,9.00,2,0,0,0,0,0,0,0,0,.000,2,1,1,0,0.00,2,0,0,0,2,2,.167,0.00,1.50,シアトル・マリナーズ
24,76,レオナルド・リバス,0.00,2,0,0,0,0,0,0,0,0,.000,2,2,0,0,0.00,0,0,0,0,1,0,.222,0.00,1.00,シアトル・マリナーズ
