,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,12,エリック・フェディ,3.30,31,31,0,0,13,9,9,0,0,.500,177.1,154,20,154,7.82,52,5,3,1,66,65,.233,2.96,1.16,セントルイス・カージナルス
1,27,アンドルー・キトレッジ,2.80,74,0,0,0,0,5,5,37,1,.500,70.2,60,10,67,8.53,20,0,0,0,26,22,.228,3.35,1.13,セントルイス・カージナルス
2,31,ランス・リン,3.84,23,23,0,0,7,7,4,0,0,.636,117.1,113,16,109,8.36,44,4,3,0,64,50,.247,2.48,1.34,セントルイス・カージナルス
3,32,スティーブン・マッツ,5.08,12,7,0,0,0,1,2,0,0,.333,44.1,49,7,33,6.70,15,2,1,0,28,25,.287,2.20,1.44,セントルイス・カージナルス
4,36,マイケル・マグリビ,1.96,4,3,0,0,2,3,0,0,0,1.000,23,16,1,18,7.04,2,1,0,0,5,5,.193,9.00,0.78,セントルイス・カージナルス
5,38,ドリュー・ロム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,セントルイス・カージナルス
6,39,マイルズ・マイコラス,5.35,32,32,0,0,15,10,11,0,0,.476,171.2,194,26,122,6.40,25,5,0,1,106,102,.284,4.88,1.28,セントルイス・カージナルス
7,44,カイル・ギブソン,4.24,30,30,0,0,13,8,8,0,0,.500,169.2,161,23,151,8.01,68,4,5,0,91,80,.251,2.22,1.35,セントルイス・カージナルス
8,47,ジョン・キング,2.85,56,0,0,0,0,3,3,9,0,.500,60,58,5,38,5.70,14,1,3,1,23,19,.258,2.71,1.20,セントルイス・カージナルス
9,52,マシュー・リベラトーレ,4.40,60,6,0,0,1,3,4,7,0,.429,86,81,11,76,7.95,28,2,3,0,44,42,.251,2.71,1.27,セントルイス・カージナルス
10,53,ニール・パランテ,3.78,29,20,0,0,7,8,8,1,0,.500,121.1,110,8,94,6.97,48,2,12,2,55,51,.240,1.96,1.30,セントルイス・カージナルス
11,54,ソニー・グレイ,3.84,28,28,0,0,13,13,9,0,0,.591,166.1,142,21,203,10.98,39,3,7,1,79,71,.228,5.21,1.09,セントルイス・カージナルス
12,55,ライリー・オブライエン,11.25,8,0,0,0,0,0,0,0,0,.000,8,13,2,11,12.38,8,1,1,0,10,10,.361,1.38,2.63,セントルイス・カージナルス
13,56,ライアン・ヘルズリー,2.04,65,0,0,0,0,7,4,0,49,.636,66.1,50,3,79,10.72,23,0,1,0,19,15,.210,3.43,1.10,セントルイス・カージナルス
14,57,ザック・トンプソン,9.53,5,2,0,0,0,0,2,0,0,.000,17,24,6,20,10.59,8,1,0,0,18,18,.324,2.50,1.88,セントルイス・カージナルス
15,58,クリス・ロイクロフト,4.19,27,0,0,0,0,1,2,1,0,.333,34.1,31,2,33,8.65,17,4,1,0,19,16,.238,1.94,1.40,セントルイス・カージナルス
16,59,ジョジュ・ロメロ,3.36,65,0,0,0,0,7,3,30,1,.700,59,52,8,51,7.78,16,5,1,0,23,22,.236,3.19,1.15,セントルイス・カージナルス
17,61,シェム・ロバセ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,セントルイス・カージナルス
18,62,カイル・リーヒ,4.07,33,0,0,0,0,1,1,3,1,.500,48.2,40,4,33,6.10,10,1,3,0,23,22,.225,3.30,1.03,セントルイス・カージナルス
19,64,ライアン・フェルナンデス,3.51,62,0,0,0,0,1,6,12,2,.143,66.2,58,4,71,9.59,32,2,0,0,30,26,.236,2.22,1.35,セントルイス・カージナルス
20,66,アダム・クロフェンステイン,0.00,1,0,0,0,0,0,0,1,0,.000,1,0,0,0,0.00,0,0,0,0,0,0,.000,0.00,0.00,セントルイス・カージナルス
21,67,ゴードン・グレースフォ,4.70,2,1,0,0,0,0,1,0,0,.000,7.2,7,1,6,7.04,2,0,0,0,4,4,.250,3.00,1.17,セントルイス・カージナルス
22,68,ライアン・ルータス,0.00,3,0,0,0,0,0,0,0,0,.000,2.1,2,0,0,0.00,1,0,0,0,0,0,.222,0.00,1.29,セントルイス・カージナルス
23,93,ケイナン・ミドルトン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,セントルイス・カージナルス
