,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,11,シェーン・バズ,3.06,14,14,0,0,8,4,3,0,0,.571,79.1,57,9,69,7.83,27,4,2,0,28,27,.200,2.56,1.06,タンパベイ・レイズ
1,14,タイラー・アレクサンダー,5.10,23,9,0,0,1,6,5,0,0,.545,107.2,110,23,90,7.52,24,5,0,0,61,61,.263,3.75,1.24,タンパベイ・レイズ
2,18,シェーン・マクラナハン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,タンパベイ・レイズ
3,28,ジャスティン・スターナー,2.25,2,0,0,0,0,0,0,0,0,.000,4,5,0,4,9.00,1,0,0,0,2,1,.294,4.00,1.50,タンパベイ・レイズ
4,29,ピーター・フェアバンクス,3.57,46,0,0,0,0,3,3,1,23,.500,45.1,36,4,44,8.74,17,0,2,1,20,18,.217,2.59,1.17,タンパベイ・レイズ
5,38,コリン・ポシェ,3.86,43,0,0,0,0,1,2,20,2,.333,37.1,30,7,33,7.96,13,0,1,0,16,16,.217,2.54,1.15,タンパベイ・レイズ
6,39,マニュエル・ロドリゲス,2.15,40,0,0,0,0,3,4,11,2,.429,37.2,29,3,34,8.12,11,5,2,0,13,9,.212,3.09,1.06,タンパベイ・レイズ
7,40,ジェイコブ・ワゲスパック,5.40,4,1,0,0,0,0,0,0,0,.000,10,13,1,11,9.90,10,0,1,0,7,6,.317,1.10,2.30,タンパベイ・レイズ
8,43,ハンター・ビゲ,2.60,19,1,0,0,0,0,0,2,1,.000,17.1,17,2,24,12.46,5,0,2,0,5,5,.250,4.80,1.27,タンパベイ・レイズ
9,44,ライアン・ペピオット,3.60,26,26,0,0,9,8,8,0,0,.500,130,102,17,142,9.83,48,7,4,0,58,52,.212,2.96,1.15,タンパベイ・レイズ
10,45,タジ・ブラッドリー,4.11,25,25,0,0,10,8,11,0,0,.421,138,122,22,154,10.04,47,3,4,0,68,63,.235,3.28,1.22,タンパベイ・レイズ
11,48,メイソン・モンゴメリー,1.86,9,0,0,0,0,0,0,3,0,.000,9.2,6,0,17,15.83,5,0,0,0,2,2,.188,3.40,1.14,タンパベイ・レイズ
12,49,ケビン・ケリー,2.67,68,0,0,0,0,5,2,17,1,.714,70.2,59,7,63,8.02,9,5,1,0,25,21,.226,7.00,0.96,タンパベイ・レイズ
13,52,ザック・リテル,3.63,29,29,0,0,10,8,10,0,0,.444,156.1,164,22,141,8.12,31,5,0,0,68,63,.265,4.55,1.25,タンパベイ・レイズ
14,55,リチャード・ラブレディ,4.46,35,0,0,0,0,3,6,4,2,.333,34.1,34,3,26,6.82,11,2,1,0,18,17,.258,2.36,1.31,タンパベイ・レイズ
15,57,ドルー・ラスムセン,2.83,16,4,0,0,0,0,2,3,1,.000,28.2,25,0,35,10.99,6,0,1,0,10,9,.229,5.83,1.08,タンパベイ・レイズ
16,58,ヨニール・クレト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,タンパベイ・レイズ
17,59,ジェフリー・スプリングス,3.27,7,7,0,0,1,2,2,0,0,.500,33,34,5,37,10.09,11,1,0,0,12,12,.264,3.36,1.36,タンパベイ・レイズ
18,60,ギャレット・クレビンジャー,3.75,68,0,0,0,0,7,5,15,6,.583,60,52,6,71,10.65,31,7,2,0,29,25,.231,2.29,1.38,タンパベイ・レイズ
19,63,エドウィン・ウセタ,1.51,30,0,0,0,0,2,0,7,5,1.000,41.2,26,2,57,12.31,8,1,0,0,8,7,.174,7.13,0.82,タンパベイ・レイズ
20,67,ジョエル・クーネル,4.50,6,0,0,0,0,0,0,0,0,.000,10,8,1,5,4.50,0,1,0,0,5,5,.211,0.00,0.80,タンパベイ・レイズ
21,71,コール・サルサー,2.76,10,2,0,0,0,1,0,1,0,1.000,16.1,9,1,15,8.27,9,0,0,0,5,5,.167,1.67,1.10,タンパベイ・レイズ
22,74,ジェイコブ・ロペス,5.23,4,1,0,0,0,0,0,0,0,.000,10.1,5,2,8,6.97,7,2,0,0,7,6,.135,1.14,1.16,タンパベイ・レイズ
23,30,ベン・ロートベット,4.50,1,0,0,0,0,0,0,0,0,.000,2,3,1,1,4.50,2,0,0,0,1,1,.333,0.50,2.50,タンパベイ・レイズ
