,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,17,ネーサン・イオバルディ,3.80,29,29,0,0,16,12,8,0,0,.600,170.2,147,23,166,8.75,42,7,3,0,74,72,.229,3.95,1.11,テキサス・レンジャーズ
1,22,ジョン・グレイ,4.47,23,19,0,0,7,5,6,0,0,.455,102.2,107,11,86,7.54,28,0,1,0,54,51,.262,3.07,1.31,テキサス・レンジャーズ
2,25,ホセ・リクラク,4.32,64,0,0,0,0,6,5,13,1,.545,66.2,56,7,89,12.02,32,4,5,2,33,32,.227,2.78,1.32,テキサス・レンジャーズ
3,31,マックス・シャーザー,3.95,9,9,0,0,3,2,4,0,0,.333,43.1,40,7,40,8.31,10,1,2,0,20,19,.242,4.00,1.15,テキサス・レンジャーズ
4,33,デーン・ダニング,5.31,26,15,0,0,2,5,7,0,0,.417,95,97,18,91,8.62,40,6,2,0,60,56,.260,2.28,1.44,テキサス・レンジャーズ
5,35,ジャック・ライター,8.83,9,6,0,0,0,0,3,0,0,.000,35.2,44,7,31,7.82,17,3,3,0,39,35,.297,1.82,1.71,テキサス・レンジャーズ
6,37,デービッド・ロバートソン,3.00,68,0,0,0,0,3,4,34,2,.429,72,53,5,99,12.38,27,5,8,1,25,24,.202,3.67,1.11,テキサス・レンジャーズ
7,39,カービー・イェイツ,1.17,61,0,0,0,0,7,2,2,33,.778,61.2,23,3,85,12.41,28,2,1,2,10,8,.113,3.04,0.83,テキサス・レンジャーズ
8,43,オーウェン・ホワイト,24.00,3,0,0,0,0,0,0,0,0,.000,3,9,1,0,0.00,1,0,0,0,8,8,.529,0.00,3.33,テキサス・レンジャーズ
9,44,アンドルー・ヒーニー,4.28,32,31,0,0,7,5,14,0,0,.263,160,159,23,159,8.94,41,12,2,0,84,76,.251,3.88,1.25,テキサス・レンジャーズ
10,48,ジェイコブ・デグロム,1.69,3,3,0,0,0,0,0,0,0,.000,10.2,11,1,14,11.81,1,1,0,0,2,2,.262,14.00,1.13,テキサス・レンジャーズ
11,51,タイラー・マーレ,4.97,3,3,0,0,0,0,1,0,0,.000,12.2,14,1,10,7.11,4,1,1,0,7,7,.280,2.50,1.42,テキサス・レンジャーズ
12,52,ウォルター・ペニントン,3.00,16,1,0,0,0,1,0,0,0,1.000,18,19,1,17,8.50,11,2,1,0,7,6,.268,1.55,1.67,テキサス・レンジャーズ
13,54,ホセ・ウレーニャ,3.80,33,9,0,0,3,5,8,1,1,.385,109,105,13,70,5.78,39,4,3,0,51,46,.254,1.79,1.32,テキサス・レンジャーズ
14,57,ダニエル・ロバート,3.18,4,0,0,0,0,1,0,0,0,1.000,5.2,6,1,6,9.53,2,2,0,0,2,2,.273,3.00,1.41,テキサス・レンジャーズ
15,58,ヘルソン・ガラビト,4.78,18,2,0,0,0,0,2,0,0,.000,26.1,23,4,22,7.52,12,4,1,0,15,14,.240,1.83,1.33,テキサス・レンジャーズ
16,59,アンドルー・チェフィン,3.51,62,0,0,0,0,4,3,13,1,.571,56.1,52,5,70,11.18,31,1,7,0,26,22,.246,2.26,1.47,テキサス・レンジャーズ
17,60,コール・ウィン,7.79,13,0,0,0,0,0,1,0,0,.000,17.1,18,2,14,7.27,4,3,1,0,15,15,.261,3.50,1.27,テキサス・レンジャーズ
18,61,コディ・ブラッドフォード,3.54,14,13,0,0,8,6,3,0,0,.667,76.1,64,10,70,8.25,13,1,1,0,32,30,.218,5.38,1.01,テキサス・レンジャーズ
19,63,マット・フェスタ,5.70,19,0,0,0,0,6,1,0,0,.857,23.2,21,2,24,9.13,8,1,0,0,18,15,.233,3.00,1.23,テキサス・レンジャーズ
20,65,グラント・アンダーソン,8.10,23,0,0,0,0,0,1,1,1,.000,26.2,33,11,29,9.79,10,1,0,0,24,24,.303,2.90,1.61,テキサス・レンジャーズ
21,66,ジョシュ・スボールズ,3.86,17,0,0,0,0,2,2,8,0,.500,16.1,16,1,17,9.37,4,0,2,0,8,7,.246,4.25,1.22,テキサス・レンジャーズ
22,67,ジェーク・ラッツ,3.71,46,0,0,0,0,2,3,9,0,.400,43.2,39,6,40,8.24,27,1,4,0,20,18,.241,1.48,1.51,テキサス・レンジャーズ
23,68,マーク・チャーチ,0.00,1,0,0,0,0,0,0,0,0,.000,1,1,0,1,9.00,0,0,0,0,0,0,.250,0.00,1.00,テキサス・レンジャーズ
24,80,クマー・ロッカー,3.86,3,3,0,0,0,0,2,0,0,.000,11.2,12,1,14,10.80,6,1,1,0,6,5,.267,2.33,1.54,テキサス・レンジャーズ
25,84,カーソン・コールマン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,テキサス・レンジャーズ
26,87,ホセ・コールニール,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,テキサス・レンジャーズ
