,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,6,アレク・マノア,3.70,5,5,0,0,2,1,2,0,0,.333,24.1,17,5,26,9.62,8,4,1,0,16,10,.189,3.25,1.03,トロント・ブルージェイズ
1,17,ホセ・ベリオス,3.60,32,32,1,0,21,16,11,0,0,.593,192.1,168,31,153,7.16,54,13,1,0,79,77,.235,2.83,1.15,トロント・ブルージェイズ
2,29,ジャリエル・ロドリゲス,4.47,21,21,0,0,2,1,8,0,0,.111,86.2,74,11,85,8.83,40,3,0,2,46,43,.229,2.13,1.32,トロント・ブルージェイズ
3,31,ブレット・デヘウス,7.15,13,0,0,0,0,0,2,0,0,.000,11.1,14,0,7,5.56,4,3,0,1,10,9,.318,1.75,1.59,トロント・ブルージェイズ
4,33,ディロン・テート,4.66,33,0,0,0,0,2,1,3,1,.667,36.2,42,2,27,6.63,12,4,0,0,21,19,.286,2.25,1.47,トロント・ブルージェイズ
5,34,ケビン・ガウスマン,3.83,31,31,2,1,16,14,11,0,0,.560,181,165,20,162,8.06,56,2,3,2,86,77,.238,2.89,1.22,トロント・ブルージェイズ
6,35,ライアン・ヤーブロー,3.19,44,0,0,0,0,5,2,1,1,.714,98.2,70,11,65,5.93,32,12,0,0,36,35,.201,2.03,1.03,トロント・ブルージェイズ
7,39,ジェーク・ブロス,6.94,3,3,0,0,0,0,1,0,0,.000,11.2,16,5,11,8.49,3,0,2,0,9,9,.314,3.67,1.63,トロント・ブルージェイズ
8,40,クリス・バジット,4.16,31,31,0,0,12,10,14,0,0,.417,171,180,18,168,8.84,70,16,2,2,91,79,.270,2.40,1.46,トロント・ブルージェイズ
9,43,ライアン・バー,4.13,34,4,0,0,0,0,2,3,0,.000,32.2,29,4,47,12.95,12,1,0,0,16,15,.228,3.92,1.26,トロント・ブルージェイズ
10,44,ボーデン・フランシス,3.30,27,13,0,0,7,8,5,0,0,.615,103.2,74,17,92,7.99,22,7,0,1,41,38,.196,4.18,0.93,トロント・ブルージェイズ
11,45,トーマス・ナンス,4.09,20,0,0,0,0,0,3,0,0,.000,22,18,2,19,7.77,9,1,2,0,12,10,.222,2.11,1.23,トロント・ブルージェイズ
12,50,エリック・スワンソン,5.03,45,0,0,0,0,2,2,9,0,.500,39.1,36,11,37,8.47,14,1,0,1,22,22,.235,2.64,1.27,トロント・ブルージェイズ
13,52,ニック・ロバートソン,4.05,9,0,0,0,0,0,0,0,0,.000,13.1,15,3,14,9.45,2,0,0,0,6,6,.288,7.00,1.28,トロント・ブルージェイズ
14,54,ブレンドン・リトル,3.74,49,0,0,0,0,1,2,7,1,.333,45.2,41,7,36,7.09,19,1,5,0,21,19,.238,1.89,1.31,トロント・ブルージェイズ
15,56,ザック・ポップ,5.59,58,0,0,0,0,2,4,12,1,.333,48.1,45,9,33,6.14,19,2,1,1,36,30,.243,1.74,1.32,トロント・ブルージェイズ
16,57,チャド・グリーン,3.21,53,0,0,0,0,4,6,7,17,.400,53.1,41,8,46,7.76,14,2,1,0,20,19,.216,3.29,1.03,トロント・ブルージェイズ
17,60,ブランドン・アイザート,4.05,3,0,0,0,0,0,0,0,0,.000,6.2,5,0,2,2.70,4,0,0,0,3,3,.227,0.50,1.35,トロント・ブルージェイズ
18,62,イーストン・ルーカス,10.80,8,0,0,0,0,1,0,1,0,1.000,11.2,17,1,10,7.71,9,1,0,0,15,14,.340,1.11,2.23,トロント・ブルージェイズ
19,63,ルイス・フリアス,13.97,11,0,0,0,0,0,1,0,0,.000,9.2,19,2,12,11.17,7,0,2,0,16,15,.422,1.71,2.69,トロント・ブルージェイズ
20,64,アダム・マクコ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,トロント・ブルージェイズ
21,65,ヘーゲン・ダナー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,トロント・ブルージェイズ
22,68,ジョーダン・ロマノ,6.59,15,0,0,0,0,1,2,0,8,.333,13.2,16,4,13,8.56,4,1,0,0,10,10,.286,3.25,1.46,トロント・ブルージェイズ
23,92,ゲネシス・カブレラ,3.59,69,0,0,0,0,3,3,13,2,.500,62.2,63,10,50,7.18,29,2,2,2,31,25,.268,1.72,1.47,トロント・ブルージェイズ
24,-,エマニュエル・ラミレス,6.97,15,0,0,0,0,0,1,0,0,.000,20.2,21,3,21,9.15,8,3,2,0,17,16,.263,2.63,1.40,トロント・ブルージェイズ
25,55,タイラー・ハイネマン,0.00,1,0,0,0,0,0,0,0,0,.000,1,1,0,0,0.00,0,0,0,0,0,0,.250,0.00,1.00,トロント・ブルージェイズ
26,28,アーニー・クレメント,9.00,1,0,0,0,0,0,0,0,0,.000,1,2,0,0,0.00,0,0,0,0,1,1,.400,0.00,2.00,トロント・ブルージェイズ
