,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,1,マッケンジー・ゴア,3.90,32,32,0,0,11,10,12,0,0,.455,166.1,171,15,181,9.79,65,11,14,0,93,72,.263,2.78,1.42,ワシントン・ナショナルズ
1,9,ケイド・カバーリ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ワシントン・ナショナルズ
2,21,タナー・レイニー,4.76,50,0,0,0,0,0,0,0,0,.000,51,47,8,44,7.76,29,4,5,0,28,27,.239,1.52,1.49,ワシントン・ナショナルズ
3,27,ジェイク・アービン,4.41,33,33,0,0,16,10,14,0,0,.417,187.2,173,29,156,7.48,52,4,5,1,97,92,.244,3.00,1.20,ワシントン・ナショナルズ
4,32,トレバー・ウィリアムズ,2.03,13,13,0,0,1,6,1,0,0,.857,66.2,51,3,59,7.97,18,0,0,1,17,15,.214,3.28,1.04,ワシントン・ナショナルズ
5,40,ジョザイア・グレイ,14.04,2,2,0,0,0,0,2,0,0,.000,8.1,15,2,9,9.72,5,0,0,0,13,13,.405,1.80,2.40,ワシントン・ナショナルズ
6,46,パトリック・コービン,5.62,32,32,0,0,9,6,13,0,0,.316,174.2,208,25,139,7.16,54,3,3,0,114,109,.298,2.57,1.50,ワシントン・ナショナルズ
7,47,ホセ・A・フェレール,3.38,31,0,0,0,0,1,0,6,1,1.000,32,27,1,25,7.03,6,2,1,1,12,12,.227,4.17,1.03,ワシントン・ナショナルズ
8,53,ジョー・ラソルサ,4.58,16,0,0,0,0,0,0,0,0,.000,17.2,17,4,14,7.13,5,1,0,0,9,9,.258,2.80,1.25,ワシントン・ナショナルズ
9,54,アモス・ウィリンガム,18.00,1,0,0,0,0,0,0,0,0,.000,1,2,1,1,9.00,0,0,0,0,2,2,.400,0.00,2.00,ワシントン・ナショナルズ
10,58,デレク・ロー,2.60,75,0,0,0,0,7,4,17,1,.636,90,82,7,76,7.60,24,1,6,0,31,26,.246,3.17,1.18,ワシントン・ナショナルズ
11,59,ジェイコブ・バーンズ,4.36,63,0,0,0,0,8,3,2,0,.727,66,67,10,55,7.50,20,0,3,0,36,32,.266,2.75,1.32,ワシントン・ナショナルズ
12,60,ホアン・アドン,6.75,8,1,0,0,0,0,0,0,0,.000,10.2,12,2,6,5.06,4,1,0,0,8,8,.293,1.50,1.50,ワシントン・ナショナルズ
13,61,ロバート・ガルシア,4.22,72,0,0,0,0,3,6,13,0,.333,59.2,55,4,75,11.31,16,1,4,0,34,28,.237,4.69,1.19,ワシントン・ナショナルズ
14,62,エドゥアルド・サラサル,2.76,26,0,0,0,0,0,1,3,0,.000,29.1,34,2,27,8.28,14,1,1,0,11,9,.288,1.93,1.64,ワシントン・ナショナルズ
15,64,オルランド・リバルタ,13.50,4,0,0,0,0,0,0,0,0,.000,3.1,10,0,3,8.10,2,1,0,0,5,5,.500,1.50,3.60,ワシントン・ナショナルズ
16,66,ザック・ブルジクキ,14.29,6,0,0,0,0,0,0,0,0,.000,5.2,9,2,4,6.35,3,0,0,0,9,9,.360,1.33,2.12,ワシントン・ナショナルズ
17,67,カイル・フィネガン,3.68,65,0,0,0,0,3,8,0,38,.273,63.2,61,9,60,8.48,24,0,2,0,31,26,.249,2.50,1.34,ワシントン・ナショナルズ
18,68,サッド・ウォード,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ワシントン・ナショナルズ
19,70,ミッチェル・パーカー,4.29,29,29,0,0,11,7,10,0,0,.412,151,154,18,133,7.93,43,2,7,0,82,72,.259,3.09,1.30,ワシントン・ナショナルズ
20,71,メイソン・トンプソン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ワシントン・ナショナルズ
21,74,DJ・ハーツ,4.16,19,19,0,0,2,4,9,0,0,.308,88.2,76,11,106,10.76,36,3,5,1,45,41,.224,2.94,1.26,ワシントン・ナショナルズ
22,79,ジャクソン・ラトレッジ,3.24,3,1,0,0,0,0,0,0,0,.000,8.1,8,1,9,9.72,2,1,0,0,3,3,.258,4.50,1.20,ワシントン・ナショナルズ
23,99,コール・ヘンリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ワシントン・ナショナルズ
24,-,マイケル・ラッカー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ワシントン・ナショナルズ
25,14,イルデマロ・バルガス,4.50,2,0,0,0,0,0,0,0,0,.000,2,3,1,0,0.00,0,1,0,0,1,1,.375,0.00,1.50,ワシントン・ナショナルズ
