,順位,チーム,試合,勝,敗,引分,勝率,ゲーム差,得点,失点,本塁打,盗塁,打率,防御率,失策
0,1,ヤンキース,162,94,68,0,.580,-,815,668,237,88,.248,3.74,93
1,2,オリオールズ,162,91,71,0,.562,3,786,699,235,98,.250,3.94,81
2,3,Rソックス,162,81,81,0,.500,10,751,747,194,144,.252,4.04,115
3,4,レイズ,162,80,82,0,.494,1,604,663,147,178,.230,3.77,90
4,5,ブルージェイズ,162,74,88,0,.457,6,671,743,156,72,.241,4.29,92
5,1,ガーディアンズ,161,92,69,0,.571,-,708,621,185,148,.238,3.61,87
6,2,ロイヤルズ,162,86,76,0,.531,6.5,735,644,170,134,.248,3.76,85
7,3,タイガース,162,86,76,0,.531,0,682,642,162,76,.234,3.61,80
8,4,ツインズ,162,82,80,0,.506,4,742,735,183,65,.246,4.26,70
9,5,Wソックス,162,41,121,0,.253,41,507,813,133,90,.221,4.68,90
10,1,アストロズ,161,88,73,0,.547,-,740,649,190,93,.262,3.74,84
11,2,マリナーズ,162,85,77,0,.525,3.5,676,607,185,140,.224,3.49,79
12,3,レンジャーズ,162,78,84,0,.481,7,683,738,176,97,.238,4.35,73
13,4,アスレチックス,162,69,93,0,.426,9,643,764,196,98,.233,4.37,84
14,5,エンゼルス,162,63,99,0,.389,6,635,797,165,133,.229,4.56,97
15,1,フィリーズ,162,95,67,0,.586,-,784,671,198,148,.257,3.85,85
16,2,ブレーブス,162,89,73,0,.549,6,704,607,213,69,.243,3.49,68
17,3,メッツ,162,89,73,0,.549,0,768,697,207,106,.246,3.96,94
18,4,ナショナルズ,162,71,91,0,.438,18,660,764,135,223,.243,4.30,109
19,5,マーリンズ,162,62,100,0,.383,9,637,841,150,125,.244,4.73,117
20,1,ブリュワーズ,162,93,69,0,.574,-,777,641,177,217,.248,3.65,89
21,2,カージナルス,162,83,79,0,.512,10,672,719,165,91,.248,4.04,75
22,3,カブス,162,83,79,0,.512,0,736,669,170,143,.242,3.78,76
23,4,レッズ,162,77,85,0,.475,6,699,694,174,207,.231,4.09,96
24,5,パイレーツ,162,76,86,0,.469,1,665,739,160,106,.234,4.15,91
25,1,ドジャース,162,98,64,0,.605,-,842,686,233,136,.258,3.90,88
26,2,パドレス,162,93,69,0,.574,5,760,669,190,120,.263,3.86,75
27,3,Dバックス,162,89,73,0,.549,4,886,788,211,119,.263,4.62,62
28,4,ジャイアンツ,162,80,82,0,.494,9,693,699,177,68,.239,4.10,87
29,5,ロッキーズ,162,61,101,0,.377,19,682,929,179,85,.242,5.47,82
